candidate_type,retention,window_frames,natural_accuracy,hidden_accuracy,post_switch_accuracy,natural_accuracy_loss,eligible,selected
fixed_forgetting,0.0,,0.7358310508021031,0.7344104308390024,0.7554644808743168,0.0,True,False
fixed_forgetting,0.25,,0.751412825350048,0.7485827664399093,0.7691256830601092,-0.01558177454794496,True,True
fixed_forgetting,0.5,,0.7597111023345667,0.7463151927437642,0.7459016393442621,-0.023880051532463642,True,False
fixed_forgetting,0.7,,0.7732609335244253,0.7403628117913832,0.7062841530054645,-0.03742988272232217,True,False
fixed_forgetting,0.85,,0.7854013354433206,0.6848072562358276,0.5580601092896176,-0.04957028464121749,True,False
fixed_forgetting,0.93,,0.7958038773280001,0.5850340136054422,0.33060109289617484,-0.05997282652589697,True,False
fixed_forgetting,0.97,,0.8025203212154967,0.4350907029478458,0.15163934426229508,-0.06668927041339356,True,False
fixed_forgetting,0.99,,0.8015285892400554,0.29705215419501135,0.05396174863387978,-0.06569753843795234,True,False
fixed_forgetting,1.0,,0.7997491737701637,0.20351473922902494,0.0430327868852459,-0.06391812296806065,True,False
sliding_window,,2.0,0.7532863744436684,0.7392290249433106,0.7404371584699453,-0.017455323641565323,True,True
sliding_window,,4.0,0.763693440571599,0.7293083900226758,0.6939890710382512,-0.027862389769495954,True,False
sliding_window,,8.0,0.7775462779541881,0.6901927437641723,0.5812841530054645,-0.04171522715208498,True,False
sliding_window,,16.0,0.7904669381486424,0.5986394557823129,0.33606557377049173,-0.05463588734653935,True,False
sliding_window,,32.0,0.7967004753345606,0.397108843537415,0.09357923497267757,-0.06086942453245747,True,False
