candidate_index,retention_floor,retention_ceiling,bias,surprise_weight,entropy_weight,disagreement_weight,fast_retention,slow_retention,evidence_weight_floor,epsilon,natural_accuracy,natural_accuracy_loss,hidden_accuracy,post_switch_accuracy,reachability_auc,reachability_recall,false_alarms_per_1000,median_delay,mean_retention,eligible,selected
0,0.0,0.93,0.5,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7527701485823713,0.0005162258612970705,0.747732426303855,0.7616120218579235,0.5455228428034711,0.27049180327868855,18.766756032171582,1.0,0.3563668356821703,True,False
1,0.0,0.93,0.5,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7557703627119714,-0.0024839882683029835,0.7465986394557823,0.7622950819672131,0.8272433539097696,0.0,0.0,,0.3593835885002991,False,False
2,0.0,0.93,0.5,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7547030976879395,-0.001416723244271112,0.7468820861678004,0.764344262295082,0.7742938928473904,0.00819672131147541,8.04289544235925,0.0,0.3546746811014212,False,False
3,0.0,0.93,0.5,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7535937187511796,-0.0003073443075112259,0.7477324263038548,0.7650273224043715,0.7342357551112648,0.0,7.636688601836055,,0.35420291214716254,False,False
4,0.0,0.93,0.25,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7543626776705092,-0.0010763032268408246,0.7474489795918368,0.7575136612021859,0.5455228428034711,0.48360655737704916,33.715167763425136,2.0,0.4095923462155178,True,False
5,0.0,0.93,0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7575610610487223,-0.004274686605053923,0.7502834467120181,0.7650273224043717,0.8272433539097696,0.12295081967213115,31.359168088390607,0.0,0.4131049984625723,True,False
6,0.0,0.93,0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7563097991116784,-0.0030234246680099774,0.7497165532879819,0.7636612021857924,0.7742938928473904,0.09016393442622951,28.434478836623608,0.0,0.40914531366406676,False,False
7,0.0,0.93,0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7560919865768284,-0.002805612133159996,0.7488662131519275,0.7629781420765028,0.7342357551112648,0.10655737704918032,24.04744495897311,0.0,0.40883935621719997,True,False
8,0.0,0.93,-0.0,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7563329117019953,-0.0030465372583269312,0.7457482993197279,0.75,0.5455228428034711,0.5819672131147541,43.13916646356325,2.0,0.46431407041760914,True,False
9,0.0,0.93,-0.0,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7592989857335404,-0.006012611289871961,0.7517006802721088,0.764344262295082,0.8272433539097696,0.19672131147540983,14.623446258835,0.0,0.4679810655215712,True,False
