candidate_type,retention,window_frames,natural_accuracy,hidden_accuracy,post_switch_accuracy,natural_accuracy_loss,eligible,selected
fixed_forgetting,0.0,,0.7358310508021031,0.7213718820861678,0.7117486338797814,0.0,True,False
fixed_forgetting,0.25,,0.751412825350048,0.7315759637188209,0.7185792349726775,-0.01558177454794496,True,False
fixed_forgetting,0.5,,0.7597111023345667,0.7324263038548753,0.7062841530054645,-0.023880051532463642,True,True
fixed_forgetting,0.7,,0.7732609335244253,0.7236394557823129,0.6741803278688525,-0.03742988272232217,True,False
fixed_forgetting,0.85,,0.7854013354433206,0.6797052154195011,0.5512295081967213,-0.04957028464121749,True,False
fixed_forgetting,0.93,,0.7958038773280001,0.5819160997732425,0.351775956284153,-0.05997282652589697,True,False
fixed_forgetting,0.97,,0.8025203212154967,0.4461451247165534,0.1489071038251366,-0.06668927041339356,True,False
fixed_forgetting,0.99,,0.8015285892400554,0.2962018140589569,0.05054644808743169,-0.06569753843795234,True,False
fixed_forgetting,1.0,,0.7997491737701637,0.21371882086167798,0.04781420765027323,-0.06391812296806065,True,False
sliding_window,,2.0,0.7532863744436684,0.727607709750567,0.7042349726775956,-0.017455323641565323,True,True
sliding_window,,4.0,0.763693440571599,0.7148526077097506,0.6659836065573771,-0.027862389769495954,True,False
sliding_window,,8.0,0.7775462779541881,0.6765873015873016,0.5628415300546448,-0.04171522715208498,True,False
sliding_window,,16.0,0.7904669381486424,0.5952380952380952,0.35450819672131145,-0.05463588734653935,True,False
sliding_window,,32.0,0.7967004753345606,0.4107142857142857,0.1045081967213115,-0.06086942453245747,True,False
