method,comparator,n_users,mean_difference,ci_low,ci_high,positive_users,sign_flip_pvalue,holm_adjusted_pvalue
reward_only_local,train_fixed_best,2,-0.0316333333333334,-0.07500000000000007,0.011733333333333262,1,1.0,1.0
reward_only_local,credit_shuffled_local,2,-0.027944444444444494,-0.05122222222222228,-0.004666666666666708,0,0.5,1.0
