user_id,task_index,n_classes,n_support_frames,n_query_frames,per_action_accuracy,best_action,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,seed
P189,0,5,687,1000,"[0.635, 0.75, 0.676, 0.68]",1,0.75,0.841,0.0909999999999999,0.485,4149.631964921833,3.7349003057937167,3300
P189,1,5,687,1000,"[0.615, 0.725, 0.671, 0.642]",1,0.725,0.818,0.0929999999999999,0.495,4149.631964921833,3.7349003057937167,3300
P189,2,5,687,1000,"[0.628, 0.717, 0.661, 0.649]",1,0.717,0.814,0.0969999999999999,0.492,4149.631964921833,3.7349003057937167,3300
P189,3,5,687,1000,"[0.612, 0.729, 0.664, 0.641]",1,0.729,0.828,0.0989999999999999,0.494,4149.631964921833,3.7349003057937167,3300
P189,4,5,687,1000,"[0.619, 0.733, 0.681, 0.662]",1,0.733,0.83,0.0969999999999999,0.485,4149.631964921833,3.7349003057937167,3300
P194,0,9,1208,1200,"[0.5866666666666667, 0.6525, 0.38, 0.6675]",3,0.6675,0.7758333333333334,0.1083333333333333,0.6941666666666667,19167.119865732988,9.133152718821982,3300
P194,1,9,1208,1200,"[0.5708333333333333, 0.6383333333333333, 0.3825, 0.6391666666666667]",3,0.6391666666666667,0.7558333333333334,0.1166666666666667,0.6866666666666666,19167.119865732988,9.133152718821982,3300
P194,2,9,1208,1200,"[0.5791666666666667, 0.6433333333333333, 0.3775, 0.65]",3,0.65,0.7608333333333334,0.1108333333333333,0.6808333333333333,19167.119865732988,9.133152718821982,3300
P194,3,9,1208,1200,"[0.5616666666666666, 0.63, 0.37916666666666665, 0.6266666666666667]",1,0.63,0.7575,0.1274999999999999,0.7025,19167.119865732988,9.133152718821982,3300
P194,4,9,1208,1200,"[0.5658333333333333, 0.6266666666666667, 0.3616666666666667, 0.63]",3,0.63,0.7516666666666667,0.1216666666666667,0.7175,19167.119865732988,9.133152718821982,3300
P189,0,5,687,1000,"[0.635, 0.735, 0.67, 0.66]",1,0.735,0.826,0.0909999999999999,0.479,4149.631964921833,3.7349003057937167,3301
P189,1,5,687,1000,"[0.607, 0.716, 0.655, 0.631]",1,0.716,0.81,0.094,0.497,4149.631964921833,3.7349003057937167,3301
P189,2,5,687,1000,"[0.617, 0.722, 0.647, 0.651]",1,0.722,0.816,0.0939999999999999,0.509,4149.631964921833,3.7349003057937167,3301
P189,3,5,687,1000,"[0.614, 0.719, 0.673, 0.643]",1,0.719,0.82,0.1009999999999999,0.498,4149.631964921833,3.7349003057937167,3301
P189,4,5,687,1000,"[0.612, 0.74, 0.658, 0.66]",1,0.74,0.828,0.0879999999999999,0.497,4149.631964921833,3.7349003057937167,3301
P194,0,9,1208,1200,"[0.5633333333333334, 0.635, 0.3625, 0.6383333333333333]",3,0.6383333333333333,0.7558333333333334,0.1175,0.7,19167.119865732988,9.133152718821982,3301
P194,1,9,1208,1200,"[0.5441666666666667, 0.6183333333333333, 0.3625, 0.6108333333333333]",1,0.6183333333333333,0.7483333333333333,0.13,0.7216666666666667,19167.119865732988,9.133152718821982,3301
P194,2,9,1208,1200,"[0.5683333333333334, 0.635, 0.3858333333333333, 0.6366666666666667]",3,0.6366666666666667,0.7641666666666667,0.1274999999999999,0.6916666666666667,19167.119865732988,9.133152718821982,3301
P194,3,9,1208,1200,"[0.59, 0.6408333333333334, 0.37166666666666665, 0.655]",3,0.655,0.7575,0.1024999999999999,0.6925,19167.119865732988,9.133152718821982,3301
P194,4,9,1208,1200,"[0.5658333333333333, 0.6366666666666667, 0.37333333333333335, 0.6391666666666667]",3,0.6391666666666667,0.7575,0.1183333333333332,0.6908333333333333,19167.119865732988,9.133152718821982,3301
P189,0,5,687,1000,"[0.632, 0.731, 0.67, 0.667]",1,0.731,0.826,0.0949999999999999,0.482,4149.631964921833,3.7349003057937167,3302
P189,1,5,687,1000,"[0.615, 0.725, 0.667, 0.636]",1,0.725,0.814,0.0889999999999999,0.497,4149.631964921833,3.7349003057937167,3302
P189,2,5,687,1000,"[0.589, 0.736, 0.67, 0.624]",1,0.736,0.828,0.0919999999999999,0.514,4149.631964921833,3.7349003057937167,3302
P189,3,5,687,1000,"[0.616, 0.726, 0.661, 0.645]",1,0.726,0.829,0.1029999999999999,0.5,4149.631964921833,3.7349003057937167,3302
P189,4,5,687,1000,"[0.636, 0.725, 0.669, 0.657]",1,0.725,0.819,0.0939999999999999,0.472,4149.631964921833,3.7349003057937167,3302
P194,0,9,1208,1200,"[0.565, 0.6208333333333333, 0.37083333333333335, 0.6283333333333333]",3,0.6283333333333333,0.7483333333333333,0.12,0.7,19167.119865732988,9.133152718821982,3302
P194,1,9,1208,1200,"[0.5641666666666667, 0.6241666666666666, 0.3775, 0.6233333333333333]",1,0.6241666666666666,0.7408333333333333,0.1166666666666667,0.7008333333333333,19167.119865732988,9.133152718821982,3302
P194,2,9,1208,1200,"[0.565, 0.6225, 0.3641666666666667, 0.6408333333333334]",3,0.6408333333333334,0.7475,0.1066666666666666,0.7,19167.119865732988,9.133152718821982,3302
P194,3,9,1208,1200,"[0.5625, 0.6341666666666667, 0.3641666666666667, 0.6383333333333333]",3,0.6383333333333333,0.7525,0.1141666666666666,0.7083333333333334,19167.119865732988,9.133152718821982,3302
P194,4,9,1208,1200,"[0.5516666666666666, 0.62, 0.37, 0.62]",1,0.62,0.7541666666666667,0.1341666666666666,0.7166666666666667,19167.119865732988,9.133152718821982,3302
