user_id,task_index,video_id,condition,n_frames,frame_accuracy,action_0_fraction,mean_selected_event_l1,status,episode_fingerprint,trace_fingerprint,action_1_fraction,action_2_fraction,action_3_fraction,seed,run_path
P189,0,P189--condom-box--clutter--YWtyCgc2eo_vJn8Q81d9zO8tYVkXXRt4yajDmQKh22A,prototype,100,0.59,1.0,107.5936281712317,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--condom-box--clutter--lSqzRra_NR-okkaGM3ZFalWW4x4nqOoXq4ryWcU25nw,prototype,100,0.58,1.0,110.59712952100016,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--headband--clutter--Er9sRq_7lfKP2RKu1RpXF7hQu0Yj2Lga-exbTBkRt0o,prototype,100,0.74,1.0,109.82156217793288,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--headband--clutter--K9zY_L91JLrnwVVCSk9R79e1hw5SbP9MbKVDD1Gsuo0,prototype,100,0.56,1.0,112.92754149838812,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--keys--clutter--kTWsTv8oIXam4Ge8SKPu6KzCPJ5y6eN1tzZ4eCvzXpU,prototype,100,1.0,1.0,112.97592022305766,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--keys--clutter--o-OQ3tAnGPM2My61RC_t2lIonk_VEdZwACaboV7XxZ4,prototype,100,1.0,1.0,112.53415709308643,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--pinesol-cleaner--clutter--ah422q6GfQfm7Ye0WsXJch9hpdFZViYkBdhSxrmW4Qw,prototype,100,0.65,1.0,111.98490601195792,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--pinesol-cleaner--clutter--tla5SFECdB6X9nvRX-eAMb6z0ij6_fgmfg22qXx_C40,prototype,100,0.51,1.0,110.62477332836598,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--7fEvPkzY-2A6YOzfJJBxrW_1h12qj3Ylcoj7jwKXCOY,prototype,100,0.63,1.0,108.39750173226554,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--HxHanLJrx6KMUVJ1oe7ISuDVO51LOeiU186O2YRhur4,prototype,100,0.09,1.0,113.47449686452474,complete,c57ba7c274caed58228f9d3a781fea976c2f43174d74e8e56381ac20a7c79bbd,dd3d682413aefb3f7da78deb55fac49c040b5894e49dc091f300e2cd643b7c26,,,,3300,/home/spco/sow_linear/exp33_runs/smoke_v1/runs/exp33_orbit_streaming_fewshot/seed_3300/20260723T170829.196749Z_smoke
