user_id,task_index,n_classes,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,seed
P189,0,5,0.732,0.829,0.0969999999999999,0.481,4149.631964921833,3.7349003057937167,3400
P189,1,5,0.74,0.824,0.0839999999999999,0.506,4149.631964921833,3.7349003057937167,3400
P189,2,5,0.722,0.816,0.0939999999999999,0.496,4149.631964921833,3.7349003057937167,3400
P189,3,5,0.733,0.827,0.0939999999999999,0.496,4149.631964921833,3.7349003057937167,3400
P189,4,5,0.715,0.813,0.0979999999999999,0.478,4149.631964921833,3.7349003057937167,3400
P194,0,9,0.6291666666666667,0.7475,0.1183333333333334,0.7,19167.119865732988,9.133152718821982,3400
P194,1,9,0.6666666666666666,0.7791666666666667,0.1125,0.6966666666666667,19167.119865732988,9.133152718821982,3400
P194,2,9,0.6216666666666667,0.74,0.1183333333333332,0.695,19167.119865732988,9.133152718821982,3400
P194,3,9,0.6458333333333334,0.7533333333333333,0.1074999999999999,0.7016666666666667,19167.119865732988,9.133152718821982,3400
P194,4,9,0.6575,0.7791666666666667,0.1216666666666667,0.6916666666666667,19167.119865732988,9.133152718821982,3400
P189,0,5,0.755,0.836,0.0809999999999999,0.481,4149.631964921833,3.7349003057937167,3401
P189,1,5,0.714,0.815,0.1009999999999999,0.502,4149.631964921833,3.7349003057937167,3401
P189,2,5,0.728,0.822,0.0939999999999999,0.484,4149.631964921833,3.7349003057937167,3401
P189,3,5,0.711,0.816,0.1049999999999999,0.504,4149.631964921833,3.7349003057937167,3401
P189,4,5,0.716,0.818,0.1019999999999999,0.489,4149.631964921833,3.7349003057937167,3401
P194,0,9,0.6533333333333333,0.7691666666666667,0.1158333333333333,0.6925,19167.119865732988,9.133152718821982,3401
P194,1,9,0.6491666666666667,0.775,0.1258333333333333,0.7025,19167.119865732988,9.133152718821982,3401
P194,2,9,0.6308333333333334,0.7466666666666667,0.1158333333333333,0.6841666666666667,19167.119865732988,9.133152718821982,3401
P194,3,9,0.6483333333333333,0.7616666666666667,0.1133333333333334,0.7116666666666667,19167.119865732988,9.133152718821982,3401
P194,4,9,0.6183333333333333,0.7433333333333333,0.125,0.7208333333333333,19167.119865732988,9.133152718821982,3401
P189,0,5,0.715,0.811,0.096,0.477,4149.631964921833,3.7349003057937167,3402
P189,1,5,0.725,0.811,0.086,0.48,4149.631964921833,3.7349003057937167,3402
P189,2,5,0.731,0.814,0.0829999999999999,0.485,4149.631964921833,3.7349003057937167,3402
P189,3,5,0.714,0.809,0.095,0.491,4149.631964921833,3.7349003057937167,3402
P189,4,5,0.715,0.813,0.0979999999999999,0.495,4149.631964921833,3.7349003057937167,3402
P194,0,9,0.635,0.7516666666666667,0.1166666666666667,0.705,19167.119865732988,9.133152718821982,3402
P194,1,9,0.6241666666666666,0.75,0.1258333333333333,0.7233333333333334,19167.119865732988,9.133152718821982,3402
P194,2,9,0.6283333333333333,0.7475,0.1191666666666667,0.7033333333333334,19167.119865732988,9.133152718821982,3402
P194,3,9,0.63,0.7466666666666667,0.1166666666666667,0.7033333333333334,19167.119865732988,9.133152718821982,3402
P194,4,9,0.6366666666666667,0.7591666666666667,0.1224999999999999,0.6991666666666667,19167.119865732988,9.133152718821982,3402
