user_id,condition,user_video_mean_accuracy
P189,causal_consensus,0.7890666666666667
P189,delayed_consensus,0.7478000000000001
P189,delta,0.6652
P189,gain,0.7244
P189,memoryless_consensus,0.6481333333333333
P189,oracle_per_frame,0.8182666666666667
P189,prototype,0.6160666666666667
P189,selection_fixed_best,0.6481333333333333
P189,temporal,0.6481333333333333
P194,causal_consensus,0.6884444444444444
P194,delayed_consensus,0.6455555555555555
P194,delta,0.3696111111111111
P194,gain,0.6358333333333334
P194,memoryless_consensus,0.6357222222222222
P194,oracle_per_frame,0.7566666666666667
P194,prototype,0.5664444444444444
P194,selection_fixed_best,0.6357222222222222
P194,temporal,0.6357222222222222
