claim_id,criterion,target_dim,descriptive_estimate,descriptive_direction,stats_unit,n_biological_units,n_computational_seeds,n_failed_cells,conclusion,reason
R0_switching_improves_common,shared context transitions have lower NLL than common transition,4.0,0.00020319313954154927,oppose,recording_pair,1,20,0,inconclusive,only one aligned recording pair; seeds/folds/neurons are not biological replicates
R1_shared_retains_separate_gain,"min(median retained gain-0.95, 1-median parameter fraction) >=0",4.0,,unavailable,recording_pair,1,20,0,inconclusive,"paired models are complete, but separate does not improve common (common-minus-separate NLL <=0), so there is no positive switching gain to retain; only one aligned recording pair; seeds/folds/neurons are not biological replicates"
R2_aligned_beats_basis_controls,median per-seed minimum control-minus-shared NLL >0,4.0,0.0013404327053165854,support,recording_pair,1,20,0,inconclusive,only one aligned recording pair; seeds/folds/neurons are not biological replicates
R3_d4_nll_vs_highest_tested_dimension,d=4 shared NLL no more than 0.01 above highest tested dimension (d=32); not an intrinsic-rank estimate,4.0,-0.042439910834501784,support,recording_pair,1,20,0,inconclusive,only one aligned recording pair; seeds/folds/neurons are not biological replicates
R4_shared_has_absolute_predictive_signal,"min(median one-step R2, 1-median rollout NRMSE) >0",4.0,-0.013726755765816057,oppose,recording_pair,1,20,0,inconclusive,only one aligned recording pair; seeds/folds/neurons are not biological replicates
