analysis_fingerprint,data_fingerprint,dataset_pair,profile,computational_seed,latent_dim,shared_minus_common_nll,shared_minus_separate_nll,retained_switching_gain,random_minus_shared_nll,orthogonal_minus_shared_nll,shuffled_minus_shared_nll,shared_parameter_fraction_of_separate
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,1,0.00013060061262271105,-0.035876811697250405,,0.001535348605134601,0.0011808313357598577,0.0008481060028344145,0.5744444444444444
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,2,0.00023610831709169888,-0.03543721546673728,,0.0017960089964821901,0.0009761425601285123,0.0010631852998882474,0.5619621342512908
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,4,0.00027627869108226566,-0.03556939336663753,,0.0028158530689145755,0.002796661070322004,0.002250589018411464,0.5520094562647754
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,8,0.00019877502953258297,-0.03596229036966575,,0.00251109449524059,0.0034589480755681523,0.0019610790821306123,0.5518731988472623
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,16,9.665660420504762e-05,-0.03751469079893255,,0.0010154503596058462,0.0044911480719281305,5.358396676985455e-05,0.5698412698412698
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,0,32,0.0002902904946988083,-0.04055024064754045,,-0.006068789352141224,-0.0005211336290688595,-0.007720771259739245,0.6157556270096463
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,1,5.6485620494095556e-05,-0.013799160816409112,,0.0016520420406392067,0.0009933125147515154,0.0012041210958559645,0.5744444444444444
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,2,0.00014007381886155246,-0.013762644802036483,,0.002442205587688401,0.001991854734543441,0.001862062434712125,0.5619621342512908
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,4,0.00010159678009205586,-0.013657169491889776,,0.0027482401859497685,0.0029194966556989332,0.002454032545092605,0.5520094562647754
a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,visual_responding__visual_spontaneous,formal,1,8,8.676865873144535e-05,-0.014176416577720535,,0.002913107649001656,0.004158771525540839,0.0026648487706115997,0.5518731988472623
