seed,task_variant,local_matched_gain,local_natural_gain,exact_matched_gain,exact_natural_gain,bptt_matched_gain,bptt_natural_gain,local_test_loss_change,local_update_cosine
0,current,0.0,0.0,0.0,0.0,0.0,0.014705882352941235,-0.02777617059427262,0.685619537632547
1,current,-0.024749721913236877,-0.016685205784204626,-0.016129032258064502,-0.016129032258064502,-0.01724137931034475,0.0005561735261401246,-0.012847588492227613,0.4849563013161894
2,current,0.007352941176470562,0.0,0.016968325791855143,0.016968325791855143,0.009615384615384581,0.042986425339366474,-0.026557387019290557,0.7558197247479279
3,current,0.008196721311475308,0.0,0.008196721311475308,0.0,0.0,0.008196721311475308,-0.020060517704342196,0.7234479685768522
4,current,0.0,0.0,0.0,0.0,-0.007575757575757569,-0.007575757575757569,-0.016999403529620594,0.7525810313165615
5,current,0.01851851851851849,0.0,0.00925925925925919,0.0,0.0,0.01851851851851849,-0.02234212759639076,0.7746840426710455
6,current,-0.04694570135746601,-0.041855203619909465,-0.05429864253393657,-0.05429864253393657,-0.04694570135746601,-0.04694570135746601,0.021256239226874862,0.660221534270323
7,current,0.0,0.0,-0.009090909090909038,-0.009090909090909038,-0.009090909090909038,-0.0013986013986013734,-0.023153663389207435,0.6383395775897875
8,current,-0.03341687552213868,-0.024644945697577247,-0.024644945697577247,-0.024644945697577247,-0.015873015873015817,-0.015873015873015817,-0.003803069140955906,0.7810288363729991
9,current,-0.040723981900452455,-0.0118778280542986,-0.021493212669683293,-0.0118778280542986,-0.002262443438913908,-0.06504524886877827,-0.016739926925929294,0.629595858969861
10,current,0.016741071428571397,0.008928571428571397,0.017857142857142794,0.017857142857142794,0.008928571428571397,0.03459821428571419,-0.03230354770363053,0.685645098570212
11,current,0.0013986013986013734,0.010489510489510523,0.0013986013986013734,-0.0062937062937062915,0.0013986013986013734,0.010489510489510523,-0.014022452783379269,0.7720508011708034
12,current,0.008620689655172376,0.0,0.0,0.0,0.008064516129032251,-0.0005561735261401246,0.006797395592222144,0.7411513398657549
13,current,-0.009803921568627416,-0.002557544757033181,-0.019607843137254832,-0.002557544757033181,0.004688832054561054,-0.11082693947144073,0.009369901867110508,0.7503158623436111
14,current,0.0,0.007246376811594235,0.007246376811594235,0.007246376811594235,-0.002557544757033181,-0.02941176470588236,-0.016847463125509887,0.6008886136165454
15,current,-0.021428571428571574,0.0,-0.014285714285714346,-0.0071428571428572285,-0.014285714285714346,0.0,-0.023140739153995615,0.7850786806068129
16,current,-0.007692307692307776,0.0,-0.02447552447552459,0.0,-0.00909090909090915,0.0062937062937062915,-0.011599353958199277,0.6810611380576879
17,current,-0.01666666666666672,-0.016666666666666607,0.0,0.0,0.0,0.0,-0.025122117532105748,0.7607211024343528
18,current,0.032581453634085156,0.007936507936507908,0.041353383458646586,0.01670843776106934,0.007936507936507908,0.015873015873015817,-0.02143009935673751,0.8222602227093165
19,current,0.007692307692307665,0.0,0.007692307692307665,0.0,0.0,0.01538461538461533,-0.025060832722827164,0.7523234363789918
20,current,-0.016741071428571397,0.0,-0.0011160714285713969,0.0,0.0,-0.008928571428571397,0.0010603759831502857,0.736851700251527
21,current,0.024590163934426368,0.00819672131147553,0.024590163934426368,0.00819672131147553,0.016393442622950838,0.00819672131147553,-0.019187041202351318,0.7754934001733398
22,current,0.0,0.0,0.016685205784204626,0.0,0.016685205784204626,0.033370411568409364,-0.011485394477831423,0.6745738209331111
23,current,0.0,0.0,0.0,0.0,0.0,-0.008620689655172487,-0.00917665757833569,0.7430814063433944
24,current,-0.008620689655172376,0.0,0.0,0.0,0.008620689655172376,0.026974416017797487,-0.01593811347227775,0.6566681175803833
25,current,0.048387096774193505,0.008620689655172376,0.04894327030033363,0.03281423804226913,0.03281423804226913,0.05700778642936588,-0.04505884556027562,0.6735535633108947
