seed,method,sequence_id,block_id,cell,h_high,q_high,r_high,heldout_composition,n_steps,mean_nll,latent_mse,early_nll,late_nll,mean_h_estimate,mean_q_estimate,mean_r_estimate,true_h,true_q,true_r,jump_count,test_tape_digest
39123,selected_fixed,0,0,010,0,1,0,False,96,0.01437218364042768,0.018764355568905846,-0.029150317850689937,-0.07240728456345633,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,1,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,1,101,1,0,1,True,96,1.049906227027429,0.09832405846495212,1.7791334956824463,1.7119922875640912,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,2,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,2,001,0,0,1,False,96,1.1753708974144577,0.1323489262656167,0.699592949697385,0.8925987985280406,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,3,000,0,0,0,False,96,-0.28340795857053197,0.005469607588021744,-0.3101409260514375,-0.2027203143691336,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,4,100,1,0,0,False,96,-0.09600382221798902,0.0036451983902212933,0.18490568519511413,0.48414970486077175,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,3,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,5,111,1,1,1,True,96,1.9167061319063157,0.1419114697882374,2.4149069698082815,2.310691047202951,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,7,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,6,110,1,1,0,True,96,0.2778213556641556,0.013546279307112337,0.28124920203271475,0.20199785779147544,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,5,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,7,011,0,1,1,True,96,1.340646004031014,0.10732830831493086,0.5912830583452711,2.0340241478342427,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,0,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,8,100,1,0,0,False,96,0.04953440399698514,0.005067760647132837,0.18231535895858578,-0.3227495028748335,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,6,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
39123,selected_fixed,0,9,110,1,1,0,True,96,0.3727731737667667,0.0353367989704406,0.6589540028568024,0.2200311627574249,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,4,93358d82501f3cdccc8227800f8fdb63a2fea92e8db550114c178ee8636e2880
