session_id,panel,condition,accuracy,post_switch_accuracy,detection_precision,detection_recall,false_alarms_per_1000,median_detection_delay,n_frames_nested,n_switches_nested,n_alarms_nested,n_matched_switches_nested,n_seed_task_rows,n_seeds
s10,hidden_switch,bocpd_change_reset,0.401125,0.19835,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,bocpd_posterior,0.4571875,0.18305000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,bocpd_score_no_reset,0.401125,0.19835,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,cumulative,0.401125,0.19835,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,current_frame,0.9344583333333334,0.9321500000000001,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,fixed_forgetting,0.9344583333333334,0.9321500000000001,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,matched_shifted_reset,0.401125,0.19835,,0.0,0.0,,48000,1250,0,0,250,5
s10,hidden_switch,oracle_change_reset,0.952625,0.9434,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s10,hidden_switch,sliding_window,0.9242916666666667,0.9055,,0.0,0.0,,48000,1250,0,0,250,5
s10,natural,bocpd_change_reset,0.9844609375,,,,0.0,,128000,0,0,0,250,5
s10,natural,bocpd_posterior,0.9839375,,,,0.0,,128000,0,0,0,250,5
s10,natural,bocpd_score_no_reset,0.9844609375,,,,0.0,,128000,0,0,0,250,5
s10,natural,cumulative,0.9844609375,,,,0.0,,128000,0,0,0,250,5
s10,natural,current_frame,0.9340546875,,,,0.0,,128000,0,0,0,250,5
s10,natural,fixed_forgetting,0.9340546875,,,,0.0,,128000,0,0,0,250,5
s10,natural,matched_shifted_reset,0.9844609375,,,,0.0,,128000,0,0,0,250,5
s10,natural,oracle_change_reset,0.9844609375,,,,0.0,,128000,0,0,0,250,5
s10,natural,sliding_window,0.93646875,,,,0.0,,128000,0,0,0,250,5
s11,hidden_switch,bocpd_change_reset,0.4084375,0.20960000000000004,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,bocpd_posterior,0.45516666666666666,0.19410000000000002,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,bocpd_score_no_reset,0.4084375,0.20960000000000004,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,cumulative,0.4084375,0.20960000000000004,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,current_frame,0.9426458333333333,0.9370999999999999,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,fixed_forgetting,0.9426458333333333,0.9370999999999999,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,matched_shifted_reset,0.4084375,0.20960000000000004,,0.0,0.0,,48000,1250,0,0,250,5
s11,hidden_switch,oracle_change_reset,0.9647083333333334,0.9508499999999999,1.0,1.0,0.0,0.0,48000,1250,1250,1250,250,5
s11,hidden_switch,sliding_window,0.9330416666666665,0.91015,,0.0,0.0,,48000,1250,0,0,250,5
s11,natural,bocpd_change_reset,0.9835234375,,,,0.0,,128000,0,0,0,250,5
s11,natural,bocpd_posterior,0.983640625,,,,0.0,,128000,0,0,0,250,5
s11,natural,bocpd_score_no_reset,0.9835234375,,,,0.0,,128000,0,0,0,250,5
s11,natural,cumulative,0.9835234375,,,,0.0,,128000,0,0,0,250,5
s11,natural,current_frame,0.94265625,,,,0.0,,128000,0,0,0,250,5
s11,natural,fixed_forgetting,0.94265625,,,,0.0,,128000,0,0,0,250,5
s11,natural,matched_shifted_reset,0.9835234375,,,,0.0,,128000,0,0,0,250,5
s11,natural,oracle_change_reset,0.9835234375,,,,0.0,,128000,0,0,0,250,5
s11,natural,sliding_window,0.9457265625,,,,0.0,,128000,0,0,0,250,5
s3,hidden_switch,bocpd_change_reset,0.3915208333333333,0.19275,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,bocpd_posterior,0.45435416666666667,0.17535000000000003,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,bocpd_score_no_reset,0.3915208333333333,0.19275,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,cumulative,0.3915208333333333,0.19275,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,current_frame,0.9514375,0.9527,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,fixed_forgetting,0.9514375,0.9527,,0.0,0.0,,48000,1250,0,0,250,5
s3,hidden_switch,matched_shifted_reset,0.3915208333333333,0.19275,,0.0,0.0,,48000,1250,0,0,250,5
