seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43004,learned_event_learned_qr,1,0,110,011,1,1,-0.005615583127644625,0.0011426767396061181
43004,learned_event_learned_qr,1,0,110,011,4,4,0.2278692530935383,0.009423833626630898
43004,learned_event_learned_qr,1,0,110,011,8,8,1.228942128556293,0.03963197455115432
43004,learned_event_learned_qr,1,0,110,011,16,16,1.089426795433655,0.056128014640477286
43004,learned_event_learned_qr,2,0,011,110,1,1,0.6920973014027516,0.054859581522394174
43004,learned_event_learned_qr,2,0,011,110,4,4,0.36016617347043217,0.02521612631896293
43004,learned_event_learned_qr,2,0,011,110,8,8,0.40100541802794293,0.02356533434518629
43004,learned_event_learned_qr,2,0,011,110,16,16,0.3207629490361215,0.020886935153219387
43004,learned_event_learned_qr,3,0,110,101,1,1,0.38569356192390297,0.00023690728239645766
43004,learned_event_learned_qr,3,0,110,101,4,4,0.3465541350090082,0.009082449569263816
43004,learned_event_learned_qr,3,0,110,101,8,8,0.1420386999191286,0.006705917283575364
43004,learned_event_learned_qr,3,0,110,101,16,16,0.7444472571377604,0.04170970545979198
43004,learned_event_learned_qr,4,0,101,101,1,1,0.14340732874968184,0.010157189773507791
43004,learned_event_learned_qr,4,0,101,101,4,4,0.22027151849597273,0.0037347304342815854
43004,learned_event_learned_qr,4,0,101,101,8,8,0.2325075276869455,0.007913400472177583
43004,learned_event_learned_qr,4,0,101,101,16,16,0.5094039812351707,0.04593627903861339
43004,learned_event_learned_qr,5,0,101,101,1,1,0.9941875536685008,0.04201750590003493
43004,learned_event_learned_qr,5,0,101,101,4,4,0.8361789863449103,0.02252121568263647
43004,learned_event_learned_qr,5,0,101,101,8,8,0.8882185721358347,0.028920412284790656
43004,learned_event_learned_qr,5,0,101,101,16,16,1.0875739930847172,0.10350731720651356
43004,learned_event_learned_qr,6,0,101,111,1,1,0.1368033813607637,0.01475363181462024
43004,learned_event_learned_qr,6,0,101,111,4,4,1.4357742905045463,0.036090784827838396
43004,learned_event_learned_qr,6,0,101,111,8,8,1.7199587657928204,0.031821458819115106
43004,learned_event_learned_qr,6,0,101,111,16,16,1.2586552600923062,0.021192375717389033
43004,learned_event_learned_qr,7,0,111,011,1,1,1.1019859761418276,0.02455733818012577
43004,learned_event_learned_qr,7,0,111,011,4,4,0.9370848562484151,0.018120625926851833
43004,learned_event_learned_qr,7,0,111,011,8,8,0.749184102794773,0.0291934205822446
43004,learned_event_learned_qr,7,0,111,011,16,16,0.6962654160950927,0.028944560159015652
43004,learned_event_learned_qr,8,0,011,011,1,1,2.3726144647050553,0.010000593716935227
43004,learned_event_learned_qr,8,0,011,011,4,4,0.950224375460957,0.012297594366450624
43004,learned_event_learned_qr,8,0,011,011,8,8,0.6883772789981069,0.07109270472623123
43004,learned_event_learned_qr,8,0,011,011,16,16,0.7911297092360889,0.07388186545196901
43004,learned_event_learned_qr,9,0,011,111,1,1,0.43898044074581427,0.022694696956113154
43004,learned_event_learned_qr,9,0,011,111,4,4,0.8643050073172538,0.1749972352738751
43004,learned_event_learned_qr,9,0,011,111,8,8,0.8414699118251134,0.09675256269417254
43004,learned_event_learned_qr,9,0,011,111,16,16,1.05711580482195,0.05329415480951095
43004,learned_event_learned_qr,10,0,111,111,1,1,0.31227553552791454,0.03347289043130421
43004,learned_event_learned_qr,10,0,111,111,4,4,0.3652518528225442,0.019295431007142025
43004,learned_event_learned_qr,10,0,111,111,8,8,0.9860785254668328,0.020890592469350384
43004,learned_event_learned_qr,10,0,111,111,16,16,1.062807764756938,0.03189620666906788
43004,learned_event_learned_qr,11,0,111,110,1,1,0.19707462982504834,0.004065184642170336
43004,learned_event_learned_qr,11,0,111,110,4,4,0.17411692256649425,0.00817220544796066
43004,learned_event_learned_qr,11,0,111,110,8,8,0.14620270244406725,0.008826663597730471
43004,learned_event_learned_qr,11,0,111,110,16,16,0.1606060088009986,0.01663011794313935
43004,learned_event_learned_qr,13,1,111,111,1,1,2.658312124080641,0.0022233384436264087
43004,learned_event_learned_qr,13,1,111,111,4,4,1.5341131117715205,0.08350136767330452
43004,learned_event_learned_qr,13,1,111,111,8,8,1.176692742704516,0.05165548760261056
43004,learned_event_learned_qr,13,1,111,111,16,16,0.7722628393007858,0.03826162884781935
43004,learned_event_learned_qr,14,1,111,011,1,1,0.32832393896057077,0.0240818505857257
43004,learned_event_learned_qr,14,1,111,011,4,4,0.3638328483749267,0.06500081415559125
43004,learned_event_learned_qr,14,1,111,011,8,8,0.47869554633521305,0.14005626530592796
43004,learned_event_learned_qr,14,1,111,011,16,16,0.39496775612131907,0.0783719563184408
43004,learned_event_learned_qr,15,1,011,011,1,1,4.577333728524791,0.3394995275679884
43004,learned_event_learned_qr,15,1,011,011,4,4,1.7347745081232624,0.09845354803221473
43004,learned_event_learned_qr,15,1,011,011,8,8,1.069620751434707,0.06499310555077142
43004,learned_event_learned_qr,15,1,011,011,16,16,0.948549591956082,0.05824304787200821
43004,learned_event_learned_qr,16,1,011,101,1,1,0.27993830544264336,0.06789736220241417
43004,learned_event_learned_qr,16,1,011,101,4,4,0.4385477665621651,0.03652950771997461
43004,learned_event_learned_qr,16,1,011,101,8,8,0.3688456977011591,0.01991488969069294
43004,learned_event_learned_qr,16,1,011,101,16,16,0.5907845394530746,0.05600883764188898
43004,learned_event_learned_qr,17,1,101,101,1,1,0.47004673812040326,0.012615297617230866
43004,learned_event_learned_qr,17,1,101,101,4,4,0.43388315758853463,0.010547993967877612
43004,learned_event_learned_qr,17,1,101,101,8,8,0.5522423362821137,0.027404059508690435
43004,learned_event_learned_qr,17,1,101,101,16,16,0.40847950937353494,0.03855458563545283
43004,learned_event_learned_qr,18,1,101,110,1,1,0.3881161371329449,0.01493945999278891
43004,learned_event_learned_qr,18,1,101,110,4,4,0.3576458249457858,0.010592896172179534
43004,learned_event_learned_qr,18,1,101,110,8,8,0.26233273993503403,0.011753275395627389
43004,learned_event_learned_qr,18,1,101,110,16,16,0.5723063473670946,0.017321507805627738
43004,learned_event_learned_qr,19,1,110,101,1,1,0.28893608778403707,3.151163201701751e-05
43004,learned_event_learned_qr,19,1,110,101,4,4,-0.042658754919460716,0.04122133170929545
43004,learned_event_learned_qr,19,1,110,101,8,8,0.10086846475365926,0.039676939056069296
43004,learned_event_learned_qr,19,1,110,101,16,16,0.8707091460654526,0.06525078538719345
43004,learned_event_learned_qr,20,1,101,011,1,1,0.6481466137221114,0.08501910592276686
43004,learned_event_learned_qr,20,1,101,011,4,4,0.5453388511826818,0.07199902155224698
43004,learned_event_learned_qr,20,1,101,011,8,8,0.8681548710438161,0.060146221996828654
43004,learned_event_learned_qr,20,1,101,011,16,16,0.8717610087570947,0.05241687560532535
43004,learned_event_learned_qr,21,1,011,110,1,1,0.24938652025536096,0.00039845766859700465
43004,learned_event_learned_qr,21,1,011,110,4,4,0.7933051956892769,0.11200744219704334
43004,learned_event_learned_qr,21,1,011,110,8,8,0.60870884319174,0.0953724663478705
43004,learned_event_learned_qr,21,1,011,110,16,16,0.3768038601284018,0.05971474555316103
43004,learned_event_learned_qr,22,1,110,111,1,1,3.172884483779116,0.01691231847164677
43004,learned_event_learned_qr,22,1,110,111,4,4,1.8916550615136434,0.30096027657063507
43004,learned_event_learned_qr,22,1,110,111,8,8,1.4464322184666396,0.22644510852286537
43004,learned_event_learned_qr,22,1,110,111,16,16,1.365102012756898,0.14916593748143717
43004,learned_event_learned_qr,23,1,111,110,1,1,0.621835276587148,0.03624427200379337
43004,learned_event_learned_qr,23,1,111,110,4,4,0.40648706572456017,0.011708986009697591
43004,learned_event_learned_qr,23,1,111,110,8,8,0.3737920186892611,0.013358787374498896
43004,learned_event_learned_qr,23,1,111,110,16,16,0.2738482818735608,0.010278955438451027
43004,learned_event_learned_qr,25,2,111,101,1,1,0.5771714270850197,0.006431647374415347
43004,learned_event_learned_qr,25,2,111,101,4,4,0.7932251856681922,0.017497184339000257
43004,learned_event_learned_qr,25,2,111,101,8,8,0.5717209535677268,0.02082108485049697
43004,learned_event_learned_qr,25,2,111,101,16,16,0.9582552281056516,0.031025993349098935
43004,learned_event_learned_qr,26,2,101,111,1,1,0.2968491193085841,0.03310049666359165
43004,learned_event_learned_qr,26,2,101,111,4,4,0.6316544326916478,0.028868422063807082
43004,learned_event_learned_qr,26,2,101,111,8,8,0.7571520450659249,0.018910874476342918
43004,learned_event_learned_qr,26,2,101,111,16,16,0.8192386317394055,0.024257745520007666
43004,learned_event_learned_qr,27,2,111,111,1,1,1.2277325211780583,0.2626553698403208
43004,learned_event_learned_qr,27,2,111,111,4,4,1.5666324319403035,0.0742505302729732
43004,learned_event_learned_qr,27,2,111,111,8,8,1.8410205828608592,0.05992071291093132
43004,learned_event_learned_qr,27,2,111,111,16,16,1.2843021422696195,0.05419256020467043
43004,learned_event_learned_qr,28,2,111,011,1,1,0.30904115076168176,0.0026774078248163434
43004,learned_event_learned_qr,28,2,111,011,4,4,0.5239938332744317,0.037359953501052666
43004,learned_event_learned_qr,28,2,111,011,8,8,0.685218083600192,0.03727896931193975
43004,learned_event_learned_qr,28,2,111,011,16,16,0.6243020661389761,0.022520140175849804
43004,learned_event_learned_qr,29,2,011,110,1,1,0.4555023079173883,0.04215799173411881
43004,learned_event_learned_qr,29,2,011,110,4,4,0.29093199297316524,0.026028062622708237
43004,learned_event_learned_qr,29,2,011,110,8,8,0.25328458136301296,0.019352200853937743
43004,learned_event_learned_qr,29,2,011,110,16,16,0.40909237995936776,0.03594654919686457
43004,learned_event_learned_qr,30,2,110,110,1,1,-0.3909035003944729,0.04976597533198244
43004,learned_event_learned_qr,30,2,110,110,4,4,0.7768797828187773,0.058522739936894025
43004,learned_event_learned_qr,30,2,110,110,8,8,0.5071442244253758,0.04442952435022661
43004,learned_event_learned_qr,30,2,110,110,16,16,0.5610977302773861,0.0395559936529902
43004,learned_event_learned_qr,31,2,110,101,1,1,1.2826695443070726,0.00820170479237962
