seed,method,block_id,sequence_id,cell,block_length,n_jumps,nll,latent_mse,late_nll,late_latent_mse,mean_h,mean_q,mean_r,mean_jump_probability,mean_release_probability
43004,learned_event_learned_qr,0,0,110,128,9,0.4910479950246547,0.02429434739147752,0.5970007243941016,0.017181325580023027,0.012624189497621119,0.019880405515054916,0.04968492821189417,0.03723050032254985,0.03723050032254985
43004,learned_event_learned_qr,1,0,011,128,1,0.9682985712388343,0.06704327546856889,0.8009091061895364,0.05762631854530384,0.0187574482747193,0.05137294600683104,0.15047859263879426,0.02606821864190778,0.02606821864190778
43004,learned_event_learned_qr,2,0,110,96,7,0.40220634037779385,0.020490487949366226,0.7169306908943535,0.02365706981421362,0.018964392260154766,0.013024101943751481,0.057648090570373144,0.049356471846601135,0.049356471846601135
43004,learned_event_learned_qr,3,0,101,96,4,0.9251835798289543,0.058263677557360304,1.8401353598236079,0.11105598891085483,0.026406425162589897,0.020675600376272325,0.0964997785618885,0.06613850254201496,0.06613850254201496
43004,learned_event_learned_qr,4,0,101,128,9,0.9176839193867016,0.06822512235461753,1.300974855968268,0.10169223764990634,0.03085763676098844,0.0359292590558881,0.1687772595491976,0.031068045134632356,0.031068045134632356
43004,learned_event_learned_qr,5,0,101,64,5,0.8379964534367743,0.07767969708713951,0.6242537605769329,0.11559035020121014,0.032707477456250245,0.03034163771565346,0.14662239734478763,0.041777401394540316,0.041777401394540316
43004,learned_event_learned_qr,6,0,111,128,6,1.0708687872130993,0.08787818090610217,1.0592325124346609,0.058922305480259105,0.035401982072164606,0.035140095915177416,0.17433796655864284,0.04820889727656313,0.04820889727656313
43004,learned_event_learned_qr,7,0,011,64,0,0.8818804189126291,0.07745186968591197,0.5549629633237316,0.0369454583009851,0.03569063079910182,0.04301620290712928,0.21435122148393548,0.027387759108168118,0.027387759108168118
43004,learned_event_learned_qr,8,0,011,96,0,0.8717257225167496,0.06630424420334345,0.9691021564903629,0.03293247067543648,0.03346307027803499,0.03362289866978914,0.167635134963948,0.014243861184939269,0.014243861184939269
43004,learned_event_learned_qr,9,0,111,64,2,0.969562307770481,0.07491061093398904,1.0272595477600008,0.053989160782848065,0.032095997977079196,0.037299969060852554,0.18581731501401605,0.04657950129987554,0.04657950129987554
43004,learned_event_learned_qr,10,0,111,96,4,0.96794253040322,0.07407109683301397,1.399347774285693,0.08534269945028161,0.03275570329160842,0.03060841065564038,0.15258580368318775,0.052388115036849175,0.052388115036849175
43004,learned_event_learned_qr,11,0,110,64,4,0.5650140577891816,0.03400642690884528,0.4848830115537377,0.020560485609001065,0.03709041008134696,0.016178960134461465,0.08087548956125538,0.061277357341744706,0.061277357341744706
43004,learned_event_learned_qr,12,1,111,96,4,1.0071453851724055,0.09130346457007064,0.7859339754412495,0.03524354424483814,0.013878991770001431,0.05928833024164488,0.07984216472681831,0.056859992717864294,0.056859992717864294
43004,learned_event_learned_qr,13,1,111,128,7,1.0407528808978908,0.06396687041306168,0.9827683290220202,0.026368826685692105,0.02290958031581137,0.05272915502365763,0.13635971047887807,0.056599532070159386,0.056599532070159386
43004,learned_event_learned_qr,14,1,011,64,1,0.7344935762988472,0.0555233497024623,0.590449367801354,0.015445566493959813,0.02673845891539376,0.032861262189610524,0.12325813415014339,0.0262092438721533,0.0262092438721533
43004,learned_event_learned_qr,15,1,011,96,0,0.8203010068121936,0.06277023109370637,0.7330422460628139,0.045883951200469716,0.026488351410837257,0.037952156060757976,0.1527521354327738,0.0171249467767718,0.0171249467767718
43004,learned_event_learned_qr,16,1,101,96,7,0.9050212592071581,0.07674273955487078,0.8534240955197732,0.08634445746709728,0.0270590572477727,0.03238474058893226,0.14485031570949883,0.043106637074846486,0.043106637074846486
43004,learned_event_learned_qr,17,1,101,64,3,0.8181601410493642,0.05353886409147955,1.2001092794723405,0.04209419153114673,0.027943587597457784,0.02586072353630725,0.12242072315691366,0.03961851080358306,0.03961851080358306
43004,learned_event_learned_qr,18,1,110,128,8,0.4303485932002422,0.02940937499100215,0.08508825374372188,0.03026574044203112,0.032723330303928044,0.013848091194522613,0.06770581384704735,0.04682064040954782,0.04682064040954782
43004,learned_event_learned_qr,19,1,101,128,6,0.8634333168652868,0.06455175715226255,0.7241871929334414,0.023361612595378375,0.03710265683914605,0.0229975489603794,0.11277381799695957,0.05290347480012099,0.05290347480012099
43004,learned_event_learned_qr,20,1,011,128,0,0.8247449329759227,0.0695647070831964,0.7534931889156512,0.04743419428208802,0.035308626228610654,0.03413231322265165,0.1674126014669732,0.02091206889450002,0.02091206889450002
43004,learned_event_learned_qr,21,1,110,96,5,0.3699591339167132,0.04024799023494343,0.11574207935942893,0.028924973040826002,0.032497568530277965,0.015158901549024065,0.07516993131924503,0.027359934629179128,0.027359934629179128
43004,learned_event_learned_qr,22,1,111,64,4,1.2378413743556258,0.12022790313233786,1.2795694230266963,0.1669867699438971,0.033462036202300885,0.03373862598728231,0.16747685068510432,0.061642766229467565,0.061642766229467565
43004,learned_event_learned_qr,23,1,110,64,3,0.4763217367343209,0.03254138976421976,0.2294549121621052,0.04194239550788262,0.035675969165024926,0.016815286192665084,0.08414339009267902,0.039776699621212344,0.039776699621212344
