seed,selection_family,hazard_rate,process_rate,observation_rate,fit_nll,selected,process_variance,observation_variance,statistic_decay,prior_mass,q_fraction,mode_switch_probability
43004,learned_event_learned_qr,0.002,0.02,0.02,0.19605376977894715,False,,,,,,
43004,learned_event_learned_qr,0.002,0.02,0.1,0.13207615391075642,False,,,,,,
43004,learned_event_learned_qr,0.002,0.02,0.5,0.1516672146755166,False,,,,,,
43004,learned_event_learned_qr,0.002,0.1,0.02,0.17617235360006026,False,,,,,,
43004,learned_event_learned_qr,0.002,0.1,0.1,0.10118058209203085,False,,,,,,
43004,learned_event_learned_qr,0.002,0.1,0.5,0.11162602433443339,False,,,,,,
43004,learned_event_learned_qr,0.002,0.5,0.02,0.1757930596949192,False,,,,,,
43004,learned_event_learned_qr,0.002,0.5,0.1,0.07803826779600824,True,,,,,,
43004,learned_event_learned_qr,0.002,0.5,0.5,0.08419095595190515,False,,,,,,
43004,learned_event_learned_qr,0.02,0.02,0.02,0.19290746139930026,False,,,,,,
43004,learned_event_learned_qr,0.02,0.02,0.1,0.1444438353581045,False,,,,,,
43004,learned_event_learned_qr,0.02,0.02,0.5,0.1538115433777463,False,,,,,,
43004,learned_event_learned_qr,0.02,0.1,0.02,0.17879280263272657,False,,,,,,
43004,learned_event_learned_qr,0.02,0.1,0.1,0.10916581596510466,False,,,,,,
43004,learned_event_learned_qr,0.02,0.1,0.5,0.11374610675099513,False,,,,,,
43004,learned_event_learned_qr,0.02,0.5,0.02,0.18246132908020035,False,,,,,,
43004,learned_event_learned_qr,0.02,0.5,0.1,0.08285672191047443,False,,,,,,
43004,learned_event_learned_qr,0.02,0.5,0.5,0.08576465557719934,False,,,,,,
43004,learned_event_learned_qr,0.1,0.02,0.02,0.19590532602957986,False,,,,,,
43004,learned_event_learned_qr,0.1,0.02,0.1,0.14495447939332318,False,,,,,,
43004,learned_event_learned_qr,0.1,0.02,0.5,0.15567951439368308,False,,,,,,
43004,learned_event_learned_qr,0.1,0.1,0.02,0.18228449396348673,False,,,,,,
43004,learned_event_learned_qr,0.1,0.1,0.1,0.1117186413473685,False,,,,,,
43004,learned_event_learned_qr,0.1,0.1,0.5,0.11835958624486503,False,,,,,,
43004,learned_event_learned_qr,0.1,0.5,0.02,0.1879228813371265,False,,,,,,
43004,learned_event_learned_qr,0.1,0.5,0.1,0.09173741828418645,False,,,,,,
43004,learned_event_learned_qr,0.1,0.5,0.5,0.08968811867898002,False,,,,,,
43004,selected_fixed_jump,,,,0.7229336124649453,False,0.0025,0.01,,,,
43004,selected_fixed_jump,,,,0.2995674176106533,False,0.0025,0.04,,,,
43004,selected_fixed_jump,,,,0.43180947044208406,False,0.0025,0.16,,,,
43004,selected_fixed_jump,,,,0.4208270149113482,False,0.02,0.01,,,,
43004,selected_fixed_jump,,,,0.2433489231222404,True,0.02,0.04,,,,
43004,selected_fixed_jump,,,,0.44047804983166244,False,0.02,0.16,,,,
43004,selected_fixed_jump,,,,0.3454445995536599,False,0.04,0.01,,,,
43004,selected_fixed_jump,,,,0.27546380493726513,False,0.04,0.04,,,,
43004,selected_fixed_jump,,,,0.4809024208891796,False,0.04,0.16,,,,
43004,h_plus_total_variance,0.002,,,0.10731870274118502,False,,,0.95,1.0,0.1,
43004,h_plus_total_variance,0.02,,,0.11331711134792978,False,,,0.95,1.0,0.1,
43004,h_plus_total_variance,0.1,,,0.1189344505486247,False,,,0.95,1.0,0.1,
43004,h_plus_total_variance,0.002,,,0.10803973878869032,False,,,0.95,1.0,0.5,
43004,h_plus_total_variance,0.02,,,0.10990438162202817,False,,,0.95,1.0,0.5,
43004,h_plus_total_variance,0.1,,,0.1130963787481128,False,,,0.95,1.0,0.5,
43004,h_plus_total_variance,0.002,,,0.15991341212104088,False,,,0.95,1.0,0.9,
43004,h_plus_total_variance,0.02,,,0.16196840756036424,False,,,0.95,1.0,0.9,
43004,h_plus_total_variance,0.1,,,0.16379386063024037,False,,,0.95,1.0,0.9,
43004,h_plus_total_variance,0.002,,,0.10726120138279234,True,,,0.95,4.0,0.1,
43004,h_plus_total_variance,0.02,,,0.11346251390376579,False,,,0.95,4.0,0.1,
43004,h_plus_total_variance,0.1,,,0.11933583251655283,False,,,0.95,4.0,0.1,
43004,h_plus_total_variance,0.002,,,0.1084361909657363,False,,,0.95,4.0,0.5,
43004,h_plus_total_variance,0.02,,,0.11027655816210132,False,,,0.95,4.0,0.5,
43004,h_plus_total_variance,0.1,,,0.11343504381209152,False,,,0.95,4.0,0.5,
43004,h_plus_total_variance,0.002,,,0.16027365626730192,False,,,0.95,4.0,0.9,
43004,h_plus_total_variance,0.02,,,0.16228910220102566,False,,,0.95,4.0,0.9,
43004,h_plus_total_variance,0.1,,,0.16408267703148205,False,,,0.95,4.0,0.9,
43004,h_plus_total_variance,0.002,,,0.10787285172669651,False,,,0.95,16.0,0.1,
43004,h_plus_total_variance,0.02,,,0.1141073581835584,False,,,0.95,16.0,0.1,
43004,h_plus_total_variance,0.1,,,0.12048907033067266,False,,,0.95,16.0,0.1,
43004,h_plus_total_variance,0.002,,,0.1096878710843446,False,,,0.95,16.0,0.5,
43004,h_plus_total_variance,0.02,,,0.11136786987923715,False,,,0.95,16.0,0.5,
43004,h_plus_total_variance,0.1,,,0.11462546405297297,False,,,0.95,16.0,0.5,
43004,h_plus_total_variance,0.002,,,0.16147027516689938,False,,,0.95,16.0,0.9,
43004,h_plus_total_variance,0.02,,,0.16332970712014952,False,,,0.95,16.0,0.9,
43004,h_plus_total_variance,0.1,,,0.16520038633559458,False,,,0.95,16.0,0.9,
43004,h_plus_total_variance,0.002,,,0.2132227587901231,False,,,0.99,1.0,0.1,
43004,h_plus_total_variance,0.02,,,0.22060320645777856,False,,,0.99,1.0,0.1,
43004,h_plus_total_variance,0.1,,,0.22603604275790445,False,,,0.99,1.0,0.1,
43004,h_plus_total_variance,0.002,,,0.226183414393857,False,,,0.99,1.0,0.5,
43004,h_plus_total_variance,0.02,,,0.22188146981868406,False,,,0.99,1.0,0.5,
43004,h_plus_total_variance,0.1,,,0.2239505582872058,False,,,0.99,1.0,0.5,
43004,h_plus_total_variance,0.002,,,0.2810604797984465,False,,,0.99,1.0,0.9,
43004,h_plus_total_variance,0.02,,,0.27058047711997596,False,,,0.99,1.0,0.9,
43004,h_plus_total_variance,0.1,,,0.27152666708581247,False,,,0.99,1.0,0.9,
43004,h_plus_total_variance,0.002,,,0.21197488233994408,False,,,0.99,4.0,0.1,
43004,h_plus_total_variance,0.02,,,0.21858287333449333,False,,,0.99,4.0,0.1,
43004,h_plus_total_variance,0.1,,,0.22370937845206,False,,,0.99,4.0,0.1,
43004,h_plus_total_variance,0.002,,,0.22549779920903823,False,,,0.99,4.0,0.5,
43004,h_plus_total_variance,0.02,,,0.22042123523542104,False,,,0.99,4.0,0.5,
43004,h_plus_total_variance,0.1,,,0.22213720780556087,False,,,0.99,4.0,0.5,
43004,h_plus_total_variance,0.002,,,0.2797761411789116,False,,,0.99,4.0,0.9,
43004,h_plus_total_variance,0.02,,,0.2692393124929795,False,,,0.99,4.0,0.9,
43004,h_plus_total_variance,0.1,,,0.27027187285887355,False,,,0.99,4.0,0.9,
43004,h_plus_total_variance,0.002,,,0.20972841144709575,False,,,0.99,16.0,0.1,
43004,h_plus_total_variance,0.02,,,0.21601611665422682,False,,,0.99,16.0,0.1,
43004,h_plus_total_variance,0.1,,,0.21900138795374785,False,,,0.99,16.0,0.1,
43004,h_plus_total_variance,0.002,,,0.22333537931789882,False,,,0.99,16.0,0.5,
43004,h_plus_total_variance,0.02,,,0.21849682978566862,False,,,0.99,16.0,0.5,
43004,h_plus_total_variance,0.1,,,0.21895379404769252,False,,,0.99,16.0,0.5,
43004,h_plus_total_variance,0.002,,,0.2766233447220021,False,,,0.99,16.0,0.9,
43004,h_plus_total_variance,0.02,,,0.26613419668815463,False,,,0.99,16.0,0.9,
43004,h_plus_total_variance,0.1,,,0.2677502700235055,False,,,0.99,16.0,0.9,
43004,h_plus_total_variance,0.002,,,0.27575268826346827,False,,,1.0,1.0,0.1,
43004,h_plus_total_variance,0.02,,,0.26824848723513944,False,,,1.0,1.0,0.1,
43004,h_plus_total_variance,0.1,,,0.2751576723886774,False,,,1.0,1.0,0.1,
43004,h_plus_total_variance,0.002,,,0.3018362461862697,False,,,1.0,1.0,0.5,
43004,h_plus_total_variance,0.02,,,0.2835855435405013,False,,,1.0,1.0,0.5,
43004,h_plus_total_variance,0.1,,,0.2861889321555331,False,,,1.0,1.0,0.5,
43004,h_plus_total_variance,0.002,,,0.3554386546103514,False,,,1.0,1.0,0.9,
43004,h_plus_total_variance,0.02,,,0.3311451477858352,False,,,1.0,1.0,0.9,
43004,h_plus_total_variance,0.1,,,0.33082405587920605,False,,,1.0,1.0,0.9,
43004,h_plus_total_variance,0.002,,,0.2712378847098817,False,,,1.0,4.0,0.1,
43004,h_plus_total_variance,0.02,,,0.2623066520814759,False,,,1.0,4.0,0.1,
43004,h_plus_total_variance,0.1,,,0.2676255399692224,False,,,1.0,4.0,0.1,
43004,h_plus_total_variance,0.002,,,0.29974320094909995,False,,,1.0,4.0,0.5,
43004,h_plus_total_variance,0.02,,,0.2809559030531282,False,,,1.0,4.0,0.5,
43004,h_plus_total_variance,0.1,,,0.28304060058171293,False,,,1.0,4.0,0.5,
43004,h_plus_total_variance,0.002,,,0.352724925065659,False,,,1.0,4.0,0.9,
43004,h_plus_total_variance,0.02,,,0.3282648016124776,False,,,1.0,4.0,0.9,
43004,h_plus_total_variance,0.1,,,0.3282772185666797,False,,,1.0,4.0,0.9,
