direct_reliability,association_load,distractor_writes,interference_pressure,actuator_mode,n_seeds,n_blocks,mean_full_accuracy,sd_full_accuracy,mean_deployment_accuracy
0.55,8,8,0.9375,associative_query_shuffled,30,180,0.5021267361111111,0.04151132278403728,0.5048611111111111
0.55,8,8,0.9375,fixed_associative,30,180,0.848828125,0.03117872239570924,0.8516493055555555
0.55,8,8,0.9375,fixed_routing,30,180,0.5521701388888889,0.043153097404740944,0.5532118055555556
0.55,8,8,0.9375,matched_probe_random,30,180,0.7146701388888889,0.08136379897411473,0.73046875
0.55,8,8,0.9375,oracle_hidden_train_map,30,180,0.848828125,0.03117872239570924,0.8516493055555555
0.55,8,8,0.9375,reward_only_local,30,180,0.7752604166666667,0.03414988662440179,0.8516493055555555
0.55,8,8,0.9375,train_fixed_best,30,180,0.6430121527777778,0.14198619899241305,0.6446180555555555
0.55,8,24,1.9375,associative_query_shuffled,30,180,0.4950086805555556,0.0432407819296507,0.49236111111111114
0.55,8,24,1.9375,fixed_associative,30,180,0.7698350694444445,0.040694469912442015,0.775
0.55,8,24,1.9375,fixed_routing,30,180,0.5528645833333333,0.048519933459476354,0.5514756944444444
0.55,8,24,1.9375,matched_probe_random,30,180,0.6664496527777778,0.07105826005701159,0.6699652777777778
0.55,8,24,1.9375,oracle_hidden_train_map,30,180,0.7698350694444445,0.040694469912442015,0.775
0.55,8,24,1.9375,reward_only_local,30,180,0.716015625,0.04499302682771812,0.7690972222222222
0.55,8,24,1.9375,train_fixed_best,30,180,0.61328125,0.10835864322368534,0.6152777777777778
0.55,8,48,3.4375,associative_query_shuffled,30,180,0.503125,0.044735569382169785,0.5065104166666666
0.55,8,48,3.4375,fixed_associative,30,180,0.7043402777777777,0.039352296384308975,0.7002604166666667
0.55,8,48,3.4375,fixed_routing,30,180,0.5523003472222222,0.045599927151242205,0.5538194444444444
0.55,8,48,3.4375,matched_probe_random,30,180,0.6223090277777777,0.0591379363004284,0.6183159722222222
0.55,8,48,3.4375,oracle_hidden_train_map,30,180,0.7043402777777777,0.039352296384308975,0.7002604166666667
0.55,8,48,3.4375,reward_only_local,30,180,0.6611111111111111,0.04310961669779912,0.6959201388888889
0.55,8,48,3.4375,train_fixed_best,30,180,0.5954427083333333,0.08058400956484564,0.5935763888888889
0.55,16,8,1.4375,associative_query_shuffled,30,180,0.5036892361111112,0.04267457032123185,0.5133680555555555
