seed,run_path,run_status,condition_failures,condition_invalid
0,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0000/20260718T053758.184393Z_exp31_formal_v1_9b06805,complete,0,0
1,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0001/20260718T053759.329281Z_exp31_formal_v1_9b06805,complete,0,0
2,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0002/20260718T053800.517717Z_exp31_formal_v1_9b06805,complete,0,0
3,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0003/20260718T053801.479054Z_exp31_formal_v1_9b06805,complete,0,0
4,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0004/20260718T053802.255234Z_exp31_formal_v1_9b06805,complete,0,0
5,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0005/20260718T053803.365235Z_exp31_formal_v1_9b06805,complete,0,0
6,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0006/20260718T053804.497153Z_exp31_formal_v1_9b06805,complete,0,0
7,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0007/20260718T053805.635675Z_exp31_formal_v1_9b06805,complete,0,0
8,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0008/20260718T053806.785439Z_exp31_formal_v1_9b06805,complete,0,0
9,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0009/20260718T053807.944008Z_exp31_formal_v1_9b06805,complete,0,0
10,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0010/20260718T053809.089384Z_exp31_formal_v1_9b06805,complete,0,0
11,/home/spco/sow_linear/neuro_modeling_exp26_publish_20260717_130100/local_plasticity_gated_dynamics/results/runs/exp31_hidden_reliability_reward_selector/seed_0011/20260718T053810.205151Z_exp31_formal_v1_9b06805,complete,0,0
