seed,fixed_routing_macro_accuracy,fixed_associative_macro_accuracy,associative_query_shuffled_macro_accuracy,train_fixed_best_macro_accuracy,matched_probe_random_macro_accuracy,reward_only_local_macro_accuracy,oracle_hidden_train_map_macro_accuracy,reward_only_minus_fixed,reward_only_minus_random,oracle_opportunity,oracle_gain_retained,oracle_retention_margin,reliability_crossover,associative_query_specificity,reward_selector_posthoc_choice_accuracy,mean_local_regret,memory_pressure_spearman,n_memory_better_cells,n_routing_better_cells,both_actuator_winners_present
0,0.751953125,0.7464554398148148,0.4943576388888889,0.7464554398148148,0.7442129629629629,0.7931134259259259,0.8466435185185185,0.04665798611111116,0.04890046296296302,0.10018807870370372,0.465703971119134,0.02161096643518523,0.43359375,0.38151041666666663,0.9259259259259259,0.05381944444444445,-0.9761904761904763,9,9,True
1,0.7447916666666666,0.7466724537037037,0.4976128472222222,0.7447916666666666,0.7509403935185185,0.7952112268518519,0.84765625,0.05041956018518523,0.04427083333333337,0.10286458333333337,0.4901547116736993,0.024703414351851888,0.38932291666666674,0.31640625,0.9259259259259259,0.05244502314814815,-0.9761904761904763,9,9,True
2,0.7520254629629629,0.7430555555555556,0.5021701388888888,0.7430555555555556,0.7497829861111112,0.7960792824074074,0.8465711805555556,0.05302372685185186,0.04629629629629628,0.103515625,0.512229210342418,0.02714482060185186,0.421875,0.36328125,0.9351851851851852,0.05049189814814815,-0.9761904761904763,9,9,True
3,0.7467447916666666,0.7463107638888888,0.5054253472222222,0.7467447916666666,0.7401620370370371,0.7924623842592593,0.8439670138888888,0.04571759259259267,0.05230034722222221,0.09722222222222221,0.4702380952380961,0.021412037037037118,0.39192708333333337,0.32942708333333337,0.9537037037037037,0.05150462962962963,-0.9761904761904763,9,9,True
4,0.7481192129629629,0.7493489583333334,0.5047019675925926,0.7493489583333334,0.7429832175925926,0.7960069444444444,0.8465711805555556,0.04665798611111105,0.05302372685185186,0.09722222222222221,0.4799107142857137,0.022352430555555497,0.35807291666666674,0.33203125,0.9444444444444444,0.05056423611111111,-0.9523809523809524,9,9,True
5,0.7502170138888888,0.7442853009259259,0.5052806712962963,0.7502170138888888,0.7440682870370371,0.7914496527777778,0.8485243055555556,0.04123263888888895,0.0473813657407407,0.09830729166666674,0.4194260485651217,0.016655815972222265,0.37890625,0.3385416666666667,0.9444444444444444,0.057074652777777776,-1.0,9,9,True
6,0.7450810185185185,0.7498553240740741,0.4943576388888889,0.7450810185185185,0.7510850694444444,0.7981047453703703,0.8480179398148148,0.05302372685185186,0.04701967592592593,0.10293692129629628,0.5151089248067465,0.02728949652777779,0.38932291666666674,0.36328125000000006,0.9722222222222222,0.04991319444444445,-0.9761904761904763,9,9,True
7,0.7466001157407407,0.7429108796296297,0.5010127314814815,0.7466001157407407,0.7386429398148148,0.7932581018518519,0.8516348379629629,0.04665798611111116,0.05461516203703709,0.10503472222222221,0.44421487603305837,0.020399305555555608,0.4296875,0.31380208333333337,0.9537037037037037,0.05837673611111111,-1.0,9,9,True
8,0.7504340277777778,0.7475405092592593,0.49811921296296297,0.7504340277777778,0.7552806712962963,0.7960792824074074,0.849609375,0.04564525462962965,0.04079861111111116,0.09917534722222221,0.46024799416484347,0.020851417824074098,0.39192708333333337,0.3528645833333333,0.9814814814814815,0.053530092592592594,-1.0,9,9,True
9,0.7521701388888888,0.7466001157407407,0.5046296296296297,0.7521701388888888,0.7447193287037037,0.7970196759259259,0.8472945601851852,0.04484953703703709,0.05230034722222221,0.09512442129629639,0.4714828897338404,0.021068431712962993,0.40885416666666663,0.32942708333333337,0.9814814814814815,0.05027488425925926,-0.9047619047619048,9,9,True
10,0.7518084490740741,0.7476128472222222,0.5043402777777778,0.7518084490740741,0.7528211805555556,0.7978153935185185,0.8516348379629629,0.04600694444444442,0.04499421296296291,0.09982638888888884,0.4608695652173913,0.02105034722222221,0.36588541666666674,0.3359375,0.9444444444444444,0.05381944444444445,-1.0,9,9,True
11,0.7461660879629629,0.7499276620370371,0.4974681712962963,0.7461660879629629,0.7427662037037037,0.7989728009259259,0.8498987268518519,0.05280671296296302,0.05620659722222221,0.10373263888888895,0.5090655509065554,0.026873553240740783,0.37630208333333337,0.3502604166666667,0.9722222222222222,0.05114293981481482,-0.9761904761904763,9,9,True
