user_id,task_index,video_id,condition,n_frames,frame_accuracy,action_0_fraction,mean_event_l1,mean_belief_state_l1,compute_scope,status,episode_fingerprint,trace_fingerprint,action_1_fraction,action_2_fraction,action_3_fraction,seed,run_path
P189,0,P189--condom-box--clutter--YWtyCgc2eo_vJn8Q81d9zO8tYVkXXRt4yajDmQKh22A,gain,100,0.71,,113.5123558148295,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--lSqzRra_NR-okkaGM3ZFalWW4x4nqOoXq4ryWcU25nw,gain,100,0.72,,116.94175587875417,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--Er9sRq_7lfKP2RKu1RpXF7hQu0Yj2Lga-exbTBkRt0o,gain,100,0.93,,115.77829351269514,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--K9zY_L91JLrnwVVCSk9R79e1hw5SbP9MbKVDD1Gsuo0,gain,100,0.76,,119.45522227820275,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--kTWsTv8oIXam4Ge8SKPu6KzCPJ5y6eN1tzZ4eCvzXpU,gain,100,1.0,,118.7294443297925,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--o-OQ3tAnGPM2My61RC_t2lIonk_VEdZwACaboV7XxZ4,gain,100,1.0,,118.20770284855412,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--ah422q6GfQfm7Ye0WsXJch9hpdFZViYkBdhSxrmW4Qw,gain,100,0.7,,118.23459737405896,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--tla5SFECdB6X9nvRX-eAMb6z0ij6_fgmfg22qXx_C40,gain,100,0.71,,116.3706796668098,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--7fEvPkzY-2A6YOzfJJBxrW_1h12qj3Ylcoj7jwKXCOY,gain,100,0.67,,114.63307020247647,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--HxHanLJrx6KMUVJ1oe7ISuDVO51LOeiU186O2YRhur4,gain,100,0.15,,118.85493167159626,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,1.0,,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--YWtyCgc2eo_vJn8Q81d9zO8tYVkXXRt4yajDmQKh22A,delta,100,0.57,,107.71568742226114,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--lSqzRra_NR-okkaGM3ZFalWW4x4nqOoXq4ryWcU25nw,delta,100,0.52,,111.0436858752351,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--Er9sRq_7lfKP2RKu1RpXF7hQu0Yj2Lga-exbTBkRt0o,delta,100,1.0,,109.13849403521776,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--K9zY_L91JLrnwVVCSk9R79e1hw5SbP9MbKVDD1Gsuo0,delta,100,0.98,,112.64576578869573,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--kTWsTv8oIXam4Ge8SKPu6KzCPJ5y6eN1tzZ4eCvzXpU,delta,100,0.54,,112.54886699127056,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--o-OQ3tAnGPM2My61RC_t2lIonk_VEdZwACaboV7XxZ4,delta,100,0.28,,112.27921210390336,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--ah422q6GfQfm7Ye0WsXJch9hpdFZViYkBdhSxrmW4Qw,delta,100,0.7,,112.16234270834948,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--tla5SFECdB6X9nvRX-eAMb6z0ij6_fgmfg22qXx_C40,delta,100,0.95,,110.6250363006293,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--7fEvPkzY-2A6YOzfJJBxrW_1h12qj3Ylcoj7jwKXCOY,delta,100,0.87,,108.8803388443593,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--HxHanLJrx6KMUVJ1oe7ISuDVO51LOeiU186O2YRhur4,delta,100,0.24,,113.251440549694,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,1.0,,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--YWtyCgc2eo_vJn8Q81d9zO8tYVkXXRt4yajDmQKh22A,temporal,100,0.66,,109.17400014726614,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--lSqzRra_NR-okkaGM3ZFalWW4x4nqOoXq4ryWcU25nw,temporal,100,0.61,,112.5678034501071,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--Er9sRq_7lfKP2RKu1RpXF7hQu0Yj2Lga-exbTBkRt0o,temporal,100,0.78,,110.72913746081711,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--K9zY_L91JLrnwVVCSk9R79e1hw5SbP9MbKVDD1Gsuo0,temporal,100,0.47,,114.37118046692436,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--kTWsTv8oIXam4Ge8SKPu6KzCPJ5y6eN1tzZ4eCvzXpU,temporal,100,1.0,,114.17193791512857,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--keys--clutter--o-OQ3tAnGPM2My61RC_t2lIonk_VEdZwACaboV7XxZ4,temporal,100,1.0,,114.02665691442026,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--ah422q6GfQfm7Ye0WsXJch9hpdFZViYkBdhSxrmW4Qw,temporal,100,0.64,,113.59690474577424,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pinesol-cleaner--clutter--tla5SFECdB6X9nvRX-eAMb6z0ij6_fgmfg22qXx_C40,temporal,100,0.54,,111.91919148703096,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--7fEvPkzY-2A6YOzfJJBxrW_1h12qj3Ylcoj7jwKXCOY,temporal,100,0.77,,110.28969647004388,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--pocket-magnifying-glass--clutter--HxHanLJrx6KMUVJ1oe7ISuDVO51LOeiU186O2YRhur4,temporal,100,0.19,,114.75707255315235,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--YWtyCgc2eo_vJn8Q81d9zO8tYVkXXRt4yajDmQKh22A,selection_fixed_best,100,0.66,,109.17400014726614,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--condom-box--clutter--lSqzRra_NR-okkaGM3ZFalWW4x4nqOoXq4ryWcU25nw,selection_fixed_best,100,0.61,,112.5678034501071,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--Er9sRq_7lfKP2RKu1RpXF7hQu0Yj2Lga-exbTBkRt0o,selection_fixed_best,100,0.78,,110.72913746081711,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
P189,0,P189--headband--clutter--K9zY_L91JLrnwVVCSk9R79e1hw5SbP9MbKVDD1Gsuo0,selection_fixed_best,100,0.47,,114.37118046692436,0.0,selected_actuator,complete,1eba431706d1f16afafc0d28dc3cd6d74a84c91f03cd544d573f66f1bcecfa3e,bce676d788d9e16e135c782c59c066c5918832a3ccf4a2c56a6266cfa9443c85,,,1.0,3400,/home/spco/sow_linear/exp34_runs/smoke_v5_official_video_exclusion/runs/exp34_orbit_causal_consensus/seed_3400/20260723T185502.674999Z_smoke
