candidate_type,retention,window_frames,natural_accuracy,hidden_accuracy,post_switch_accuracy,natural_accuracy_loss,eligible,selected
fixed_forgetting,0.0,,0.7358310508021031,0.735827664399093,0.7793715846994537,0.0,True,False
fixed_forgetting,0.25,,0.751412825350048,0.7431972789115646,0.7827868852459017,-0.01558177454794496,True,True
fixed_forgetting,0.5,,0.7597111023345667,0.7409297052154196,0.7663934426229508,-0.023880051532463642,True,False
fixed_forgetting,0.7,,0.7732609335244253,0.7344104308390023,0.7226775956284153,-0.03742988272232217,True,False
fixed_forgetting,0.85,,0.7854013354433206,0.6882086167800453,0.592896174863388,-0.04957028464121749,True,False
fixed_forgetting,0.93,,0.7958038773280001,0.5827664399092971,0.3592896174863388,-0.05997282652589697,True,False
fixed_forgetting,0.97,,0.8025203212154967,0.4370748299319728,0.15505464480874318,-0.06668927041339356,True,False
fixed_forgetting,0.99,,0.8015285892400554,0.31547619047619047,0.07718579234972679,-0.06569753843795234,True,False
fixed_forgetting,1.0,,0.7997491737701637,0.22647392290249432,0.07377049180327869,-0.06391812296806065,True,False
sliding_window,,2.0,0.7532863744436684,0.7363945578231292,0.764344262295082,-0.017455323641565323,True,True
sliding_window,,4.0,0.763693440571599,0.7208049886621315,0.7131147540983607,-0.027862389769495954,True,False
sliding_window,,8.0,0.7775462779541881,0.6876417233560091,0.6099726775956285,-0.04171522715208498,True,False
sliding_window,,16.0,0.7904669381486424,0.5969387755102041,0.3668032786885246,-0.05463588734653935,True,False
sliding_window,,32.0,0.7967004753345606,0.395124716553288,0.09836065573770492,-0.06086942453245747,True,False
