source_video_id,n_frames,accuracy,n_post_switch_frames,post_switch_accuracy,panel
c00_clip002_video203,64,1.0,0,,natural
c00_clip004_video068,64,1.0,0,,natural
c00_clip011_video045,64,1.0,0,,natural
c01_clip003_video164,60,1.0,0,,natural
c01_clip017_video218,64,0.0,0,,natural
c01_clip018_video177,64,0.984375,0,,natural
c01_clip023_video198,64,0.796875,0,,natural
c02_clip004_video163,64,0.0,0,,natural
c02_clip022_video152,64,1.0,0,,natural
c02_clip024_video128,64,0.96875,0,,natural
c03_clip000_video095,64,0.65625,0,,natural
c03_clip006_video104,64,0.421875,0,,natural
c03_clip007_video101,53,0.8113207547169812,0,,natural
c03_clip015_video008,64,0.09375,0,,natural
c04_clip001_video010,64,1.0,0,,natural
c04_clip003_video033,53,1.0,0,,natural
c05_clip012_video140,64,1.0,0,,natural
c05_clip026_video165,64,1.0,0,,natural
c05_clip029_video068,64,1.0,0,,natural
c05_clip040_video087,64,1.0,0,,natural
c06_clip002_video216,64,1.0,0,,natural
c06_clip004_video176,64,1.0,0,,natural
c06_clip007_video045,53,1.0,0,,natural
c06_clip012_video082,64,0.703125,0,,natural
c07_clip000_video029,64,0.0,0,,natural
c07_clip012_video077,64,0.203125,0,,natural
c07_clip013_video067,64,0.953125,0,,natural
c07_clip024_video083,64,1.0,0,,natural
c08_clip005_video145,64,0.421875,0,,natural
c08_clip010_video152,64,0.0,0,,natural
c08_clip014_video171,64,0.328125,0,,natural
c08_clip020_video077,64,0.84375,0,,natural
c09_clip009_video005,64,0.0,0,,natural
c09_clip013_video057,60,0.6166666666666667,0,,natural
c10_clip001_video005,64,1.0,0,,natural
c10_clip002_video021,61,0.6229508196721312,0,,natural
c10_clip007_video007,64,1.0,0,,natural
c11_clip003_video065,64,0.265625,0,,natural
c11_clip010_video039,64,0.171875,0,,natural
c12_clip004_video103,64,1.0,0,,natural
c12_clip016_video093,64,0.0,0,,natural
c12_clip020_video113,64,0.359375,0,,natural
c13_clip000_video112,64,1.0,0,,natural
c13_clip001_video111,64,1.0,0,,natural
c13_clip003_video021,64,1.0,0,,natural
c14_clip004_video005,64,0.9375,0,,natural
c14_clip018_video062,64,0.234375,0,,natural
c15_clip003_video065,64,1.0,0,,natural
c15_clip008_video043,64,1.0,0,,natural
c16_clip006_video007,64,0.046875,0,,natural
c16_clip007_video001,64,0.984375,0,,natural
c17_clip002_video004,64,1.0,0,,natural
c17_clip006_video112,64,1.0,0,,natural
c17_clip007_video117,64,0.96875,0,,natural
c17_clip014_video005,59,1.0,0,,natural
c18_clip013_video006,64,1.0,0,,natural
c18_clip014_video066,64,1.0,0,,natural
c19_clip013_video095,64,1.0,0,,natural
c19_clip018_video022,64,1.0,0,,natural
c19_clip025_video079,64,1.0,0,,natural
