estimated_factor,true_factor,mean_log_response,sd_log_response,diagonal_margin,diagonal_exceeds_all_off_diagonal,n_seeds
h,h,0.08832743622376364,0.12480957458836481,-0.0034688410798824204,False,30
h,q,0.02822806320513287,0.0675503148851441,-0.0034688410798824204,False,30
h,r,0.09179627730364606,0.0909113684797351,-0.0034688410798824204,False,30
q,h,0.06718165125449145,0.05703558137830277,-0.9521125311658484,False,30
q,q,0.5396564822329561,0.061171974971860006,-0.9521125311658484,False,30
q,r,1.4917690133988044,0.045920299559471474,-0.9521125311658484,False,30
r,h,0.07540436012813347,0.05561620419653786,0.9685825844465387,True,30
r,q,0.5495433960919797,0.06429626315192613,0.9685825844465387,True,30
r,r,1.5181259805385185,0.04282605583988113,0.9685825844465387,True,30
