seed,estimated_factor,true_factor,log_response,is_diagonal
39110,r,q,0.493691272987101,False
39111,r,q,0.5791563396546733,False
39112,r,q,0.44653880022058573,False
39113,r,q,0.5418392622882382,False
39114,r,q,0.6004998262442656,False
39115,r,q,0.4282028800378674,False
39116,r,q,0.5860705687809387,False
39117,r,q,0.5192392445779278,False
39118,r,q,0.5984958530062648,False
39119,r,q,0.6333973069705433,False
39120,r,q,0.49297996346556267,False
39121,r,q,0.701664640159942,False
39122,r,q,0.5913892901723633,False
39123,r,q,0.5463331345245768,False
39124,r,q,0.4244840215774473,False
39125,r,q,0.45832235189542736,False
39126,r,q,0.5600505236532742,False
39127,r,q,0.5134735402564321,False
39128,r,q,0.5910555923449753,False
39129,r,q,0.5939730641552637,False
39100,r,r,1.44689806548344,True
39101,r,r,1.5380487401448133,True
39102,r,r,1.4856778203773362,True
39103,r,r,1.4889056747345353,True
39104,r,r,1.579325274885163,True
39105,r,r,1.5066496175494772,True
39106,r,r,1.4997180197291942,True
39107,r,r,1.5532441839433433,True
39108,r,r,1.5705045551807633,True
39109,r,r,1.520420239417804,True
39110,r,r,1.5761166644360285,True
39111,r,r,1.527326624024715,True
39112,r,r,1.4670488658903515,True
39113,r,r,1.549033492108658,True
39114,r,r,1.5264691152453476,True
39115,r,r,1.6106807350788959,True
39116,r,r,1.4659503650674557,True
39117,r,r,1.4900790941860418,True
39118,r,r,1.532553841089248,True
39119,r,r,1.5709709936799565,True
39120,r,r,1.483082447881282,True
39121,r,r,1.4959291786115005,True
39122,r,r,1.570863715045601,True
39123,r,r,1.5095117270432836,True
39124,r,r,1.5356496069660466,True
39125,r,r,1.5163712729028225,True
39126,r,r,1.4849573912315603,True
39127,r,r,1.4217769487618475,True
39128,r,r,1.504803550213629,True
39129,r,r,1.5152115952454113,True
