seed,estimated_factor,true_factor,log_response,is_diagonal
39100,h,h,0.39759215707734075,True
39101,h,h,0.06004785763472811,True
39102,h,h,0.3104589404000083,True
39103,h,h,0.09075329095404186,True
39104,h,h,0.08162855664276196,True
39105,h,h,0.07176613055611769,True
39106,h,h,0.04484656938191532,True
39107,h,h,0.06365929118920946,True
39108,h,h,0.03049358096782938,True
39109,h,h,-0.019736509371374875,True
39110,h,h,-0.0031810852273410073,True
39111,h,h,0.23064801180867567,True
39112,h,h,-0.009070451025100894,True
39113,h,h,0.07992153293113624,True
39114,h,h,0.10196624398841386,True
39115,h,h,0.04663207977447912,True
39116,h,h,-0.01157825581617238,True
39117,h,h,-0.03053903334284458,True
39118,h,h,0.02398590971771217,True
39119,h,h,0.030515269599186268,True
39120,h,h,0.007467418466814368,True
39121,h,h,0.1599704760964805,True
39122,h,h,0.1019772706466569,True
39123,h,h,0.4950384886948548,True
39124,h,h,0.06965614871009634,True
39125,h,h,-0.06819376490501765,True
39126,h,h,0.03642876880078243,True
39127,h,h,0.17282392930596796,True
39128,h,h,0.033256117584874095,True
39129,h,h,0.05058814547067718,True
39100,h,q,0.10478453907046234,False
39101,h,q,0.07086485635377437,False
39102,h,q,0.1704446322789298,False
39103,h,q,0.07654881195484274,False
39104,h,q,0.030788124219516613,False
39105,h,q,0.009333938569643305,False
39106,h,q,0.08152332105111391,False
39107,h,q,0.08807713925850758,False
39108,h,q,-0.03411583171681769,False
39109,h,q,0.10551296943125688,False
39110,h,q,-0.09949674515773699,False
39111,h,q,-0.08422827029754479,False
39112,h,q,-0.08700774756331217,False
39113,h,q,0.0043858310032587194,False
39114,h,q,0.04190471556422356,False
39115,h,q,0.0032105632773376386,False
39116,h,q,-0.014031731488390233,False
39117,h,q,0.06262484129573596,False
39118,h,q,-0.0466330275927645,False
39119,h,q,0.02018963346054966,False
39120,h,q,0.10329938870566024,False
39121,h,q,-0.0571904696758792,False
39122,h,q,0.05027366920218284,False
39123,h,q,0.13823223680107172,False
39124,h,q,0.07902271459760807,False
39125,h,q,0.009986945435722795,False
39126,h,q,-0.03181902098000078,False
39127,h,q,0.008793235231763993,False
39128,h,q,0.03893202357257572,False
39129,h,q,0.0026306102906938356,False
39100,h,r,0.04547389408112565,False
39101,h,r,0.15115063581900023,False
39102,h,r,0.13055363363383216,False
39103,h,r,0.12073925387138904,False
39104,h,r,0.05433988767341778,False
39105,h,r,0.2522915364951165,False
39106,h,r,0.04641419186567269,False
39107,h,r,0.06610877962965055,False
39108,h,r,0.06831845958098687,False
39109,h,r,0.10378788546489963,False
39110,h,r,-0.025607157337244762,False
39111,h,r,0.18316868895481123,False
39112,h,r,0.02453125904218286,False
39113,h,r,0.19780893451900006,False
39114,h,r,0.04797801385914358,False
39115,h,r,0.058324043144342134,False
39116,h,r,0.07251851798868868,False
39117,h,r,0.08370337690405225,False
39118,h,r,0.05078011918508462,False
39119,h,r,0.07701405349920737,False
39120,h,r,0.04056849805867107,False
39121,h,r,-0.11692325806628745,False
39122,h,r,-0.0021297133633852577,False
39123,h,r,0.3848054248954511,False
39124,h,r,0.10439669336410029,False
39125,h,r,0.05635432645347766,False
39126,h,r,0.15164948232973702,False
39127,h,r,0.02670172079900396,False
39128,h,r,0.17251478972623258,False
39129,h,r,0.12655234703802182,False
39100,q,h,0.14350994151038576,False
39101,q,h,0.02802867058844183,False
39102,q,h,0.050415188390880994,False
39103,q,h,0.17080689057189602,False
39104,q,h,0.04662007778937172,False
39105,q,h,0.05353418836707502,False
39106,q,h,0.11126246976621812,False
39107,q,h,-0.022854531413940782,False
39108,q,h,0.18074307151891467,False
39109,q,h,0.16016239750502592,False
39110,q,h,0.0993878798166623,False
39111,q,h,0.039084193280557455,False
39112,q,h,0.09438638144309808,False
39113,q,h,0.0814312632039711,False
39114,q,h,0.043297929854262396,False
39115,q,h,0.03184293194977461,False
39116,q,h,-0.019307611314492545,False
39117,q,h,-0.03554054635675219,False
39118,q,h,0.037319418454959674,False
39119,q,h,0.05343694188554071,False
39120,q,h,0.03687511010992317,False
39121,q,h,0.08828086973524818,False
39122,q,h,0.07766774632830176,False
39123,q,h,0.1081946495917685,False
39124,q,h,0.10556857625483085,False
39125,q,h,0.13302167306278734,False
39126,q,h,0.004953936107023882,False
39127,q,h,0.06953916529836479,False
39128,q,h,0.061345929746348116,False
39129,q,h,-0.017565265411704,False
39100,q,q,0.477249518991114,True
39101,q,q,0.5881099182401723,True
39102,q,q,0.5171003660909133,True
39103,q,q,0.5741699019101527,True
39104,q,q,0.6043291578493968,True
39105,q,q,0.5524130919401177,True
39106,q,q,0.6150175674844561,True
39107,q,q,0.6013648042169766,True
39108,q,q,0.49224399420452886,True
39109,q,q,0.5807583242010276,True
39110,q,q,0.45307785283455276,True
39111,q,q,0.5570683937910573,True
39112,q,q,0.4040333443942395,True
39113,q,q,0.560904592455377,True
39114,q,q,0.5833346951512021,True
39115,q,q,0.5032830124697525,True
39116,q,q,0.5575717241569231,True
39117,q,q,0.4808138135062043,True
39118,q,q,0.5661340287086742,True
39119,q,q,0.611784516222224,True
39120,q,q,0.5102234519756139,True
39121,q,q,0.6331359219571346,True
39122,q,q,0.6225037135666367,True
39123,q,q,0.5202670626627492,True
39124,q,q,0.43281156846957825,True
39125,q,q,0.4380053882312763,True
39126,q,q,0.5159670950118742,True
39127,q,q,0.530831931284093,True
39128,q,q,0.5954730741546899,True
39129,q,q,0.5097126408559773,True
39100,q,r,1.384162764391022,False
39101,q,r,1.5621398178629256,False
39102,q,r,1.4561561367926166,False
39103,q,r,1.456196150838371,False
39104,q,r,1.5194778575070833,False
39105,q,r,1.5137970938940994,False
39106,q,r,1.4933688055931795,False
39107,q,r,1.5077488973681412,False
39108,q,r,1.5723346584179065,False
39109,q,r,1.5338323321084557,False
39110,q,r,1.4999040992242507,False
39111,q,r,1.4909507703542682,False
39112,q,r,1.4553022967297742,False
39113,q,r,1.5448801771105414,False
39114,q,r,1.49084719320765,False
39115,q,r,1.5602479724565652,False
39116,q,r,1.429198888588842,False
39117,q,r,1.5091501487418129,False
39118,q,r,1.4763122312642527,False
39119,q,r,1.5272900031769434,False
39120,q,r,1.4477219694985766,False
39121,q,r,1.4603376688458942,False
39122,q,r,1.5386296054292994,False
39123,q,r,1.4934057593458676,False
39124,q,r,1.4918638941983893,False
39125,q,r,1.5346244784876388,False
39126,q,r,1.465482158966874,False
39127,q,r,1.3960725166259818,False
39128,q,r,1.471027379252178,False
39129,q,r,1.4706066756847371,False
39100,r,h,0.13848666199096726,False
39101,r,h,0.04024483138998791,False
39102,r,h,0.02781181048306025,False
39103,r,h,0.1666999726975693,False
39104,r,h,0.004340429892159214,False
39105,r,h,0.020692640174222232,False
39106,r,h,0.09297655651517811,False
39107,r,h,0.006862951089184666,False
39108,r,h,0.16993549397750085,False
39109,r,h,0.17447129390822047,False
39110,r,h,0.12085931752433221,False
39111,r,h,0.037076441329912946,False
39112,r,h,0.11108538848916427,False
39113,r,h,0.07689448500741802,False
39114,r,h,0.014663409127122717,False
39115,r,h,0.08448689344586535,False
39116,r,h,0.025809970657928227,False
39117,r,h,0.030185918935817124,False
39118,r,h,0.10101419648007792,False
39119,r,h,0.09449024971041942,False
39120,r,h,0.09449674412869591,False
39121,r,h,0.0383981246684062,False
39122,r,h,0.08268782060339008,False
39123,r,h,0.11599494759296602,False
39124,r,h,0.12658916290985034,False
39125,r,h,0.16502522763809346,False
39126,r,h,-0.005975004308129472,False
39127,r,h,0.020196041362730455,False
39128,r,h,0.07519899384426143,False
39129,r,h,0.01042983257763086,False
39100,r,q,0.44700451413120945,False
39101,r,q,0.5840950748577645,False
39102,r,q,0.5282175922661363,False
39103,r,q,0.5478708514635896,False
39104,r,q,0.5983183450642293,False
39105,r,q,0.575755299837061,False
39106,r,q,0.5932640634456955,False
39107,r,q,0.5816099572802654,False
39108,r,q,0.5501546419206049,False
39109,r,q,0.5791540655191613,False
