seed,condition,panel,source_video_id,n_frames,accuracy,nll,post_switch_nll
13800,posterior_ema,qualification_hidden,c01_clip018_video177,24,1.0,0.1187281092116909,0.17377001098403091
13800,posterior_ema,qualification_hidden,c04_clip001_video010,24,1.0,0.05175978576182754,0.10349311363206525
13800,posterior_ema,qualification_hidden,c50_clip014_video023,24,0.8333333333333334,0.7247111639623891,
13800,posterior_ema,qualification_hidden,c14_clip018_video062,24,0.125,2.672032807693052,3.7818310242122375
13800,posterior_ema,qualification_hidden,c07_clip013_video067,24,0.875,0.7883928033689901,1.0938296095052145
13800,posterior_ema,qualification_hidden,c19_clip013_video095,24,1.0,0.5419967010679668,0.43752848913982323
13800,posterior_ema,qualification_hidden,c50_clip023_video021,24,0.9583333333333334,0.46979777302511677,0.34388215377555836
13800,posterior_ema,qualification_hidden,c06_clip012_video082,24,0.9583333333333334,1.0689640441923727,1.235766338774524
13800,posterior_ema,qualification_hidden,c26_clip005_video007,24,1.0,0.17388498416534257,
13800,posterior_ema,qualification_hidden,c38_clip028_video033,24,0.9583333333333334,1.2410658792928893,1.2550756523375823
13800,posterior_ema,qualification_hidden,c23_clip041_video006,24,1.0,0.052505221242054034,0.10400730498360723
13800,posterior_ema,qualification_hidden,c05_clip026_video165,24,0.9583333333333334,0.10685497180517933,0.13859121611719105
13800,posterior_ema,qualification_hidden,c07_clip024_video083,24,0.9583333333333334,0.48866229785782983,0.3768819348686357
13800,posterior_ema,qualification_hidden,c43_clip022_video026,24,0.9583333333333334,0.9384991008670625,0.9353740871820574
13800,posterior_ema,qualification_hidden,c18_clip014_video066,24,1.0,0.011023618625800244,
13800,posterior_ema,qualification_hidden,c41_clip022_video046,24,0.9583333333333334,0.41286650100123484,0.5018584281422732
13800,posterior_ema,qualification_hidden,c21_clip016_video033,24,0.9166666666666666,0.651234660677333,1.1182848521000286
13800,posterior_ema,qualification_hidden,c16_clip006_video007,24,0.125,3.4848733475491973,2.878256965220715
13800,posterior_ema,qualification_hidden,c23_clip019_video032,24,1.0,0.24061044138517337,0.36848018200368565
13800,posterior_ema,qualification_hidden,c24_clip016_video053,24,0.7083333333333334,0.925917024653082,1.3613200555730947
13800,posterior_ema,qualification_hidden,c49_clip001_video020,24,1.0,0.24595835440211022,
