seed,condition,selected_retention,selected_alpha,selected_hazard,temperature,n_videos,n_frames,video_equal_accuracy,video_equal_nll,video_equal_post_switch_nll
13800,posterior_ema,0.5,0.6,0.3333333333333333,50.0,174,4176,0.771072796934866,0.9223995992353952,1.004964346622657
13800,direct_alpha,0.5,0.6,0.3333333333333333,50.0,174,4176,0.7720306513409964,0.9187944488405556,0.9799847518238066
13800,true_switch_direct_alpha,0.5,0.6,0.3333333333333333,50.0,174,4176,0.7763409961685824,0.893399341985664,0.9190375392517945
13800,likelihood_hmm,0.5,0.6,0.3333333333333333,50.0,174,4176,0.7919061302681993,1.0170883725062112,1.0177232511828402
13800,true_switch_likelihood_reset,0.5,0.6,0.3333333333333333,50.0,174,4176,0.8060344827586207,2.446099619519296,1.914982766310908
13801,posterior_ema,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7784961685823754,0.9030418816428579,0.9292804420259023
13801,direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7866379310344828,0.9009099517708362,0.947770904257667
13801,true_switch_direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7904693486590038,0.8747265533808328,0.8849318645378311
13801,likelihood_hmm,0.25,0.6,0.3333333333333333,50.0,174,4176,0.8101053639846744,0.9297911266435009,0.9717276710232603
13801,true_switch_likelihood_reset,0.25,0.6,0.3333333333333333,50.0,174,4176,0.8187260536398469,2.335922543000911,1.7241153382955128
13802,posterior_ema,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7768199233716476,0.9224075837763063,0.966758107994742
13802,direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.78544061302682,0.9195186670835692,0.9851069009515225
13802,true_switch_direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.790948275862069,0.8928362037518575,0.9210699962968224
13802,likelihood_hmm,0.25,0.6,0.3333333333333333,50.0,174,4176,0.8096264367816092,0.9942341760992836,1.0208374106379794
13802,true_switch_likelihood_reset,0.25,0.6,0.3333333333333333,50.0,174,4176,0.8235153256704982,2.637135280050805,1.912571701681545
13803,posterior_ema,0.5,0.6,0.3333333333333333,50.0,174,4176,0.7957375478927203,0.8718136907398063,0.9151472123796895
13803,direct_alpha,0.5,0.6,0.3333333333333333,50.0,174,4176,0.7966954022988506,0.8680459812495185,0.8846106225619687
13803,true_switch_direct_alpha,0.5,0.6,0.3333333333333333,50.0,174,4176,0.8012452107279695,0.8420268170864239,0.8221656190142783
13803,likelihood_hmm,0.5,0.6,0.3333333333333333,50.0,174,4176,0.8060344827586207,0.9273997072182845,0.9462205753050923
13803,true_switch_likelihood_reset,0.5,0.6,0.3333333333333333,50.0,174,4176,0.8146551724137931,2.1519656182985805,1.583226228638695
13804,posterior_ema,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7629310344827587,0.9201266406479016,0.9033021450614583
13804,direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7729885057471264,0.9134546106506993,0.9201563111593933
13804,true_switch_direct_alpha,0.25,0.6,0.3333333333333333,50.0,174,4176,0.7751436781609196,0.8868008338406783,0.8561885177444655
13804,likelihood_hmm,0.25,0.6,0.3333333333333333,50.0,174,4176,0.798611111111111,1.006132232284344,0.9917898842345776
13804,true_switch_likelihood_reset,0.25,0.6,0.3333333333333333,50.0,174,4176,0.8120210727969348,2.4371301953028155,1.8380643251002975
