seed,family,candidate,n_videos,n_frames,video_equal_accuracy,video_equal_nll,video_equal_post_switch_nll,selected
13800,direct_alpha,0.02,147,3528,0.30385487528344673,2.1482530795138315,2.914176157059323,False
13800,direct_alpha,0.05,147,3528,0.5053854875283446,1.6124415574817537,2.2380396554318605,False
13800,direct_alpha,0.1,147,3528,0.639172335600907,1.2856684617555134,1.7600951896691048,False
13800,direct_alpha,0.2,147,3528,0.717687074829932,1.0750503434635588,1.3654843749900465,False
13800,direct_alpha,0.4,147,3528,0.7474489795918368,0.9846741781145788,1.123704447919066,False
13800,direct_alpha,0.6,147,3528,0.7542517006802721,0.9720572670617517,1.0596917088510136,True
13800,direct_alpha,0.8,147,3528,0.7451814058956916,0.9803573337826975,1.0445917694340496,False
13800,direct_alpha,1.0,147,3528,0.7352607709750567,1.008494154584931,1.0603359588293422,False
13800,likelihood_hmm,0.0,147,3528,0.20833333333333334,20.620211772707012,26.708852697335683,False
13800,likelihood_hmm,0.005208333333333333,147,3528,0.7715419501133787,1.7606237864876886,1.8938552230301786,False
13800,likelihood_hmm,0.010416666666666666,147,3528,0.7735260770975058,1.6596018279823705,1.771111386288679,False
13800,likelihood_hmm,0.020833333333333332,147,3528,0.7746598639455783,1.559920600245664,1.6525463409176944,False
13800,likelihood_hmm,0.041666666666666664,147,3528,0.7752267573696145,1.461256525877719,1.5380074462404736,False
13800,likelihood_hmm,0.08333333333333333,147,3528,0.7774943310657597,1.3629994073861778,1.42717964185491,False
13800,likelihood_hmm,0.16666666666666666,147,3528,0.7794784580498867,1.2633365739548488,1.318229677545077,False
13800,likelihood_hmm,0.3333333333333333,147,3528,0.7772108843537415,1.1563834888788687,1.2047317167794305,True
13801,direct_alpha,0.02,147,3528,0.3010204081632653,2.1193735415663917,2.7762686474919867,False
13801,direct_alpha,0.05,147,3528,0.5034013605442177,1.5912815854456015,2.108509233301053,False
13801,direct_alpha,0.1,147,3528,0.6352040816326531,1.2666784494286374,1.6249442025032361,False
13801,direct_alpha,0.2,147,3528,0.7125850340136054,1.056424699249264,1.2160335325314848,False
13801,direct_alpha,0.4,147,3528,0.7358276643990929,0.96603103125222,0.9586582688852396,False
13801,direct_alpha,0.6,147,3528,0.7440476190476191,0.9522380581613161,0.8849737300076582,True
13801,direct_alpha,0.8,147,3528,0.7420634920634921,0.9581259697314513,0.8619360539455881,False
13801,direct_alpha,1.0,147,3528,0.735827664399093,0.9830878147293682,0.8661713674801882,False
13801,likelihood_hmm,0.0,147,3528,0.18905895691609975,20.942345157773577,25.918743680938263,False
13801,likelihood_hmm,0.005208333333333333,147,3528,0.7545351473922902,1.8894609015286374,1.601231610015035,False
13801,likelihood_hmm,0.010416666666666666,147,3528,0.7568027210884354,1.7818403822460611,1.497187930656692,False
13801,likelihood_hmm,0.020833333333333332,147,3528,0.7610544217687075,1.674844194948178,1.3969803604300794,False
13801,likelihood_hmm,0.041666666666666664,147,3528,0.7610544217687075,1.5681576578082255,1.3000315494841832,False
13801,likelihood_hmm,0.08333333333333333,147,3528,0.7619047619047619,1.460698708656463,1.2049052058285576,False
13801,likelihood_hmm,0.16666666666666666,147,3528,0.7633219954648526,1.3492658931634212,1.1086425633279684,False
13801,likelihood_hmm,0.3333333333333333,147,3528,0.7621882086167799,1.2247774457781415,1.0046903074183962,True
13802,direct_alpha,0.02,147,3528,0.27721088435374147,2.1665695943275654,2.853053072168212,False
13802,direct_alpha,0.05,147,3528,0.4971655328798187,1.6137390636909026,2.153879033531568,False
13802,direct_alpha,0.1,147,3528,0.6301020408163265,1.2762754125645959,1.6562138390073182,False
13802,direct_alpha,0.2,147,3528,0.7157029478458049,1.060231243606713,1.249984430510746,False
13802,direct_alpha,0.4,147,3528,0.7511337868480725,0.9655446580359711,0.9960046432633969,False
13802,direct_alpha,0.6,147,3528,0.7585034013605442,0.9519262896720225,0.927101421834659,True
13802,direct_alpha,0.8,147,3528,0.7525510204081632,0.9602676917483911,0.909460242941049,False
13802,direct_alpha,1.0,147,3528,0.7389455782312925,0.9903551255725707,0.9239235481819214,False
13802,likelihood_hmm,0.0,147,3528,0.19302721088435373,21.398998410652904,26.412679639535522,False
13802,likelihood_hmm,0.005208333333333333,147,3528,0.7658730158730158,1.8104822562007867,1.6483383793045714,False
13802,likelihood_hmm,0.010416666666666666,147,3528,0.7687074829931972,1.7072328451090004,1.5490000698431028,False
13802,likelihood_hmm,0.020833333333333332,147,3528,0.7695578231292517,1.6038320676492552,1.452402801463078,False
13802,likelihood_hmm,0.041666666666666664,147,3528,0.7715419501133787,1.49983159255676,1.3571096811623324,False
13802,likelihood_hmm,0.08333333333333333,147,3528,0.7735260770975058,1.3941431757165939,1.2610123954945824,False
13802,likelihood_hmm,0.16666666666666666,147,3528,0.7752267573696145,1.2843509226862417,1.1613643008935262,False
13802,likelihood_hmm,0.3333333333333333,147,3528,0.7760770975056689,1.1639521553542582,1.0530976318437215,True
13803,direct_alpha,0.02,147,3528,0.30357142857142855,2.2225604112023682,2.918403663804576,False
13803,direct_alpha,0.05,147,3528,0.5087868480725624,1.6868850699936933,2.2516714356608536,False
13803,direct_alpha,0.1,147,3528,0.6335034013605442,1.3603004308568625,1.7850705541271026,False
13803,direct_alpha,0.2,147,3528,0.7006802721088435,1.144280427507227,1.3954181456588122,False
13803,direct_alpha,0.4,147,3528,0.727607709750567,1.045601092306893,1.147180744285987,False
13803,direct_alpha,0.6,147,3528,0.736111111111111,1.0284719368628379,1.075506036517376,True
13803,direct_alpha,0.8,147,3528,0.7293083900226756,1.0338468788548671,1.0551479836820967,False
13803,direct_alpha,1.0,147,3528,0.7213718820861678,1.0590897663111245,1.0659132190689606,False
13803,likelihood_hmm,0.0,147,3528,0.20918367346938777,20.492132490684128,25.578098935636323,False
13803,likelihood_hmm,0.005208333333333333,147,3528,0.7315759637188208,2.1530116811840476,2.268444491275283,False
13803,likelihood_hmm,0.010416666666666666,147,3528,0.7352607709750567,2.021919537641101,2.1276817471991287,False
13803,likelihood_hmm,0.020833333333333332,147,3528,0.7375283446712018,1.8909137682828636,1.9893727251216573,False
13803,likelihood_hmm,0.041666666666666664,147,3528,0.7386621315192744,1.7596151058285987,1.8525298561247203,False
13803,likelihood_hmm,0.08333333333333333,147,3528,0.7389455782312925,1.6270132069581629,1.7151115421120569,False
13803,likelihood_hmm,0.16666666666666666,147,3528,0.7389455782312925,1.490180335173988,1.57285580501376,False
13803,likelihood_hmm,0.3333333333333333,147,3528,0.7431972789115646,1.340338941629662,1.4153064945559453,True
13804,direct_alpha,0.02,147,3528,0.2919501133786848,2.211388189166195,2.9218642527501757,False
13804,direct_alpha,0.05,147,3528,0.5119047619047619,1.651442761956753,2.207730211538264,False
13804,direct_alpha,0.1,147,3528,0.6394557823129252,1.308738722492124,1.699523179899472,False
13804,direct_alpha,0.2,147,3528,0.7151360544217688,1.0907324008147674,1.2891909257285588,False
13804,direct_alpha,0.4,147,3528,0.7468820861678004,0.9961964044877123,1.0421135810486633,False
13804,direct_alpha,0.6,147,3528,0.7525510204081632,0.9821479682664137,0.9766636154413851,True
13804,direct_alpha,0.8,147,3528,0.7451814058956916,0.9896726057593812,0.9613609554728021,False
13804,direct_alpha,1.0,147,3528,0.7344104308390023,1.0183079577823966,0.9759974109136019,False
13804,likelihood_hmm,0.0,147,3528,0.17035147392290248,21.52267772044462,26.46906446571926,False
13804,likelihood_hmm,0.005208333333333333,147,3528,0.7624716553287981,1.9139700814026555,1.8525315647035712,False
13804,likelihood_hmm,0.010416666666666666,147,3528,0.7655895691609976,1.7952772461326307,1.7254277024632458,False
13804,likelihood_hmm,0.020833333333333332,147,3528,0.768140589569161,1.6784827093096932,1.602944810759938,False
13804,likelihood_hmm,0.041666666666666664,147,3528,0.7704081632653061,1.5631327333368008,1.4844453871329186,False
13804,likelihood_hmm,0.08333333333333333,147,3528,0.7706916099773243,1.4483503462655911,1.3688213022763907,False
13804,likelihood_hmm,0.16666666666666666,147,3528,0.7743764172335601,1.3316575541135616,1.2533371592745435,False
13804,likelihood_hmm,0.3333333333333333,147,3528,0.7732426303854876,1.2057385678811379,1.130907218799026,True
