seed,feature_set,n_fit_frames,n_qualification_frames,qualification_write_rate,n_groups,n_auc_groups,video_equal_brier,video_equal_auc
13800,three,3528,4176,0.6075191570881227,174,174,0.22663813305854177,0.7276227892228546
13800,three_plus_log_mass,3528,4176,0.6075191570881227,174,174,0.22550750018637183,0.7249683938555108
13801,three,3528,4176,0.5529214559386973,174,174,0.23891767426212251,0.6812685643002792
13801,three_plus_log_mass,3528,4176,0.5529214559386973,174,174,0.23818858708536003,0.6921119769227655
13802,three,3528,4176,0.5627394636015326,174,174,0.23825441855572269,0.6730595410404681
13802,three_plus_log_mass,3528,4176,0.5627394636015326,174,174,0.23703329479569046,0.6855979849811252
13803,three,3528,4176,0.6075191570881227,174,174,0.22476704507424045,0.73579593069619
13803,three_plus_log_mass,3528,4176,0.6075191570881227,174,174,0.22403335903999727,0.7264784575024591
13804,three,3528,4176,0.5538793103448276,174,174,0.2378171241994653,0.6855442101699465
13804,three_plus_log_mass,3528,4176,0.5538793103448276,174,174,0.2369509474087313,0.6809519099058395
