seed,method,sequence_id,block_id,cell,h_high,q_high,r_high,heldout_composition,n_steps,mean_nll,latent_mse,early_nll,late_nll,mean_h_estimate,mean_q_estimate,mean_r_estimate,true_h,true_q,true_r,jump_count,test_tape_digest
39111,selected_fixed,0,0,110,1,1,0,True,96,0.4390345808048098,0.01600778384318261,0.012688400943865627,0.5532941402836041,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,7,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,1,010,0,1,0,False,96,0.008326780674405648,0.019040904997568452,-0.0044760248806304526,0.0897866659274442,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,0,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,2,000,0,0,0,False,96,-0.2949617070904662,0.004329909550024617,-0.292096432775363,-0.2214623078295352,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,3,101,1,0,1,True,96,1.417225044482336,0.10311473154549099,1.9420760314226189,1.421475369645956,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,4,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,4,011,0,1,1,True,96,1.333583314189683,0.1112783249934229,1.587041487037114,0.7496448974703006,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,1,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,5,100,1,0,0,False,96,0.11711418251755246,0.005372044115966926,0.11512016144095685,0.25872440289532844,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,6,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,6,001,0,0,1,False,96,0.9948461511126584,0.07580429397427792,0.17259795543396986,0.8378384195133876,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,7,111,1,1,1,True,96,1.5132278096541552,0.10987783165960881,1.8231707181140568,1.1372457472152233,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,7,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,8,110,1,1,0,True,96,0.5529746061017192,0.02281432754629111,1.3852251068256183,0.2545768495080202,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,9,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
39111,selected_fixed,0,9,101,1,0,1,True,96,1.1238837159915491,0.08577576158047763,1.0062128451981918,0.8528357345107871,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,4,f020c01f3f01a486aeedea2ba715f0d4eec30be61bc544f75e5112c78afdf9cd
