user_id,task_index,n_classes,best_fixed_accuracy,oracle_accuracy,oracle_gain,action_disagreement,support_write_l1,support_write_l2,n_excluded_query_videos,excluded_query_video_ids,seed
P177,0,7,0.8107142857142857,0.8371428571428572,0.0264285714285714,0.1192857142857142,16427.735292511938,8.643158387654456,0,[],13400
P177,1,7,0.815,0.8407142857142857,0.0257142857142858,0.1085714285714285,16427.735292511938,8.643158387654456,0,[],13400
P177,2,7,0.8028571428571428,0.8371428571428572,0.0342857142857143,0.13,16427.735292511938,8.643158387654456,0,[],13400
P177,3,7,0.8071428571428572,0.8364285714285714,0.0292857142857142,0.1164285714285714,16427.735292511938,8.643158387654456,0,[],13400
P177,4,7,0.8114285714285714,0.8428571428571429,0.0314285714285714,0.1207142857142857,16427.735292511938,8.643158387654456,0,[],13400
P177,5,7,0.8078571428571428,0.835,0.0271428571428571,0.11,16427.735292511938,8.643158387654456,0,[],13400
P177,6,7,0.8014285714285714,0.8321428571428572,0.0307142857142858,0.1157142857142857,16427.735292511938,8.643158387654456,0,[],13400
P177,7,7,0.8135714285714286,0.8435714285714285,0.0299999999999999,0.1135714285714285,16427.735292511938,8.643158387654456,0,[],13400
P177,8,7,0.8121428571428572,0.84,0.0278571428571428,0.1164285714285714,16427.735292511938,8.643158387654456,0,[],13400
P177,9,7,0.81,0.8378571428571429,0.0278571428571428,0.1178571428571428,16427.735292511938,8.643158387654456,0,[],13400
P177,10,7,0.8007142857142857,0.8328571428571429,0.0321428571428571,0.1178571428571428,16427.735292511938,8.643158387654456,0,[],13400
P177,11,7,0.805,0.835,0.0299999999999999,0.1135714285714285,16427.735292511938,8.643158387654456,0,[],13400
P177,12,7,0.8035714285714286,0.8307142857142857,0.0271428571428571,0.1107142857142857,16427.735292511938,8.643158387654456,0,[],13400
P177,13,7,0.81,0.8392857142857143,0.0292857142857142,0.1178571428571428,16427.735292511938,8.643158387654456,0,[],13400
P177,14,7,0.8085714285714286,0.8378571428571429,0.0292857142857142,0.1207142857142857,16427.735292511938,8.643158387654456,0,[],13400
P177,15,7,0.8021428571428572,0.8328571428571429,0.0307142857142856,0.1092857142857142,16427.735292511938,8.643158387654456,0,[],13400
P177,16,7,0.805,0.8357142857142857,0.0307142857142856,0.1185714285714285,16427.735292511938,8.643158387654456,0,[],13400
P177,17,7,0.8128571428571428,0.8392857142857143,0.0264285714285714,0.12,16427.735292511938,8.643158387654456,0,[],13400
P177,18,7,0.8007142857142857,0.8314285714285714,0.0307142857142856,0.1228571428571428,16427.735292511938,8.643158387654456,0,[],13400
P177,19,7,0.8135714285714286,0.8457142857142858,0.0321428571428571,0.1164285714285714,16427.735292511938,8.643158387654456,0,[],13400
P177,20,7,0.805,0.8335714285714285,0.0285714285714284,0.1178571428571428,16427.735292511938,8.643158387654456,0,[],13400
P177,21,7,0.8121428571428572,0.845,0.0328571428571428,0.1207142857142857,16427.735292511938,8.643158387654456,0,[],13400
P177,22,7,0.8128571428571428,0.8421428571428572,0.0292857142857143,0.1185714285714285,16427.735292511938,8.643158387654456,0,[],13400
