user_id,condition,user_video_mean_accuracy
P177,causal_consensus,0.8044028571428571
P177,delayed_consensus,0.8052114285714286
P177,delta,0.7526257142857142
P177,gain,0.7997257142857144
P177,instantaneous_majority,0.8033628571428573
P177,memoryless_consensus,0.8084742857142857
P177,oracle_per_frame,0.8378571428571429
P177,prototype,0.8004371428571428
P177,selection_fixed_best,0.7997257142857144
P177,temporal,0.8084742857142857
P198,causal_consensus,0.6580880266336468
P198,delayed_consensus,0.645300786170387
P198,delta,0.49442029240520985
P198,gain,0.5746949073183837
P198,instantaneous_majority,0.5905737338812873
P198,memoryless_consensus,0.6150737174011661
P198,oracle_per_frame,0.7041733169562274
P198,prototype,0.5752671803236354
P198,selection_fixed_best,0.5746949073183837
P198,temporal,0.6150737174011661
P204,causal_consensus,0.5257072588389089
P204,delayed_consensus,0.5231752283958502
P204,delta,0.4379805630746267
P204,gain,0.533064265600359
P204,instantaneous_majority,0.5252431357908376
P204,memoryless_consensus,0.535633362677859
P204,oracle_per_frame,0.5825656285170145
P204,prototype,0.5189742786241147
P204,selection_fixed_best,0.533064265600359
P204,temporal,0.535633362677859
P233,causal_consensus,0.4243954166666667
P233,delayed_consensus,0.420968125
P233,delta,0.4793264583333333
P233,gain,0.3828495833333333
P233,instantaneous_majority,0.40876895833333327
P233,memoryless_consensus,0.41918041666666667
P233,oracle_per_frame,0.56571875
P233,prototype,0.3926222916666667
P233,selection_fixed_best,0.3828495833333333
P233,temporal,0.41918041666666667
P271,causal_consensus,0.7635061538461538
P271,delayed_consensus,0.7561076923076924
P271,delta,0.5804384615384615
P271,gain,0.7174384615384615
P271,instantaneous_majority,0.710833846153846
P271,memoryless_consensus,0.7174384615384615
P271,oracle_per_frame,0.7768061538461539
P271,prototype,0.6947384615384615
P271,selection_fixed_best,0.7174384615384615
P271,temporal,0.7174384615384615
P421,causal_consensus,0.999652
P421,delayed_consensus,0.999652
P421,delta,0.995728
P421,gain,0.9975580000000001
P421,instantaneous_majority,0.998414
P421,memoryless_consensus,0.999652
P421,oracle_per_frame,0.999652
P421,prototype,0.9966160000000001
P421,selection_fixed_best,0.9975580000000001
P421,temporal,0.999652
P452,causal_consensus,0.7459716666666667
P452,delayed_consensus,0.7391483333333333
P452,delta,0.6546299999999999
P452,gain,0.70679
P452,instantaneous_majority,0.72065
P452,memoryless_consensus,0.7249833333333333
P452,oracle_per_frame,0.7898
P452,prototype,0.7150483333333334
P452,selection_fixed_best,0.70679
P452,temporal,0.7249833333333333
P455,causal_consensus,0.5360181818181818
P455,delayed_consensus,0.5335672727272727
P455,delta,0.512770909090909
P455,gain,0.5108072727272728
P455,instantaneous_majority,0.5304836363636364
P455,memoryless_consensus,0.5515509090909091
P455,oracle_per_frame,0.606929090909091
P455,prototype,0.5371400000000001
P455,selection_fixed_best,0.5108072727272728
P455,temporal,0.5515509090909091
P485,causal_consensus,0.9984129411764705
P485,delayed_consensus,0.9920482352941177
P485,delta,0.9886529411764705
P485,gain,0.9856411764705882
P485,instantaneous_majority,0.9874470588235293
P485,memoryless_consensus,0.9891141176470588
P485,oracle_per_frame,0.9989635294117647
P485,prototype,0.9762011764705882
P485,selection_fixed_best,0.9856411764705882
P485,temporal,0.9891141176470588
P554,causal_consensus,0.766766
P554,delayed_consensus,0.75574
P554,delta,0.5896440000000001
P554,gain,0.752196
P554,instantaneous_majority,0.7674340000000001
P554,memoryless_consensus,0.799114
P554,oracle_per_frame,0.8530559999999999
P554,prototype,0.7561519999999999
P554,selection_fixed_best,0.752196
P554,temporal,0.799114
P609,causal_consensus,0.7136537796411743
P609,delayed_consensus,0.7032170186871173
P609,delta,0.6638949546243043
P609,gain,0.7123327081468214
P609,instantaneous_majority,0.6857915449458403
P609,memoryless_consensus,0.6888138961564162
P609,oracle_per_frame,0.7437928576575775
P609,prototype,0.6619456784737485
P609,selection_fixed_best,0.7123327081468214
P609,temporal,0.6888138961564162
P642,causal_consensus,0.8336407012665132
P642,delayed_consensus,0.8220588153868251
