seed,strict_unseen_generators,fixed_best_mode,routing_utility,gain_utility,low_rank_utility,fixed_best_utility,oracle_utility,gru_bptt_utility,local_three_factor_utility,local_minus_fixed_best,oracle_minus_fixed_best,gru_minus_fixed_best,local_noninferiority_contrast,local_regret,gru_regret,local_selection_accuracy,gru_selection_accuracy,local_recovered_oracle_gain,gru_recovered_oracle_gain,positive_oracle_gain_cells,local_cell_recovery_mean,gru_cell_recovery_mean,local_update_l1,local_update_l2,gru_update_l1,gru_update_l2
30,43,low_rank,0.6119186046511627,0.5518410852713178,0.7766472868217054,0.7766472868217054,0.8648255813953488,0.8512596899224806,0.8587693798449612,0.08212209302325581,0.0881782945736434,0.07461240310077519,0.011579457364341086,0.006056201550387597,0.013565891472868215,0.9302325581395349,0.8837209302325582,0.9313186813186813,0.8461538461538461,13,0.8131868131868132,0.9171597633136095,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
31,43,low_rank,0.6233042635658914,0.5409399224806202,0.7497577519379846,0.7497577519379846,0.8563468992248063,0.840843023255814,0.8350290697674418,0.08527131782945736,0.1065891472868217,0.09108527131782945,0.0,0.021317829457364337,0.015503875968992248,0.8837209302325582,0.9069767441860465,0.8,0.8545454545454545,14,0.7946428571428571,0.8660714285714286,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
32,43,low_rank,0.6322674418604652,0.5327034883720931,0.7589631782945736,0.7589631782945736,0.8529554263565892,0.840843023255814,0.840843023255814,0.0818798449612403,0.0939922480620155,0.0818798449612403,0.006686046511627894,0.012112403100775194,0.012112403100775194,0.8837209302325582,0.9069767441860465,0.8711340206185566,0.8711340206185566,13,0.7692307692307693,0.9230769230769231,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
33,43,low_rank,0.6405038759689922,0.5213178294573644,0.751453488372093,0.751453488372093,0.8752422480620156,0.8607073643410854,0.867248062015504,0.11579457364341086,0.12378875968992249,0.10925387596899226,0.016763565891472862,0.007994186046511632,0.014534883720930232,0.8604651162790697,0.9069767441860465,0.9354207436399217,0.8825831702544031,15,0.7333333333333333,0.9333333333333333,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
34,43,low_rank,0.6065891472868218,0.5503875968992248,0.7575096899224807,0.7575096899224807,0.8536821705426357,0.8250968992248061,0.839874031007752,0.08236434108527131,0.09617248062015504,0.06758720930232559,0.005426356589147266,0.013808139534883723,0.028585271317829463,0.8604651162790697,0.8604651162790697,0.8564231738035264,0.7027707808564232,13,0.4615384615384632,0.615384615384617,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
35,43,low_rank,0.6281492248062016,0.536579457364341,0.7504844961240309,0.7504844961240309,0.8747577519379846,0.8660368217054264,0.8733042635658915,0.12281976744186045,0.12427325581395349,0.11555232558139535,0.02340116279069765,0.0014534883720930245,0.008720930232558143,0.9302325581395349,0.9069767441860465,0.9883040935672514,0.9298245614035088,14,0.8571428571428571,0.8214285714285714,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
36,43,low_rank,0.6070736434108527,0.5290697674418604,0.7625968992248061,0.7625968992248061,0.8667635658914727,0.8519864341085273,0.8616763565891472,0.09907945736434107,0.10416666666666666,0.08938953488372094,0.01574612403100774,0.005087209302325582,0.014777131782945733,0.9302325581395349,0.8837209302325582,0.9511627906976743,0.8581395348837211,13,0.8769230769230768,0.8769230769230768,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
37,43,low_rank,0.6218507751937984,0.5404554263565892,0.7587209302325582,0.7587209302325582,0.8578003875968994,0.8493217054263567,0.84375,0.08502906976744186,0.0990794573643411,0.09060077519379844,0.005765503875968983,0.014050387596899227,0.008478682170542637,0.9302325581395349,0.9534883720930233,0.8581907090464547,0.9144254278728605,13,0.8461538461538461,1.0,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
38,43,low_rank,0.6412306201550387,0.5351259689922481,0.7502422480620156,0.7502422480620156,0.876937984496124,0.8556201550387598,0.863372093023256,0.1131298449612403,0.1266957364341085,0.10537790697674419,0.011773255813953498,0.01356589147286822,0.021317829457364344,0.8604651162790697,0.8837209302325582,0.8929254302103251,0.8317399617590824,16,0.6875,0.8125,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
39,43,low_rank,0.6342054263565892,0.5348837209302326,0.7325581395348838,0.7325581395348838,0.8590116279069766,0.8420542635658915,0.8502906976744186,0.11773255813953488,0.12645348837209303,0.10949612403100774,0.016569767441860464,0.008720930232558138,0.01695736434108527,0.9069767441860465,0.8837209302325582,0.9310344827586207,0.8659003831417623,16,0.8125,0.8125,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
40,43,low_rank,0.6315406976744186,0.5593507751937985,0.7521802325581395,0.7521802325581395,0.8733042635658917,0.8616763565891473,0.8609496124031009,0.10876937984496125,0.12112403100775194,0.10949612403100777,0.011870155038759697,0.012354651162790697,0.011627906976744184,0.8837209302325582,0.9069767441860465,0.898,0.904,14,0.773109243697479,0.9159663865546219,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
41,43,low_rank,0.6128875968992248,0.5249515503875969,0.7378875968992248,0.7378875968992248,0.8449612403100776,0.8236434108527131,0.8255813953488372,0.0876937984496124,0.10707364341085272,0.08575581395348837,0.0020348837209302195,0.01937984496124031,0.02131782945736434,0.7906976744186046,0.7674418604651163,0.8190045248868778,0.8009049773755655,15,0.5761904761904761,0.6428571428571428,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
42,43,low_rank,0.6499515503875969,0.5423934108527133,0.7606589147286822,0.7606589147286822,0.8863856589147285,0.8689437984496123,0.8711240310077518,0.11046511627906977,0.12572674418604649,0.10828488372093022,0.00988372093023257,0.015261627906976742,0.017441860465116275,0.9069767441860465,0.9069767441860465,0.878612716763006,0.8612716763005781,13,0.8461538461538461,1.0,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
43,43,low_rank,0.626937984496124,0.528827519379845,0.7548449612403101,0.7548449612403101,0.8602228682170542,0.8570736434108527,0.8531976744186046,0.09835271317829458,0.10537790697674419,0.10222868217054262,0.014050387596899222,0.007025193798449614,0.003149224806201552,0.9069767441860465,0.9302325581395349,0.9333333333333333,0.9701149425287354,13,0.7692307692307693,0.9230769230769231,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
44,43,low_rank,0.6366279069767443,0.5564437984496124,0.7412790697674417,0.7412790697674417,0.8631298449612406,0.8524709302325582,0.8529554263565892,0.11167635658914728,0.12185077519379846,0.11119186046511628,0.0141957364341085,0.010174418604651164,0.01065891472868217,0.9534883720930233,0.9534883720930233,0.9165009940357851,0.9125248508946322,14,0.9285714285714286,1.0,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
45,43,low_rank,0.6114341085271318,0.5515988372093024,0.7579941860465116,0.7579941860465116,0.8694282945736436,0.8522286821705427,0.8544089147286822,0.09641472868217056,0.11143410852713179,0.09423449612403102,0.007267441860465129,0.01501937984496124,0.017199612403100775,0.9069767441860465,0.9302325581395349,0.8652173913043479,0.8456521739130436,13,0.8461538461538461,0.9230769230769231,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
46,43,low_rank,0.6402616279069767,0.5356104651162791,0.7427325581395349,0.7427325581395349,0.8774224806201552,0.8677325581395349,0.8752422480620156,0.1325096899224806,0.13468992248062014,0.125,0.02475775193798449,0.002180232558139535,0.009689922480620155,0.9767441860465116,0.9302325581395349,0.9838129496402878,0.9280575539568346,13,1.0,1.0,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
47,43,low_rank,0.6218507751937985,0.5431201550387597,0.7303779069767442,0.7303779069767442,0.8614341085271319,0.8444767441860467,0.8585271317829458,0.12814922480620153,0.13105620155038758,0.11409883720930232,0.023304263565891464,0.002906976744186045,0.016957364341085267,0.9767441860465116,0.9302325581395349,0.9778188539741219,0.8706099815157117,14,0.9285714285714286,0.9285714285714286,17616.728719374267,16.419072175238167,439.64200726938765,2.2448077881085307
