metric,statistics_unit,n,mean,std,min,max
routing_utility,outer_seed,2,0.546875,0.11048543456039805,0.46875,0.625
gain_utility,outer_seed,2,0.625,0.08838834764831845,0.5625,0.6875
low_rank_utility,outer_seed,2,1.0,0.0,1.0,1.0
fixed_best_utility,outer_seed,2,0.546875,0.11048543456039805,0.46875,0.625
oracle_utility,outer_seed,2,1.0,0.0,1.0,1.0
gru_bptt_utility,outer_seed,2,1.0,0.0,1.0,1.0
local_three_factor_utility,outer_seed,2,1.0,0.0,1.0,1.0
local_minus_fixed_best,outer_seed,2,0.453125,0.11048543456039805,0.375,0.53125
oracle_minus_fixed_best,outer_seed,2,0.453125,0.11048543456039805,0.375,0.53125
local_noninferiority_contrast,outer_seed,2,0.09062499999999996,0.02209708691207961,0.07499999999999996,0.10624999999999996
local_selection_accuracy,outer_seed,2,1.0,0.0,1.0,1.0
gru_selection_accuracy,outer_seed,2,1.0,0.0,1.0,1.0
local_update_l1,outer_seed,2,32.85365716198853,2.5956562677713046,31.018251013418077,34.689063310558986
local_update_l2,outer_seed,2,0.5964124100435179,0.03711501571017949,0.5701681307510047,0.622656689336031
gru_update_l1,outer_seed,2,148.15521444226079,2.4010511746281527,146.45741487470528,149.85301400981626
gru_update_l2,outer_seed,2,1.6350468979592017,0.02003928809938361,1.6208769814539765,1.6492168144644266
