seed,registered_generators,oracle_utility,gru_bptt_utility,local_three_factor_utility,fixed_best_utility,frozen_utility,routing_utility,gain_utility,low_rank_utility,local_minus_fixed_best,local_noninferiority_contrast,routing_infeasible_rate,gain_infeasible_rate,low_rank_infeasible_rate,local_fallback_rate,local_matched_budget_eligible_rate,local_update_l1,local_update_l2,gru_update_l1,gru_update_l2
60,44,0.8499053030303031,0.8394886363636364,0.8430397727272729,0.7339015151515152,0.5,0.6252367424242424,0.5587121212121212,0.7339015151515152,0.10913825757575768,0.016335227272727404,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
61,44,0.8742897727272727,0.8551136363636364,0.8674242424242425,0.7703598484848485,0.5,0.6202651515151515,0.5419034090909091,0.7703598484848485,0.09706439393939403,0.013920454545454666,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
62,44,0.8641098484848484,0.8451704545454544,0.8359375,0.7507102272727274,0.5,0.623816287878788,0.5234375,0.7507102272727274,0.0852272727272726,-0.0054924242424242015,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
63,44,0.8683712121212124,0.8456439393939396,0.8570075757575758,0.7473958333333333,0.5,0.6287878787878788,0.5468750000000001,0.7473958333333333,0.10961174242424254,0.012831439393939242,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
64,44,0.8551136363636362,0.8454071969696969,0.8473011363636362,0.7471590909090909,0.5,0.6370738636363636,0.517282196969697,0.7471590909090909,0.1001420454545453,0.01377840909090905,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
65,44,0.8401988636363634,0.8347537878787878,0.8219696969696968,0.7168560606060607,0.5,0.6280776515151515,0.5468750000000001,0.7168560606060607,0.10511363636363613,0.0064393939393939115,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
66,44,0.8866003787878788,0.866003787878788,0.8674242424242425,0.7715435606060606,0.5,0.6202651515151515,0.5201231060606061,0.7715435606060606,0.09588068181818199,0.003835227272727393,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
67,44,0.8605587121212122,0.8463541666666667,0.8558238636363636,0.7455018939393938,0.5,0.6337594696969696,0.5570549242424242,0.7455018939393938,0.11032196969696983,0.018276515151515155,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
68,44,0.8233901515151516,0.7985321969696971,0.8008996212121212,0.7336647727272727,0.5,0.5838068181818182,0.5253314393939394,0.7336647727272727,0.06723484848484851,-0.004545454545454616,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
69,44,0.876183712121212,0.8652935606060606,0.868371212121212,0.7784090909090907,0.5,0.607717803030303,0.5182291666666667,0.7784090909090907,0.08996212121212133,0.011742424242424263,0.0,0.0,0.0,0.0,1.0,17617.651647778588,16.415116107153647,426.29776238347716,2.215463095945121
