method,candidate_id,block_id,true_process_variance,true_observation_variance,mean_gain,early_gain,late_gain,bird_tracking_mse,bag_predictive_nll,mean_estimated_q,mean_estimated_r
fixed_gain,fixed_gain:f5a1f9326639,0,4.0,16.0,0.66,0.66,0.66,7.799351853932233,,,
fixed_gain,fixed_gain:f5a1f9326639,1,49.0,16.0,0.66,0.66,0.66,15.150908620983142,,,
fixed_gain,fixed_gain:f5a1f9326639,2,4.0,64.0,0.66,0.66,0.66,28.273670443935224,,,
fixed_gain,fixed_gain:f5a1f9326639,3,49.0,64.0,0.66,0.66,0.66,37.43185140153171,,,
total_uncertainty,total_uncertainty:2ade3e47abb7,0,4.0,16.0,0.6886144933251127,0.7003700520650349,0.6857269867821928,8.33341468678555,3.200700797015066,5.992141488318075,3.9947609922120493
total_uncertainty,total_uncertainty:2ade3e47abb7,1,49.0,16.0,0.6877123774628349,0.6991751390522241,0.6857866992032235,14.797258911266887,4.19151585215971,9.52458102130415,6.349720680869434
total_uncertainty,total_uncertainty:2ade3e47abb7,2,4.0,64.0,0.6872414577647907,0.6976179298277554,0.684915143007249,30.640271464252027,4.731984816752715,11.496636382558297,7.664424255038865
total_uncertainty,total_uncertainty:2ade3e47abb7,3,49.0,64.0,0.6869356108444666,0.6969789747720851,0.6852951856314329,38.87551789344308,5.161986775551253,14.441319622078382,9.627546414718923
factorized_local_em,factorized_local_em:2fe494fe42f9,0,4.0,16.0,0.6196997758424458,0.626525227627014,0.6179974007346295,7.385414215300735,3.0165662365329973,8.175977677786152,8.175977677786152
factorized_local_em,factorized_local_em:2fe494fe42f9,1,49.0,16.0,0.6187314831491502,0.6255349346698995,0.6178135481721072,16.481021692257585,3.76843552732768,10.9939376207981,10.9939376207981
factorized_local_em,factorized_local_em:2fe494fe42f9,2,4.0,64.0,0.6183032542744427,0.6244675272575476,0.6168836998714753,26.11347393707233,4.1238446563749696,12.164661541652134,12.164661541652134
factorized_local_em,factorized_local_em:2fe494fe42f9,3,49.0,64.0,0.6178673730386228,0.623770934776956,0.6171823360832934,37.08015285772411,4.496113847869171,14.554519524733271,14.554519524733271
autocovariance_qr,autocovariance_qr:3764e1712f24,0,4.0,16.0,0.6894128540892008,0.7880390612869386,0.5991731816826211,8.233757517093872,3.076804251385271,18.603877381602583,11.585488281100108
autocovariance_qr,autocovariance_qr:3764e1712f24,1,49.0,16.0,0.7835039833949159,0.7958434496859981,0.7625989512470697,13.292687067574915,3.5123999764441676,33.86452084818856,11.927112321932013
autocovariance_qr,autocovariance_qr:3764e1712f24,2,4.0,64.0,0.49642839820844453,0.7026201783888238,0.32048439700505843,21.54987571900946,3.6841529512690907,15.907111248714324,31.750988836310693
autocovariance_qr,autocovariance_qr:3764e1712f24,3,49.0,64.0,0.6059671418535069,0.7122925019383648,0.5162864749938552,37.24449299219695,3.947136022640551,28.089864671629265,32.10077099380689
hierarchical_particle,hierarchical_particle:437b6f9cf06c,0,4.0,16.0,0.6210446372904022,0.6533924491575804,0.6052310786709277,7.661105619726737,5.160447950536978,1.2539441945195515,1.267746092657263
hierarchical_particle,hierarchical_particle:437b6f9cf06c,1,49.0,16.0,0.7536046124659237,0.6791243533757971,0.8169644762393506,13.83809982734491,8.84118966988792,2.9309569322706146,1.095695036088923
hierarchical_particle,hierarchical_particle:437b6f9cf06c,2,4.0,64.0,0.49978765129802893,0.6245140605086104,0.427732067861445,21.53379823706523,10.51091678338667,1.1230095517290974,2.650072751521194
hierarchical_particle,hierarchical_particle:437b6f9cf06c,3,49.0,64.0,0.609178861104114,0.6380963600396667,0.6128182953037158,38.24701703072996,13.249041751362517,2.3366524236106914,2.3946379348385918
oracle_qr,oracle_qr:b964134d4145,0,4.0,16.0,0.392818506604312,0.40229612200402454,0.3903882032022083,5.624125976493707,2.9578780701580785,4.0,16.0
oracle_qr,oracle_qr:b964134d4145,1,49.0,16.0,0.7939360885473921,0.7933186873929736,0.7940943965357047,13.19521445227087,3.496719441834254,49.0,16.0
oracle_qr,oracle_qr:b964134d4145,2,4.0,64.0,0.2184837461813389,0.20993567154021245,0.22069555281724976,9.241499593260766,3.541223311204019,4.0,64.0
oracle_qr,oracle_qr:b964134d4145,3,49.0,64.0,0.5699328504145729,0.5608428185753398,0.5722636279375848,35.85016107252408,3.821862141366884,49.0,64.0
