participant_id,fold,method,candidate_id,response_sigma,conditional_update_nll,conditional_update_mse,free_run_bucket_mse,early_update_nll,late_update_nll
2,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9201280363348365,17.76011010298776,19.389936654492217,3.2724745896313676,2.8204536171491985
8,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.086537852180917,27.9682446336,28.548490607320282,2.949726097590772,3.080519289387712
15,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.0643231425000916,26.60552006217143,27.992103702935307,2.9788617248948666,3.1239603070877067
16,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.143651656657971,31.471796372375508,29.863026456106248,3.008511974293052,3.298842689278099
22,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9794746348653525,21.400628894824493,20.52373488919924,2.9312487376785272,3.0501103255604924
25,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9349293614755516,18.668072878497956,20.805772862279593,2.937205692384346,2.847153381147571
34,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.994535943837821,22.32453994788571,25.439304064742572,2.911271872939307,2.9519760362365433
39,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.942399783024155,19.126333515232655,18.329310941600312,2.820307999399344,2.8924841634574463
48,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.390571454168598,46.61868238053878,52.0256223264475,3.609238150756339,3.3013482977222663
49,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.6638973170290985,63.38540473155918,84.61486275202418,3.78365019927638,3.361770289998391
54,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.0259497256712975,24.251566364212245,28.475712016744758,3.02506948059328,3.0049582306083087
57,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9333796743864293,18.57300989074286,19.725941274942002,3.0744477240451964,2.8481997460197017
62,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,4.217702273122461,97.35765250298778,109.96295568188866,3.805152109021921,4.157824941155184
64,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.8446966735125163,13.132898086661225,14.245169869576316,2.866063397623898,2.8274558308206896
66,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.785573961847425,70.84945697645713,73.58711181100384,3.727433885797427,3.861412515951219
67,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.1091017165877646,29.35238752339592,29.69519873500931,3.0988580008474065,3.143834040833129
72,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9479831074245855,19.468833302987754,24.27517776747733,2.8939683597012382,2.9599228818190597
76,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.9077406448048686,17.000226086661225,22.91124238596048,3.0598986690706256,2.8198144866808037
92,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.2940147399819084,40.695570674416324,43.86863947050115,3.417393615265772,3.142999863937919
95,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.7379866819532968,6.586950396865307,8.89847951714375,2.7381992023375084,2.708185780686693
97,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.914210325339296,17.397097923395922,16.364019881719003,2.855970686621711,2.969604028689394
101,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.1027682622666934,28.963872258089793,27.01998720906819,3.1560709864394156,3.1283911421799866
102,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.410552292420781,47.84437380911021,53.86663845985676,3.392147523574824,3.5770581853216954
106,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.0030772890896387,22.848494625436736,28.381767230243987,3.0574326437312096,2.9524261192990076
107,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,2.8514501891766346,13.547181319314284,14.727966596409708,2.9844847167163673,2.780891535053276
112,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.654567150034992,62.813061090742856,109.27951002686198,3.481748690830117,3.6951284834443783
115,0,fixed_gain,fixed_gain:8b88e33eda90,5.538201139029448,3.1064599458062396,29.190332470334695,41.5074451665037,2.985141917278971,3.1377137249638407
