candidate,baseline,metric,contrast,n_participants,mean_gain,median_gain,ci_low,ci_high,positive_participants,p_raw,p_holm
factorized_local_em,fixed_gain,conditional_update_nll,baseline_minus_candidate,223,0.001043678468821023,-0.005143768004605587,-0.006092605746785846,0.01035083927602457,86,0.8039322439004557,1.0
factorized_local_em,total_uncertainty,conditional_update_nll,baseline_minus_candidate,223,0.006105069356901647,4.9500418604520036e-05,-0.0024450060850319567,0.017697228259573185,116,0.24350021896002164,0.9740008758400865
factorized_local_em,autocovariance_qr,conditional_update_nll,baseline_minus_candidate,223,0.023895395724099946,0.03044471587626818,0.013229113569463416,0.03191219090902169,184,9.569125821551718e-07,6.698388075086203e-06
factorized_local_em,hierarchical_particle,conditional_update_nll,baseline_minus_candidate,223,0.007164018170095748,0.009062657336099456,0.000894451533839627,0.01236008153182972,144,0.01629271513232359,0.08146357566161794
factorized_local_em,oracle_qr,conditional_update_nll,baseline_minus_candidate,223,0.0936316014976273,0.11034167613876011,0.07162314417830679,0.11277198856991046,191,4.267723029946342e-16,3.8409507269517074e-15
factorized_local_em,fixed_gain,conditional_update_mse,baseline_minus_candidate,223,0.019918465880941292,-0.3083125925785275,-0.38545154531554415,0.5224934723873278,88,0.9318455364565459,1.0
factorized_local_em,total_uncertainty,conditional_update_mse,baseline_minus_candidate,223,0.32422440722806134,0.005813146491784771,-0.15343816058656018,0.9519708852652244,118,0.27305617582809477,0.9740008758400865
factorized_local_em,autocovariance_qr,conditional_update_mse,baseline_minus_candidate,223,1.5317286947134612,1.6784325599538832,0.9992068248035371,1.9778961735809562,180,3.947007177765178e-09,3.157605742212142e-08
factorized_local_em,hierarchical_particle,conditional_update_mse,baseline_minus_candidate,223,0.4635588754837668,0.5467428000133303,0.11202558896177646,0.7612774767257892,138,0.00503046089667966,0.03018276538007796
factorized_local_em,oracle_qr,conditional_update_mse,baseline_minus_candidate,223,6.381000680666001,6.488155342498462,5.256223228752888,7.398235118337356,201,5.022870687846343e-24,5.022870687846343e-23
