seed,method,heldout_nll,heldout_latent_mse,heldout_early_nll,heldout_late_nll
39100,clamp_h,0.80223980418196,0.05522581785878682,0.9735199608411979,0.7299079155145897
39100,clamp_q,0.8177552195516307,0.05929647782426966,1.0235969234145015,0.7394024685905627
39100,clamp_r,0.9108474661131769,0.08541565857312644,0.9724120504358408,0.8934866307489499
39100,factorized,0.7903385355524009,0.05677547768481808,0.9459724027262484,0.7369305509127088
39100,oracle_dynamic,0.6964041851009096,0.04493630113960612,0.7423693513494166,0.6592629544760377
39100,oracle_factorial_imm,0.7313008950663801,0.04778347074268478,0.8628554837202299,0.6731409276833963
39100,seen_mode_imm,0.8265199727241512,0.05977781825629471,0.9826876806514617,0.7294738977952141
39100,selected_fixed,1.0560444289157112,0.07415901692574381,1.0439286642425563,1.1015880088689267
39101,clamp_h,0.8749298472141449,0.06379034068530043,1.181130661290208,0.8633979441825024
39101,clamp_q,0.8984643066920236,0.0676234506118204,1.235715681154489,0.867820010213875
39101,clamp_r,0.980094413047956,0.0913443807560138,1.0602253061183882,0.9849768455760859
39101,factorized,0.8542925030195233,0.06521044117016743,1.1319869738163648,0.8452751888209298
39101,oracle_dynamic,0.7157594098539711,0.048153252168414436,0.7096852853560639,0.7367704513083418
39101,oracle_factorial_imm,0.7563757573218459,0.05199965825955378,0.8584901059663796,0.7511138769647048
39101,seen_mode_imm,0.8868679791292601,0.06535214891846097,0.9921094323769162,0.8820600386988988
39101,selected_fixed,1.1118384702868882,0.08066344724755399,1.1005547009802397,1.2224281753847468
39102,clamp_h,0.856523738312273,0.06544754494878335,1.0439894288218579,0.8045417420865658
39102,clamp_q,0.8688331394150894,0.0688155982487665,1.0556390598409693,0.7905988355933363
39102,clamp_r,0.9656382433707973,0.09812548153366135,1.006323816547575,0.9174832236624082
39102,factorized,0.8454028755916086,0.06699732183179624,1.0178790680572212,0.7877380177090272
39102,oracle_dynamic,0.7171837225817912,0.054646151872822804,0.6614131689161229,0.7234029526380606
39102,oracle_factorial_imm,0.7576127377744822,0.05661912538059254,0.8058030157097151,0.7420254069901522
