seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39127,factorized,online_em,0.002:0.08:0.5,,0.07654236725534087,0.002,0.08,0.5,False
39127,factorized,online_em,0.01:0.08:0.5,,0.07779229501528116,0.01,0.08,0.5,False
39127,factorized,online_em,0.05:0.08:0.5,,0.08211630665302956,0.05,0.08,0.5,False
39127,fixed,fixed_jump,0.03:0.01:0.04,,0.21842923112015258,0.03,0.01,0.04,True
39127,fixed,fixed_jump,0.01:0.01:0.04,,0.22377224279172925,0.01,0.01,0.04,False
39127,fixed,fixed_jump,0.06:0.01:0.04,,0.227907193113277,0.06,0.01,0.04,False
39127,fixed,fixed_jump,0.0025:0.01:0.04,,0.23960613595655408,0.0025,0.01,0.04,False
39127,fixed,fixed_jump,0.06:0.0025:0.04,,0.24291588827079616,0.06,0.0025,0.04,False
39127,fixed,fixed_jump,0.03:0.0025:0.04,,0.24377266184297727,0.03,0.0025,0.04,False
39127,fixed,fixed_jump,0.01:0.04:0.04,,0.2625921436134114,0.01,0.04,0.04,False
39127,fixed,fixed_jump,0.01:0.0025:0.04,,0.2634543208012366,0.01,0.0025,0.04,False
39127,fixed,fixed_jump,0.03:0.04:0.04,,0.2654152645711582,0.03,0.04,0.04,False
39127,fixed,fixed_jump,0.0025:0.04:0.04,,0.2717212640623942,0.0025,0.04,0.04,False
39127,fixed,fixed_jump,0.06:0.04:0.04,,0.28078888803621377,0.06,0.04,0.04,False
39127,fixed,fixed_jump,0.06:0.04:0.01,,0.28284416125394235,0.06,0.04,0.01,False
39127,fixed,fixed_jump,0.03:0.04:0.01,,0.2843874497846299,0.03,0.04,0.01,False
39127,fixed,fixed_jump,0.0025:0.0025:0.04,,0.296831779700033,0.0025,0.0025,0.04,False
39127,fixed,fixed_jump,0.01:0.04:0.01,,0.304394025029612,0.01,0.04,0.01,False
39127,fixed,fixed_jump,0.0025:0.04:0.01,,0.3359924270405859,0.0025,0.04,0.01,False
39127,fixed,fixed_jump,0.06:0.01:0.01,,0.3620463079229352,0.06,0.01,0.01,False
39127,fixed,fixed_jump,0.03:0.01:0.01,,0.3912549144804009,0.03,0.01,0.01,False
39127,fixed,fixed_jump,0.03:0.0025:0.16,,0.4065211703223548,0.03,0.0025,0.16,False
39127,fixed,fixed_jump,0.01:0.0025:0.16,,0.40994906839190687,0.01,0.0025,0.16,False
39127,fixed,fixed_jump,0.01:0.01:0.16,,0.41149920104487564,0.01,0.01,0.16,False
39127,fixed,fixed_jump,0.03:0.01:0.16,,0.41687816111583836,0.03,0.01,0.16,False
39127,fixed,fixed_jump,0.0025:0.01:0.16,,0.41951892338322727,0.0025,0.01,0.16,False
39127,fixed,fixed_jump,0.06:0.0025:0.16,,0.4208739687618503,0.06,0.0025,0.16,False
39127,fixed,fixed_jump,0.0025:0.0025:0.16,,0.42878732405518577,0.0025,0.0025,0.16,False
39127,fixed,fixed_jump,0.06:0.01:0.16,,0.4360195749372621,0.06,0.01,0.16,False
39127,fixed,fixed_jump,0.01:0.01:0.01,,0.4516494545225525,0.01,0.01,0.01,False
39127,fixed,fixed_jump,0.01:0.04:0.16,,0.4735568096407339,0.01,0.04,0.16,False
39127,fixed,fixed_jump,0.0025:0.04:0.16,,0.4785812012960684,0.0025,0.04,0.16,False
39127,fixed,fixed_jump,0.03:0.04:0.16,,0.48165550694965886,0.03,0.04,0.16,False
39127,fixed,fixed_jump,0.06:0.0025:0.01,,0.487574289665686,0.06,0.0025,0.01,False
39127,fixed,fixed_jump,0.06:0.04:0.16,,0.5021683301747454,0.06,0.04,0.16,False
39127,fixed,fixed_jump,0.0025:0.01:0.01,,0.527451557663042,0.0025,0.01,0.01,False
39127,fixed,fixed_jump,0.03:0.0025:0.01,,0.5419004034127147,0.03,0.0025,0.01,False
39127,fixed,fixed_jump,0.01:0.0025:0.01,,0.6390061203244185,0.01,0.0025,0.01,False
39127,fixed,ema,0.7,0.3080599767216542,0.6701986614181695,,,,False
39127,fixed,window,2,0.34013648409231984,0.7144862104946275,,,,False
39127,fixed,fixed_jump,0.0025:0.0025:0.01,,0.7595315660364976,0.0025,0.0025,0.01,False
39127,fixed,ema,0.4,0.3794377986903085,0.7682427112614437,,,,False
39127,fixed,window,4,0.4487251274608634,0.844726430518846,,,,False
39127,fixed,ema,0.2,0.5663800699911342,0.9741906333365327,,,,False
39127,fixed,window,8,0.6609862929415354,1.0515486035377786,,,,False
39127,fixed,ema,0.1,0.8936009335254737,1.211509692722695,,,,False
39127,fixed,window,16,1.0200968905287995,1.2800244126939582,,,,False
39127,fixed,ema,0.05,1.461531649850711,1.4531176617873296,,,,False
39127,fixed,window,32,1.607572913921304,1.527343839751002,,,,False
39127,fixed,ema,0.02,2.9502882557819756,1.75502812974232,,,,False
39127,fixed,window,64,2.6450601488070435,1.7563124682199434,,,,False
39127,oracle_imm,oracle_imm,0.015625,,-0.04664380104054324,,,,True
39127,oracle_imm,oracle_imm,0.0078125,,-0.04544285833583864,,,,False
39127,oracle_imm,oracle_imm,0.03125,,-0.04284125275715533,,,,False
39127,oracle_imm,oracle_imm,0.00390625,,-0.04167372240727724,,,,False
