seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43002,learned_event_learned_qr,1,0,101,1,1,0.23224734988763904,0.08552386340529344
43002,learned_event_learned_qr,1,0,101,4,4,-0.046230204511775154,0.11174189959016333
43002,learned_event_learned_qr,1,0,101,8,8,0.7709304402899879,0.1102000743308395
43002,learned_event_learned_qr,1,0,101,16,16,0.8017644723515613,0.11205890859205211
43002,learned_event_learned_qr,31,0,101,1,1,0.35498098120227894,0.08425652484067189
43002,learned_event_learned_qr,31,0,101,4,4,1.0079510099455349,0.23476552419322883
43002,learned_event_learned_qr,31,0,101,8,8,0.9248479586474769,0.18743665560984407
43002,learned_event_learned_qr,31,0,101,16,12,1.0133038667147454,0.15467501489671295
43002,learned_event_learned_qr,44,0,101,1,1,1.1365052608315862,0.04233862318248375
43002,learned_event_learned_qr,44,0,101,4,4,0.8509785465061851,0.044377151003709835
43002,learned_event_learned_qr,44,0,101,8,4,0.8509785465061851,0.044377151003709835
43002,learned_event_learned_qr,44,0,101,16,4,0.8509785465061851,0.044377151003709835
43002,learned_event_learned_qr,49,0,101,1,1,0.9549182161859116,0.32463958102575796
43002,learned_event_learned_qr,49,0,101,4,4,0.8852715274654717,0.0947809033625967
43002,learned_event_learned_qr,49,0,101,8,8,0.8935621433896433,0.1265316896024279
43002,learned_event_learned_qr,49,0,101,16,10,0.8293942882801527,0.10483369389918326
43002,learned_event_learned_qr,60,0,101,1,1,1.1432389365462559,0.1736455362780961
43002,learned_event_learned_qr,60,0,101,4,4,1.0601598268312389,0.0511080682265523
43002,learned_event_learned_qr,60,0,101,8,8,0.8930318239343032,0.04104323490754995
43002,learned_event_learned_qr,60,0,101,16,16,0.725712180017446,0.0871872515328411
43002,learned_event_learned_qr,121,0,101,1,1,0.49409205755102914,0.2446932057659002
43002,learned_event_learned_qr,121,0,101,4,4,0.946175599083518,0.0726187229390128
43002,learned_event_learned_qr,121,0,101,8,8,0.8778811400306035,0.056495244169973244
43002,learned_event_learned_qr,121,0,101,16,9,0.9809623959302848,0.056752616059353396
43002,learned_event_learned_qr,131,0,111,1,1,1.0097728488331303,0.00717054551115984
43002,learned_event_learned_qr,131,0,111,4,4,0.8597099741968042,0.03089799311596389
43002,learned_event_learned_qr,131,0,111,8,8,0.8560982929541845,0.037350960678279845
43002,learned_event_learned_qr,131,0,111,16,8,0.8560982929541845,0.037350960678279845
43002,learned_event_learned_qr,140,0,111,1,1,1.376495196995401,0.19195427861414444
43002,learned_event_learned_qr,140,0,111,4,4,0.8852305306469589,0.08611317499992759
43002,learned_event_learned_qr,140,0,111,8,8,1.3915713916438686,0.13804805605765594
43002,learned_event_learned_qr,140,0,111,16,16,1.1582934994357243,0.10031879063304298
43002,learned_event_learned_qr,188,0,111,1,1,3.2948640243106566,0.1556659578657653
43002,learned_event_learned_qr,188,0,111,4,4,1.3257520464105477,0.1683035572661711
43002,learned_event_learned_qr,188,0,111,8,8,1.065621707181006,0.09270329304681318
43002,learned_event_learned_qr,188,0,111,16,14,1.0291993707331488,0.0900007627668015
43002,learned_event_learned_qr,203,0,111,1,1,0.5834436991732453,0.0026003661707645694
43002,learned_event_learned_qr,203,0,111,4,4,0.8963241943638337,0.13450794712201858
43002,learned_event_learned_qr,203,0,111,8,8,0.9253880569554083,0.1044342495061096
43002,learned_event_learned_qr,203,0,111,16,16,1.0176029631595038,0.16360049344386565
43002,learned_event_learned_qr,221,0,111,1,1,1.0638169999414901,0.05389338830144969
43002,learned_event_learned_qr,221,0,111,4,4,0.7946590988556148,0.03912331534482176
43002,learned_event_learned_qr,221,0,111,8,8,0.6255800880267967,0.020484008611766316
43002,learned_event_learned_qr,221,0,111,16,8,0.6255800880267967,0.020484008611766316
