seed,method,block_id,sequence_id,previous_cell,cell,window,n_samples,nll,latent_mse
43002,learned_event_learned_qr,17,1,110,111,8,8,2.6648077968844484,0.32783034653375653
43002,learned_event_learned_qr,17,1,110,111,16,16,2.451916617440239,0.22910512185267845
43002,learned_event_learned_qr,18,1,111,111,1,1,1.2905394546039473,0.004701508408929707
43002,learned_event_learned_qr,18,1,111,111,4,4,0.7735260600475895,0.249991401363169
43002,learned_event_learned_qr,18,1,111,111,8,8,0.6672611267741702,0.13937910009730517
43002,learned_event_learned_qr,18,1,111,111,16,16,0.8004911943377846,0.09224587641710372
43002,learned_event_learned_qr,19,1,111,111,1,1,0.6823271406908222,0.002082934548195694
43002,learned_event_learned_qr,19,1,111,111,4,4,0.9994233343850008,0.03678517980289112
43002,learned_event_learned_qr,19,1,111,111,8,8,1.8487832788879814,0.04933432010567171
43002,learned_event_learned_qr,19,1,111,111,16,16,1.557385645559641,0.08271127892748262
43002,learned_event_learned_qr,20,1,111,101,1,1,1.0708550930738265,0.2006953281858295
43002,learned_event_learned_qr,20,1,111,101,4,4,1.148540908207307,0.5247814291813889
43002,learned_event_learned_qr,20,1,111,101,8,8,1.0900732862480131,0.2766752018867636
43002,learned_event_learned_qr,20,1,111,101,16,16,0.8886335644496735,0.15305914790238587
43002,learned_event_learned_qr,21,1,101,101,1,1,1.1471929229885807,0.004331712348255648
43002,learned_event_learned_qr,21,1,101,101,4,4,0.5643963799984324,0.13521718659001375
43002,learned_event_learned_qr,21,1,101,101,8,8,0.5896515446543377,0.11783635905456644
43002,learned_event_learned_qr,21,1,101,101,16,16,1.169221941936895,0.09651835514196054
43002,learned_event_learned_qr,22,1,101,110,1,1,0.022768186039259078,0.0013105981398738099
43002,learned_event_learned_qr,22,1,101,110,4,4,0.3536393078922515,0.014554914210687851
43002,learned_event_learned_qr,22,1,101,110,8,8,0.09654294728270464,0.015747541329434345
43002,learned_event_learned_qr,22,1,101,110,16,16,-0.0035005623941517655,0.011011562297230866
43002,learned_event_learned_qr,23,1,110,101,1,1,0.8509300416110482,0.028372658917853705
43002,learned_event_learned_qr,23,1,110,101,4,4,0.8988924755999856,0.024380247276846765
43002,learned_event_learned_qr,23,1,110,101,8,8,0.5873896766013044,0.016270620315946387
43002,learned_event_learned_qr,23,1,110,101,16,16,1.0467015281601992,0.07095125530805693
43002,learned_event_learned_qr,25,2,101,011,1,1,7.172382588290033,0.461676705709354
43002,learned_event_learned_qr,25,2,101,011,4,4,2.531866923686233,0.28574136911976605
43002,learned_event_learned_qr,25,2,101,011,8,8,1.703314337017586,0.15725961648457562
43002,learned_event_learned_qr,25,2,101,011,16,16,1.4431454801318708,0.10878849818377272
43002,learned_event_learned_qr,26,2,011,101,1,1,0.2954626396697604,0.1911525816042859
43002,learned_event_learned_qr,26,2,011,101,4,4,0.4998757972669151,0.1313908864003738
43002,learned_event_learned_qr,26,2,011,101,8,8,0.8162248863604169,0.10106117887674648
43002,learned_event_learned_qr,26,2,011,101,16,16,0.7580548629260582,0.10331558995184092
43002,learned_event_learned_qr,27,2,101,101,1,1,1.4451306389795133,0.060971171248003914
43002,learned_event_learned_qr,27,2,101,101,4,4,0.6844121034322035,0.09448118792955805
43002,learned_event_learned_qr,27,2,101,101,8,8,0.5770329002799413,0.08269395209882713
43002,learned_event_learned_qr,27,2,101,101,16,16,1.099525264521628,0.1255090734062655
43002,learned_event_learned_qr,28,2,101,011,1,1,0.1558746359460176,0.12280952574217109
43002,learned_event_learned_qr,28,2,101,011,4,4,0.6965880336592897,0.14559771915495706
43002,learned_event_learned_qr,28,2,101,011,8,8,0.8259780640864958,0.11138720080203302
