temperature,video_equal_nll,video_equal_accuracy,selected
1.0,6.542170217804761,0.7358310508021031,False
2.0,5.879781566862269,0.7358310508021031,False
5.0,4.159970105082244,0.7358310508021031,False
10.0,2.4384696338581673,0.7358310508021031,False
20.0,1.3629764373337847,0.7358310508021031,False
50.0,1.0154190629217332,0.7358310508021031,True
100.0,1.5480386825693309,0.7358310508021031,False
200.0,2.4542865000103253,0.7358310508021031,False
500.0,3.2886403822331403,0.7358310508021031,False
1000.0,3.6032180985778686,0.7358310508021031,False
