direct_reliability,association_load,distractor_writes,interference_pressure,actuator_mode,n_seeds,n_blocks,mean_full_accuracy,sd_full_accuracy,mean_deployment_accuracy
0.55,8,8,0.9375,associative_query_shuffled,5,30,0.5052083333333334,0.050934712302957555,0.5135416666666667
0.55,8,8,0.9375,fixed_associative,5,30,0.8549479166666667,0.03306191978229777,0.8442708333333333
0.55,8,8,0.9375,fixed_routing,5,30,0.5427083333333333,0.03628215849620414,0.5395833333333333
0.55,8,8,0.9375,matched_probe_random,5,30,0.6971354166666667,0.08579492810416005,0.6963541666666667
0.55,8,8,0.9375,oracle_hidden_train_map,5,30,0.8549479166666667,0.03306191978229777,0.8442708333333333
0.55,8,8,0.9375,reward_only_local,5,30,0.77109375,0.03676715215935935,0.8442708333333333
0.55,8,8,0.9375,train_fixed_best,5,30,0.6098958333333333,0.13386111978228707,0.6036458333333333
0.55,8,24,1.9375,associative_query_shuffled,5,30,0.4942708333333333,0.029726702035994194,0.48072916666666665
0.55,8,24,1.9375,fixed_associative,5,30,0.7546875,0.034793688426356106,0.7578125
0.55,8,24,1.9375,fixed_routing,5,30,0.5567708333333333,0.041336470018519415,0.5635416666666667
0.55,8,24,1.9375,matched_probe_random,5,30,0.66484375,0.056796243193018646,0.675
0.55,8,24,1.9375,oracle_hidden_train_map,5,30,0.7546875,0.034793688426356106,0.7578125
0.55,8,24,1.9375,reward_only_local,5,30,0.6997395833333333,0.04257798082728939,0.7447916666666666
0.55,8,24,1.9375,train_fixed_best,5,30,0.6033854166666667,0.09934548342189001,0.6130208333333333
0.55,8,48,3.4375,associative_query_shuffled,5,30,0.49583333333333335,0.047708701938544915,0.4864583333333333
0.55,8,48,3.4375,fixed_associative,5,30,0.7033854166666667,0.032079726598844484,0.7046875
0.55,8,48,3.4375,fixed_routing,5,30,0.5473958333333333,0.030564500116721308,0.54375
0.55,8,48,3.4375,matched_probe_random,5,30,0.6111979166666667,0.052535528011853044,0.6015625
0.55,8,48,3.4375,oracle_hidden_train_map,5,30,0.7033854166666667,0.032079726598844484,0.7046875
0.55,8,48,3.4375,reward_only_local,5,30,0.6489583333333333,0.04660181409417247,0.6770833333333334
0.55,8,48,3.4375,train_fixed_best,5,30,0.5830729166666667,0.07611872547065734,0.5796875
0.55,16,8,1.4375,associative_query_shuffled,5,30,0.5015625,0.040172798230549145,0.49166666666666664
0.55,16,8,1.4375,fixed_associative,5,30,0.8005208333333333,0.03714208989750069,0.803125
0.55,16,8,1.4375,fixed_routing,5,30,0.55625,0.0527241469167918,0.5598958333333334
0.55,16,8,1.4375,matched_probe_random,5,30,0.6869791666666667,0.07798838630199055,0.6984375
0.55,16,8,1.4375,oracle_hidden_train_map,5,30,0.8005208333333333,0.03714208989750069,0.803125
0.55,16,8,1.4375,reward_only_local,5,30,0.7393229166666667,0.03423778288324255,0.803125
0.55,16,8,1.4375,train_fixed_best,5,30,0.5981770833333333,0.11285421019846215,0.6072916666666667
0.55,16,24,2.4375,associative_query_shuffled,5,30,0.4875,0.03412181445912217,0.4921875
0.55,16,24,2.4375,fixed_associative,5,30,0.7328125,0.049724794884374375,0.7296875
0.55,16,24,2.4375,fixed_routing,5,30,0.54765625,0.04808732221335331,0.5515625
0.55,16,24,2.4375,matched_probe_random,5,30,0.6380208333333334,0.06348010254828065,0.6296875
0.55,16,24,2.4375,oracle_hidden_train_map,5,30,0.7328125,0.049724794884374375,0.7296875
0.55,16,24,2.4375,reward_only_local,5,30,0.6791666666666667,0.04239221033546655,0.7119791666666667
0.55,16,24,2.4375,train_fixed_best,5,30,0.5880208333333333,0.0876934950044298,0.584375
0.55,16,48,3.9375,associative_query_shuffled,5,30,0.48411458333333335,0.04603610570970605,0.48020833333333335
0.55,16,48,3.9375,fixed_associative,5,30,0.6880208333333333,0.03230527846224191,0.6916666666666667
0.55,16,48,3.9375,fixed_routing,5,30,0.5424479166666667,0.029352646866222496,0.5463541666666667
0.55,16,48,3.9375,matched_probe_random,5,30,0.6341145833333334,0.05125394771205827,0.6510416666666666
0.55,16,48,3.9375,oracle_hidden_train_map,5,30,0.6880208333333333,0.03230527846224191,0.6916666666666667
0.55,16,48,3.9375,reward_only_local,5,30,0.64453125,0.04065969589348723,0.671875
0.55,16,48,3.9375,train_fixed_best,5,30,0.5716145833333334,0.06972887974976084,0.5723958333333333
0.55,24,8,1.9375,associative_query_shuffled,5,30,0.5013020833333334,0.04911508708039953,0.5026041666666666
0.55,24,8,1.9375,fixed_associative,5,30,0.7609375,0.03473314603069604,0.7630208333333334
0.55,24,8,1.9375,fixed_routing,5,30,0.5479166666666667,0.03431453668871137,0.5385416666666667
0.55,24,8,1.9375,matched_probe_random,5,30,0.6294270833333333,0.06812890902129927,0.6083333333333333
0.55,24,8,1.9375,oracle_hidden_train_map,5,30,0.7609375,0.03473314603069604,0.7630208333333334
0.55,24,8,1.9375,reward_only_local,5,30,0.7067708333333333,0.03610771471280909,0.7630208333333334
0.55,24,8,1.9375,train_fixed_best,5,30,0.5901041666666667,0.09514792296719495,0.5796875
0.55,24,24,2.9375,associative_query_shuffled,5,30,0.5104166666666666,0.047203114090969216,0.5114583333333333
0.55,24,24,2.9375,fixed_associative,5,30,0.7153645833333333,0.05376309755050926,0.71875
0.55,24,24,2.9375,fixed_routing,5,30,0.5653645833333333,0.03933008208104119,0.5651041666666666
0.55,24,24,2.9375,matched_probe_random,5,30,0.64453125,0.05269819360637516,0.6536458333333334
0.55,24,24,2.9375,oracle_hidden_train_map,5,30,0.7153645833333333,0.05376309755050926,0.71875
0.55,24,24,2.9375,reward_only_local,5,30,0.6729166666666667,0.04995002441377563,0.7104166666666667
0.55,24,24,2.9375,train_fixed_best,5,30,0.5903645833333333,0.07214982518762526,0.5859375
0.55,24,48,4.4375,associative_query_shuffled,5,30,0.5143229166666666,0.053188481552527006,0.5078125
0.55,24,48,4.4375,fixed_associative,5,30,0.68359375,0.03628312528567089,0.68125
0.55,24,48,4.4375,fixed_routing,5,30,0.54765625,0.04231352902660503,0.5390625
0.55,24,48,4.4375,matched_probe_random,5,30,0.6200520833333333,0.05797475967624774,0.6182291666666667
0.55,24,48,4.4375,oracle_hidden_train_map,5,30,0.68359375,0.03628312528567089,0.68125
0.55,24,48,4.4375,reward_only_local,5,30,0.6346354166666667,0.05407536617713367,0.6473958333333333
0.55,24,48,4.4375,train_fixed_best,5,30,0.5729166666666666,0.06531037744722387,0.5708333333333333
0.9500000000000001,8,8,0.9375,associative_query_shuffled,5,30,0.5,0.04564662040875949,0.4895833333333333
0.9500000000000001,8,8,0.9375,fixed_associative,5,30,0.84375,0.02374971642298943,0.8328125
