metric,statistics_unit,n,mean,std,min,max
routing_utility,outer_seed,30,0.6314437984496125,0.01721126789192206,0.6051356589147286,0.6768410852713178
gain_utility,outer_seed,30,0.5376453488372093,0.0158366074794361,0.5072674418604651,0.563468992248062
low_rank_utility,outer_seed,30,0.7499192506459947,0.018467955511441887,0.7180232558139535,0.7870639534883721
fixed_best_utility,outer_seed,30,0.7499192506459947,0.018467955511441887,0.7180232558139535,0.7870639534883721
oracle_utility,outer_seed,30,0.8668846899224808,0.01091530795422408,0.838420542635659,0.8844476744186046
gru_bptt_utility,outer_seed,30,0.8581960594315245,0.013188849287234251,0.8304263565891472,0.8810562015503877
local_three_factor_utility,outer_seed,30,0.8580022609819121,0.014225307869783954,0.8241279069767442,0.8810562015503877
local_minus_fixed_best,outer_seed,30,0.10808301033591734,0.01756188507990177,0.07485465116279069,0.14171511627906977
oracle_minus_fixed_best,outer_seed,30,0.11696543927648581,0.016727530766185647,0.0874515503875969,0.1509205426356589
local_noninferiority_contrast,outer_seed,30,0.014510658914728676,0.006618768990406606,-0.000532945736434115,0.025872093023255813
local_selection_accuracy,outer_seed,30,0.9147286821705428,0.03418620107724815,0.8604651162790697,0.9767441860465116
gru_selection_accuracy,outer_seed,30,0.9155038759689924,0.03316162734295727,0.8372093023255814,0.9767441860465116
local_update_l1,outer_seed,30,17032.259948061193,152.9187490183123,16734.33842609603,17331.46473530477
local_update_l2,outer_seed,30,16.142592268746153,0.10202733687810725,15.915588365403059,16.3152748046264
gru_update_l1,outer_seed,30,420.6328909691534,21.91120207866131,381.64560281758526,465.5172595833672
gru_update_l2,outer_seed,30,2.1885806681221616,0.08073713872048839,2.0323463932107044,2.383567894200618
