seed,method,event_index,sequence_id,cell,window,n_samples,nll,latent_mse
43006,learned_event_learned_qr,58,0,011,1,1,1.0953363756928116,0.03495327638560742
43006,learned_event_learned_qr,58,0,011,4,4,0.6421204176932929,0.017755758935115586
43006,learned_event_learned_qr,58,0,011,8,8,0.5948980335743286,0.018193197225299034
43006,learned_event_learned_qr,58,0,011,16,16,0.8238762605514971,0.04365598598703603
43006,learned_event_learned_qr,141,0,101,1,1,0.49627933256448603,0.0672999189391886
43006,learned_event_learned_qr,141,0,101,4,4,0.38603007802023104,0.10513007248876413
43006,learned_event_learned_qr,141,0,101,8,8,0.99617150346698,0.16854770493792645
43006,learned_event_learned_qr,141,0,101,16,14,0.7980348094691128,0.12386924107176542
43006,learned_event_learned_qr,156,0,101,1,1,2.164047030244103,1.4245963344692445e-07
43006,learned_event_learned_qr,156,0,101,4,3,1.1491719376093392,0.015999016542740142
43006,learned_event_learned_qr,156,0,101,8,3,1.1491719376093392,0.015999016542740142
43006,learned_event_learned_qr,156,0,101,16,3,1.1491719376093392,0.015999016542740142
43006,learned_event_learned_qr,160,0,101,1,1,0.8686507455328537,0.1435627880877802
43006,learned_event_learned_qr,160,0,101,4,4,1.1541495075514554,0.0663243060008241
43006,learned_event_learned_qr,160,0,101,8,8,0.8675822880619831,0.054904216911214394
43006,learned_event_learned_qr,160,0,101,16,9,0.8464721628958071,0.05002321777355607
43006,learned_event_learned_qr,170,0,101,1,1,2.5442233183050673,0.022476356550354636
43006,learned_event_learned_qr,170,0,101,4,4,1.1436056880405963,0.018729110073602683
43006,learned_event_learned_qr,170,0,101,8,8,0.9785205454814605,0.02479437939489381
43006,learned_event_learned_qr,170,0,101,16,15,0.817682856913746,0.03642659909735212
43006,learned_event_learned_qr,186,0,101,1,1,0.397208051297249,0.31202305595328683
43006,learned_event_learned_qr,186,0,101,4,2,1.7353833175893103,0.1622825170551092
43006,learned_event_learned_qr,186,0,101,8,2,1.7353833175893103,0.1622825170551092
43006,learned_event_learned_qr,186,0,101,16,2,1.7353833175893103,0.1622825170551092
43006,learned_event_learned_qr,189,0,101,1,1,0.9007502606643395,0.02340470081353617
43006,learned_event_learned_qr,189,0,101,4,4,0.8086523323262231,0.05920306038867119
43006,learned_event_learned_qr,189,0,101,8,8,0.7459176048511256,0.04031598000283682
43006,learned_event_learned_qr,189,0,101,16,10,0.7137607955708952,0.03345402968415197
43006,learned_event_learned_qr,200,0,101,1,1,1.2993450989325857,0.006647441998552932
43006,learned_event_learned_qr,200,0,101,4,2,0.9167984001377596,0.017603767556301213
43006,learned_event_learned_qr,200,0,101,8,2,0.9167984001377596,0.017603767556301213
43006,learned_event_learned_qr,200,0,101,16,2,0.9167984001377596,0.017603767556301213
43006,learned_event_learned_qr,203,0,101,1,1,1.2470645777440434,0.2116320757091916
43006,learned_event_learned_qr,203,0,101,4,4,0.7515090582571028,0.09902129203195721
43006,learned_event_learned_qr,203,0,101,8,8,0.6484894517541867,0.09854632321104106
43006,learned_event_learned_qr,203,0,101,16,16,0.6405716048952589,0.06275991135535648
43006,learned_event_learned_qr,231,0,101,1,1,0.7461873894423371,0.03363462364826247
43006,learned_event_learned_qr,231,0,101,4,4,0.6716506054068719,0.01389096261434636
