candidate_type,retention,window_frames,natural_accuracy,hidden_accuracy,post_switch_accuracy,natural_accuracy_loss,eligible,selected
fixed_forgetting,0.0,,0.7358310508021031,0.7352607709750567,0.7240437158469945,0.0,True,False
fixed_forgetting,0.25,,0.751412825350048,0.7485827664399093,0.7377049180327868,-0.01558177454794496,True,False
fixed_forgetting,0.5,,0.7597111023345667,0.7497165532879818,0.7206284153005463,-0.023880051532463642,True,True
fixed_forgetting,0.7,,0.7732609335244253,0.7400793650793652,0.6810109289617488,-0.03742988272232217,True,False
fixed_forgetting,0.85,,0.7854013354433206,0.6927437641723355,0.546448087431694,-0.04957028464121749,True,False
fixed_forgetting,0.93,,0.7958038773280001,0.592687074829932,0.31898907103825136,-0.05997282652589697,True,False
fixed_forgetting,0.97,,0.8025203212154967,0.4478458049886621,0.12704918032786885,-0.06668927041339356,True,False
fixed_forgetting,0.99,,0.8015285892400554,0.32142857142857145,0.05396174863387978,-0.06569753843795234,True,False
fixed_forgetting,1.0,,0.7997491737701637,0.22108843537414966,0.03620218579234973,-0.06391812296806065,True,False
sliding_window,,2.0,0.7532863744436684,0.7443310657596373,0.7172131147540983,-0.017455323641565323,True,True
sliding_window,,4.0,0.763693440571599,0.729591836734694,0.671448087431694,-0.027862389769495954,True,False
sliding_window,,8.0,0.7775462779541881,0.6947278911564626,0.5710382513661202,-0.04171522715208498,True,False
sliding_window,,16.0,0.7904669381486424,0.6071428571428571,0.3271857923497268,-0.05463588734653935,True,False
sliding_window,,32.0,0.7967004753345606,0.4095804988662132,0.07923497267759563,-0.06086942453245747,True,False
