candidate_index,retention_floor,retention_ceiling,bias,surprise_weight,entropy_weight,disagreement_weight,fast_retention,slow_retention,evidence_weight_floor,epsilon,natural_accuracy,natural_accuracy_loss,hidden_accuracy,post_switch_accuracy,reachability_auc,reachability_recall,false_alarms_per_1000,median_delay,mean_retention,eligible,selected
0,0.0,0.93,0.5,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7525575635483577,0.007153538786209057,0.7511337868480725,0.7363387978142076,0.5099454269330259,0.2459016393442623,19.172962872694775,3.5,0.3563878012784924,True,False
1,0.0,0.93,0.5,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7557703627119714,0.003940739622595335,0.7497165532879817,0.733606557377049,0.8228184561081615,0.0,0.0,,0.3593816797753269,False,False
2,0.0,0.93,0.5,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7547030976879395,0.005008004646627207,0.7502834467120182,0.733606557377049,0.7528218055520058,0.0,7.067999025103583,,0.3546350705803677,False,False
3,0.0,0.93,0.5,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7535937187511796,0.006117383583387093,0.7502834467120181,0.733606557377049,0.7049994148561959,0.0,7.067999025103583,,0.3541987073265109,False,False
4,0.0,0.93,0.25,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7543626776705092,0.005348424664057494,0.7491496598639455,0.7274590163934426,0.5099454269330259,0.4426229508196721,33.55268502721586,3.5,0.4096144689192038,True,False
5,0.0,0.93,0.25,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7575610610487223,0.002150041285844395,0.7502834467120181,0.7342896174863388,0.8228184561081615,0.09836065573770492,31.92785766512308,0.0,0.41310235108366183,False,False
6,0.0,0.93,0.25,0.25,0.0,0.25,0.5,0.98,1.0,1e-12,0.7563097991116784,0.003401303222888341,0.7511337868480726,0.7329234972677596,0.7528218055520058,0.06557377049180328,27.540823787472583,0.0,0.40914039178363204,False,False
7,0.0,0.93,0.25,0.2,0.1,0.2,0.5,0.98,1.0,1e-12,0.7559856940598215,0.003725408274745212,0.7517006802721088,0.7342896174863388,0.7049994148561959,0.09016393442622951,24.291169063287025,0.0,0.4088563134214609,False,False
8,0.0,0.93,-0.0,0.5,0.0,0.0,0.5,0.98,1.0,1e-12,0.7563329117019953,0.0033781906325713873,0.7471655328798187,0.7199453551912568,0.5099454269330259,0.5409836065573771,43.951580144609636,2.0,0.4643358801774994,True,False
9,0.0,0.93,-0.0,0.0,0.0,0.5,0.5,0.98,1.0,1e-12,0.7592989857335404,0.0004121166010263577,0.7514172335600907,0.7322404371584699,0.8228184561081615,0.21311475409836064,14.54220489073036,0.0,0.46797789837363896,True,True
