memory_demand,actuator_mode,n_seeds,mean_score,sd_score,mean_sign_accuracy
0.0,associative,5,-1.0808838926357196,0.1635024596938048,0.478125
0.0,associative_shuffled,5,-1.023336515084042,0.22891129671885826,0.49375
0.0,combined,5,0.9978066991304395,0.0001457111184128782,1.0
0.0,fixed_best,5,0.2048867844158818,1.085896572874836,0.8015625
0.0,frozen,5,-0.0005293796501492002,0.007400645337433365,0.475
0.0,low_rank,5,-1.1323485818411867,0.2564571976757095,0.46875
0.0,matched,5,0.9978066991304395,0.0001457111184128782,1.0
0.0,routing,5,0.9978066991304395,0.0001457111184128782,1.0
0.25,associative,5,-0.0402134360092246,0.09098887026720692,0.478125
0.25,associative_shuffled,5,-0.9870601660615529,0.17751982108802547,0.49375
0.25,combined,5,0.9977907289075176,0.000207050008099879,1.0
0.25,fixed_best,5,0.43192342278925844,0.3877035673219652,0.8015625
0.25,frozen,5,0.0317431058741668,0.05428616072014551,0.475
0.25,low_rank,5,-0.6276788151797092,0.17303708045892546,0.46875
0.25,matched,5,0.7232187378655588,0.01793388894341924,1.0
0.25,routing,5,0.7232187378655588,0.01793388894341924,1.0
0.75,associative,5,0.7236420956717571,0.015018147975955399,1.0
0.75,associative_shuffled,5,-0.983270082527915,0.1361429284574534,0.5
0.75,combined,5,0.9977870861284505,0.00020717023433653632,1.0
0.75,fixed_best,5,0.2406078074590508,0.45379059207326916,0.6765625
0.75,frozen,5,0.029673013710257202,0.05053813862585708,0.471875
0.75,low_rank,5,-0.23445907533065383,0.09052516415199394,0.671875
0.75,matched,5,0.7236420956717571,0.015018147975955399,1.0
0.75,routing,5,-0.043918658146023,0.09869911216467206,0.478125
1.0,associative,5,0.997796363651387,0.00014711332221983907,1.0
1.0,associative_shuffled,5,-1.0087554894688593,0.19788759091384597,0.5
1.0,combined,5,0.997796363651387,0.00014711332221983907,1.0
1.0,fixed_best,5,-0.3068861684108414,1.1995504412463742,0.6765625
1.0,frozen,5,-0.006623995475967601,0.013378810626102865,0.471875
1.0,low_rank,5,-0.06357191225575862,0.06988519504109782,0.671875
1.0,matched,5,0.997796363651387,0.00014711332221983907,1.0
1.0,routing,5,-1.0938995667871463,0.18280211786566697,0.478125
