experiment,profile,dataset_pair,stats_unit,biological_unit_count,biological_inference_allowed,analysis_fingerprint,data_fingerprint,computational_seed,configured_seed_universe,unit_subset_sha256,n_units,fold,purge,fold_provenance,latent_dim,model,family,basis_control,status,error_type,error_message,marginal_log_likelihood,nll_per_scalar,likelihood_coordinate,standardized_marginal_log_likelihood,standardized_nll_per_scalar,one_step_r2,rollout_nrmse,prediction_metric_coordinate,parameter_count,effective_rank,subspace_angle_degrees,n_observations,n_sequences,top_k,top_k_singular_energy,selected_unit_count,train_preprocessing_timepoints,elapsed_seconds
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,common,common,aligned,complete,,,104616.55509250367,-0.24865130412539851,original_selected_units,-607934.1340221015,1.4449301557796375,-0.0025724450192328163,1.025732406322879,train_standardized_selected_units,514,1.0,0.0,3287,2,1,1.0,128,6571,0.6671351169934496
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,shared,shared,aligned,complete,,,104470.89347562473,-0.24830509743788204,original_selected_units,-608079.7956389805,1.4452763624671539,-0.0040700716533470516,1.0266845631295465,train_standardized_selected_units,517,1.0,0.0,3287,2,1,1.0,128,6571,0.6884404779993929
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,separate,separate,aligned,complete,,,95224.98122843704,-0.22632953022426663,original_selected_units,-617325.7078861682,1.4672519296807693,-0.0045248035610481185,1.0268594140260126,train_standardized_selected_units,900,1.0,64.39844315099474,3287,2,1,1.0,128,6571,0.7424640349927358
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,random,shared,random,complete,,,104108.37603328901,-0.24744347056892924,original_selected_units,-608442.3130813162,1.4461379893361066,-0.0038890303515659586,1.02572988099974,train_standardized_selected_units,390,1.0,0.0,3287,2,1,1.0,128,6571,0.6163400090299547
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,orthogonal,shared,orthogonal,complete,,,103779.27315070329,-0.24666126300269833,original_selected_units,-608771.4159639019,1.4469201969023375,-0.0037472372427536094,1.0258895175852856,train_standardized_selected_units,517,1.0,0.0,3287,2,1,1.0,128,6571,0.6644506590091623
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",1,shuffled,shared,shuffled,complete,,,104360.12914648734,-0.24804183418221246,original_selected_units,-608190.5599681179,1.4455396257228235,-0.004229016751493342,1.0261447676758544,train_standardized_selected_units,517,1.0,0.0,3287,2,1,1.0,128,6571,0.665716418006923
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,common,common,aligned,complete,,,103877.77884298516,-0.246895390085434,original_selected_units,-608672.91027162,1.446686069819602,-0.002219111259124551,1.0257329479363972,train_standardized_selected_units,645,1.9061107753329303,0.0,3287,2,2,1.0,128,6571,0.706308459979482
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,shared,shared,aligned,complete,,,103719.52613281494,-0.2465192570467346,original_selected_units,-608831.1629817903,1.4470622028583013,-0.004068499274065607,1.0268411572677805,train_standardized_selected_units,653,1.6026469585299017,0.0,3287,2,2,1.0,128,6571,0.6971046749968082
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,separate,separate,aligned,complete,,,94977.76433228154,-0.22574194823424082,original_selected_units,-617572.9247823237,1.4678395116707952,-0.004303239239676682,1.0268598836263123,train_standardized_selected_units,1162,1.6200909163850865,89.97677502850354,3287,2,2,1.0,128,6571,0.688643786998
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,random,shared,random,complete,,,103616.36089702777,-0.24627405521996637,original_selected_units,-608934.3282175774,1.4473074046850696,-0.0039188725624090814,1.0257614458222037,train_standardized_selected_units,400,1.418376624738472,0.0,3287,2,2,1.0,128,6571,0.6146182399825193
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,orthogonal,shared,orthogonal,complete,,,103684.66646686778,-0.24643640303389247,original_selected_units,-608866.0226477374,1.4471450568711435,-0.003751863963068036,1.0258069845354938,train_standardized_selected_units,653,1.909232235376013,0.0,3287,2,2,1.0,128,6571,0.6913909200229682
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",2,shuffled,shared,shuffled,complete,,,103984.34966404235,-0.24714868626417125,original_selected_units,-608566.3394505628,1.4464327736408646,-0.004219700483659938,1.0261464839615884,train_standardized_selected_units,653,1.772582432530449,0.0,3287,2,2,1.0,128,6571,0.684631509007886
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",4,common,common,aligned,complete,,,103041.6511724795,-0.24490809242013875,original_selected_units,-609509.0379421257,1.4486733674848973,-0.0019919336845741764,1.0257334095045296,train_standardized_selected_units,910,3.685950770283217,0.0,3287,2,4,1.0,128,6571,0.7218744229758158
visual_context_shared_lds,formal,visual_responding__visual_spontaneous,recording_pair,1,False,a22062f9bfdb67fa59b7fa12cd9765583b5d11b073a1abdd6b722b38b6032a35,86cdca0dfb8317686a405ef5dfe5eb2f459b448d83c0b8de0f76f04d1240fbe4,13,"[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]",6698d0d6b078c5806add5fce847d69232def4d418f3ca78502615b8f9a7c6a41,128,0,2,"{""visual_responding"":{""test_start"":0,""test_stop_exclusive"":1722,""test_timepoints"":1722,""train_segments"":[[1724,5166]],""train_timepoints"":3442},""visual_spontaneous"":{""test_start"":0,""test_stop_exclusive"":1565,""test_timepoints"":1565,""train_segments"":[[1567,4696]],""train_timepoints"":3129}}",4,shared,shared,aligned,complete,,,102901.90265697904,-0.2445759399171429,original_selected_units,-609648.7864576261,1.449005519987893,-0.0037340277062114513,1.0269161793911603,train_standardized_selected_units,934,3.1330928321684697,0.0,3287,2,4,1.0,128,6571,0.7231850730022416
