seed,bh,bq,br,ood_nll,triple_nll
39000,0.002,0.05,0.05,0.9454602971530447,1.094923361294355
39000,0.002,0.05,0.2,0.9244912891555511,1.1098319793121347
39000,0.002,0.05,0.5,0.9556117450970357,1.1533290629474855
39000,0.002,0.2,0.05,0.9251755500066573,1.0899122318176744
39000,0.002,0.2,0.2,0.8863951841306618,1.0651212376034482
39000,0.002,0.2,0.5,0.9028787550640519,1.0903462904718975
39000,0.002,0.5,0.05,0.9182912117951677,1.0831143118456217
39000,0.002,0.5,0.2,0.8743063824765637,1.049509777238491
39000,0.002,0.5,0.5,0.8871122627007146,1.0641402438208367
39000,0.01,0.05,0.05,0.9513555841084482,1.1087565070092993
39000,0.01,0.05,0.2,0.9264991458860258,1.1078956166413878
39000,0.01,0.05,0.5,0.9570176603059063,1.1511771610924135
39000,0.01,0.2,0.05,0.9280221849807019,1.084881734130006
39000,0.01,0.2,0.2,0.8845012622106877,1.0563684123328574
39000,0.01,0.2,0.5,0.9004138320982237,1.0861785581189556
39000,0.01,0.5,0.05,0.9152573418910809,1.0717565007630856
39000,0.01,0.5,0.2,0.8684601361816965,1.0370056617171066
39000,0.01,0.5,0.5,0.883439775704668,1.0589340794626179
39000,0.05,0.05,0.05,0.9587658535721442,1.1091435067567545
39000,0.05,0.05,0.2,0.938712537498974,1.115458787213328
39000,0.05,0.05,0.5,0.9655650578412859,1.160137608966166
39000,0.05,0.2,0.05,0.9433620899943991,1.100347364862955
39000,0.05,0.2,0.2,0.8967914287163752,1.0833684970110475
39000,0.05,0.2,0.5,0.9081925535106397,1.109993370575367
39000,0.05,0.5,0.05,0.9292149152749211,1.090605704588224
39000,0.05,0.5,0.2,0.8755938185232477,1.0635783319781735
39000,0.05,0.5,0.5,0.8926124376974357,1.08291327124432
39000,0.2,0.05,0.05,0.9913861216727505,1.1433621085086794
39000,0.2,0.05,0.2,0.9738305805142705,1.1609675213268413
39000,0.2,0.05,0.5,0.9979521043804255,1.1982170246993686
39000,0.2,0.2,0.05,0.9691017208007975,1.130300860170208
39000,0.2,0.2,0.2,0.9225566254646348,1.1240228497002511
39000,0.2,0.2,0.5,0.9321734272301119,1.1475943357613845
39000,0.2,0.5,0.05,0.9585771004535868,1.1230236848806443
39000,0.2,0.5,0.2,0.903070737976396,1.1051014722969112
39000,0.2,0.5,0.5,0.912548039352278,1.1193016548762647
39001,0.002,0.05,0.05,0.9107464977307661,1.246848377081321
39001,0.002,0.05,0.2,0.9221901704077698,1.2685722390162184
39001,0.002,0.05,0.5,0.9589986033326369,1.2894642635556333
39001,0.002,0.2,0.05,0.907087381917958,1.231543445233827
39001,0.002,0.2,0.2,0.8990349207417245,1.2101607014288822
39001,0.002,0.2,0.5,0.9125243737269808,1.2050421521010704
39001,0.002,0.5,0.05,0.9132152179685519,1.231919815084235
39001,0.002,0.5,0.2,0.8834253567686821,1.1880556965972289
39001,0.002,0.5,0.5,0.8954441817912858,1.186688469494979
39001,0.01,0.05,0.05,0.9056315347194209,1.2244258458286803
39001,0.01,0.05,0.2,0.9147407089760199,1.2484724162784044
39001,0.01,0.05,0.5,0.9494989679814049,1.2643519494378332
39001,0.01,0.2,0.05,0.902409322406561,1.2121671054071232
39001,0.01,0.2,0.2,0.8908841810774327,1.1918023786810583
39001,0.01,0.2,0.5,0.9043522370801177,1.186728147983117
39001,0.01,0.5,0.05,0.9061808904055934,1.2120712791416228
39001,0.01,0.5,0.2,0.8754864083267084,1.1716121061373466
39001,0.01,0.5,0.5,0.8887716270216283,1.169486823101322
39001,0.05,0.05,0.05,0.9140290008700553,1.2203339522105405
39001,0.05,0.05,0.2,0.9229973875267268,1.2563651575463404
