seed,run_path,run_status,condition_failures,condition_invalid,checkout_policy,archived_reanalysis,run_git_commit,run_git_tree,current_git_commit,current_git_tree,current_checkout_matches_run,current_checkout_reproducibility_claimed,run_path_semantics
32019,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32019/20260718T092108.265433Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32020,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32020/20260718T092110.193767Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32021,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32021/20260718T092110.313139Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32022,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32022/20260718T092110.385714Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32023,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32023/20260718T092110.273293Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32024,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32024/20260718T092158.933600Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32025,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32025/20260718T092200.897669Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32026,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32026/20260718T092204.416599Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32027,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32027/20260718T092204.421774Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32028,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32028/20260718T092206.073281Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
32029,/home/spco/sow_linear/exp32_phase_v2_formal_20260718_49aaaf3/runs/exp32_persistent_sparse_feedback/seed_32029/20260718T092206.065642Z_exp32_phase_v2_formal,complete,0,0,live,False,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,49aaaf3d32ac8b5e95cf5ee89726aaf359766eec,20905bfa7691a04decb1960911751ed3ee6e5fd2,True,True,informational_source_location_not_portable
