seed,selection_family,candidate_family,candidate,predictive_variance,selection_nll,candidate_h,candidate_q,candidate_r,selected
39109,fixed,ema,0.02,1.5512447023445024,2.023948413225513,,,,False
39109,fixed,ema,0.05,0.9297821917740432,1.5640402193271647,,,,False
39109,fixed,ema,0.1,0.6300727105998621,1.2383140963216723,,,,False
39109,fixed,ema,0.2,0.4139858058010632,0.961119061344728,,,,False
39109,fixed,ema,0.4,0.2852338827898009,0.7407211140846405,,,,False
39109,fixed,ema,0.7,0.24244546796381528,0.6466384402569761,,,,False
39109,fixed,window,2,0.26284668562311686,0.6757245503278385,,,,False
39109,fixed,window,4,0.3316749026442602,0.7963511030425362,,,,False
39109,fixed,window,8,0.4691690836462466,0.998098547753143,,,,False
39109,fixed,window,16,0.7288213142426612,1.2431463609881126,,,,False
39109,fixed,window,32,1.0664708307695216,1.5362222832232006,,,,False
39109,fixed,window,64,1.4308092959849097,1.903193024426909,,,,False
39109,fixed,fixed_jump,0.0025:0.0025:0.01,,0.8298091976453298,0.0025,0.0025,0.01,False
39109,fixed,fixed_jump,0.0025:0.0025:0.04,,0.3213496598259395,0.0025,0.0025,0.04,False
39109,fixed,fixed_jump,0.0025:0.0025:0.16,,0.4427082073942203,0.0025,0.0025,0.16,False
39109,fixed,fixed_jump,0.0025:0.01:0.01,,0.5577235404923903,0.0025,0.01,0.01,False
39109,fixed,fixed_jump,0.0025:0.01:0.04,,0.2448540460647727,0.0025,0.01,0.04,False
39109,fixed,fixed_jump,0.0025:0.01:0.16,,0.4198702516607718,0.0025,0.01,0.16,False
39109,fixed,fixed_jump,0.0025:0.04:0.01,,0.35222406396137423,0.0025,0.04,0.01,False
39109,fixed,fixed_jump,0.0025:0.04:0.04,,0.2735340755442964,0.0025,0.04,0.04,False
39109,fixed,fixed_jump,0.0025:0.04:0.16,,0.47745866883248383,0.0025,0.04,0.16,False
39109,fixed,fixed_jump,0.01:0.0025:0.01,,0.7040144474737277,0.01,0.0025,0.01,False
39109,fixed,fixed_jump,0.01:0.0025:0.04,,0.2898904707732962,0.01,0.0025,0.04,False
39109,fixed,fixed_jump,0.01:0.0025:0.16,,0.42343356625605555,0.01,0.0025,0.16,False
39109,fixed,fixed_jump,0.01:0.01:0.01,,0.4862914151518771,0.01,0.01,0.01,False
39109,fixed,fixed_jump,0.01:0.01:0.04,,0.23386065777854456,0.01,0.01,0.04,False
39109,fixed,fixed_jump,0.01:0.01:0.16,,0.4127907220973694,0.01,0.01,0.16,False
39109,fixed,fixed_jump,0.01:0.04:0.01,,0.3211184105827464,0.01,0.04,0.01,False
39109,fixed,fixed_jump,0.01:0.04:0.04,,0.26587662821882607,0.01,0.04,0.04,False
39109,fixed,fixed_jump,0.01:0.04:0.16,,0.47276184005971805,0.01,0.04,0.16,False
39109,fixed,fixed_jump,0.03:0.0025:0.01,,0.5996303242943213,0.03,0.0025,0.01,False
39109,fixed,fixed_jump,0.03:0.0025:0.04,,0.270754698013882,0.03,0.0025,0.04,False
39109,fixed,fixed_jump,0.03:0.0025:0.16,,0.41903680363213747,0.03,0.0025,0.16,False
39109,fixed,fixed_jump,0.03:0.01:0.01,,0.4261692918349956,0.03,0.01,0.01,False
39109,fixed,fixed_jump,0.03:0.01:0.04,,0.23214901942649555,0.03,0.01,0.04,True
39109,fixed,fixed_jump,0.03:0.01:0.16,,0.41898959794606094,0.03,0.01,0.16,False
39109,fixed,fixed_jump,0.03:0.04:0.01,,0.30139988149028785,0.03,0.04,0.01,False
39109,fixed,fixed_jump,0.03:0.04:0.04,,0.2704076075767386,0.03,0.04,0.04,False
39109,fixed,fixed_jump,0.03:0.04:0.16,,0.48108098902215807,0.03,0.04,0.16,False
39109,fixed,fixed_jump,0.06:0.0025:0.01,,0.5385687119725245,0.06,0.0025,0.01,False
39109,fixed,fixed_jump,0.06:0.0025:0.04,,0.26969050045816517,0.06,0.0025,0.04,False
39109,fixed,fixed_jump,0.06:0.0025:0.16,,0.4328708232345244,0.06,0.0025,0.16,False
