seed,method,sequence_id,block_id,cell,h_high,q_high,r_high,heldout_composition,n_steps,mean_nll,latent_mse,early_nll,late_nll,mean_h_estimate,mean_q_estimate,mean_r_estimate,true_h,true_q,true_r,jump_count,test_tape_digest
39125,selected_fixed,0,0,110,1,1,0,True,96,0.4231044159571305,0.024613005984244124,0.5235685298427624,0.2447229854299596,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,1,101,1,0,1,True,96,1.3169850659367133,0.08906135793708948,1.7705210393654145,0.7355626492844582,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,9,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,2,011,0,1,1,True,96,1.102242257611547,0.09831174005777595,1.1026017702860038,1.3799511425309916,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,3,100,1,0,0,False,96,-0.1967502528596707,0.004988074486745691,-0.3118518589932292,-0.2084147626186451,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,4,111,1,1,1,True,96,1.6537629991435772,0.11242488709747832,1.813945622517426,0.7051573398922708,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,7,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,5,000,0,0,0,False,96,-0.29427421178107466,0.00483981918898612,-0.28294215392668143,-0.3118872196656561,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,6,010,0,1,0,False,96,0.01949050780961598,0.017664154896476502,-0.07189184117516108,-0.09988617749570443,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,7,001,0,0,1,False,96,1.0401877746677624,0.1049745178100503,1.1742389619933702,0.6057665699400557,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,8,011,0,1,1,True,96,1.4913617116198565,0.08873544381536665,1.4826944130129223,1.592475699284239,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,9,100,1,0,0,False,96,0.007778366688730938,0.006514733235065996,0.46687311851474494,0.12805126828505942,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,10,111,1,1,1,True,96,1.4980538610517724,0.14684327861570548,1.2102738837828162,0.8918075680644381,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,7,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,11,101,1,0,1,True,96,1.1435489582644365,0.06335859204799259,1.3105795804780824,0.35665322614799294,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,12,000,0,0,0,False,96,-0.21631511288778785,0.005780332087443957,-0.18906731037276103,0.05786391112879391,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,13,001,0,0,1,False,96,1.2590849819709533,0.12878519000149416,1.7081717981987028,1.6062020416642464,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,14,110,1,1,0,True,96,0.5689255178411221,0.02470308550281977,0.02471326584304505,0.2645740484817274,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,10,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,0,15,010,0,1,0,False,96,0.0694926411345152,0.026876618549803822,-0.11600845364122304,0.0691379583207343,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,16,110,1,1,0,True,96,0.7032838565831789,0.020237802087692807,1.1527238725420959,0.39596111814708534,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,9,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,17,011,0,1,1,True,96,1.0859473610473154,0.09207023733307158,1.1051285041564667,0.7734632387500178,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,18,010,0,1,0,False,96,0.22955576258986218,0.021778263574922175,-0.06728127330420662,0.08600528174892558,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,19,000,0,0,0,False,96,-0.28670841514935996,0.0034772227164884886,-0.3042741104230897,-0.32781934707338756,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,20,101,1,0,1,True,96,1.1054888583575426,0.07078535584285146,0.8251508983571512,2.005411577411633,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,21,111,1,1,1,True,96,1.3210388362771892,0.07636910857490188,1.3460219481420186,0.9662993897977397,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,10,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,22,100,1,0,0,False,96,-0.026838958521335696,0.007680626192318495,0.11751557789335312,0.09743917933897575,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,23,001,0,0,1,False,96,1.3952842890381099,0.12019472035297508,0.4423992328139116,1.3910434402090004,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,24,110,1,1,0,True,96,0.2658848727644794,0.019759840886810164,0.4828270025986467,0.5309914923736494,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,3,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,25,011,0,1,1,True,96,1.1582163314595988,0.08995545562962964,1.538715343765826,1.541179693402844,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,26,101,1,0,1,True,96,1.3663081100889014,0.09952620207502676,1.266520703717462,1.6841200919666155,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,27,010,0,1,0,False,96,0.14714224662709063,0.022415934591509812,0.21412907926101324,0.13681607393775258,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,28,111,1,1,1,True,96,1.5753273266607704,0.09960249156857039,1.9402126918101912,1.0722178493900933,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,5,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,29,000,0,0,0,False,96,-0.2992641211960807,0.002895449413595446,-0.3006798365498088,-0.30563050005299985,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,30,100,1,0,0,False,96,-0.041602665072245755,0.006285675787817839,0.8719619866623693,-0.2931508855568996,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,1,31,001,0,0,1,False,96,1.0008534661933532,0.08738498186399524,0.8557326367365076,0.8230472500096865,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,32,110,1,1,0,True,96,0.2833965578139644,0.019380582352183994,0.6172276420407007,0.3370038691737456,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,33,001,0,0,1,False,96,0.7887091833863941,0.07637268101187022,1.3806202378981154,0.7516369643264635,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,34,011,0,1,1,True,96,1.1489763961702477,0.08133453398679183,1.0877191377943674,1.0491995952237911,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,35,100,1,0,0,False,96,-0.07231503103668098,0.004460656551124553,-0.17161239011862262,0.23370965312360417,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,4,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,36,111,1,1,1,True,96,1.7002006662857472,0.09072153845510489,1.238059917324456,2.384160137573228,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,37,101,1,0,1,True,96,1.4453896185702846,0.07985487556795921,1.250744267523731,1.7252905922338193,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,13,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,38,000,0,0,0,False,96,-0.27923768377521324,0.004316493190206122,-0.25227091975442273,-0.3157077510516825,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,39,010,0,1,0,False,96,0.04307809808207932,0.017979981389845127,0.005929077932762497,0.601080522258802,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,40,110,1,1,0,True,96,0.46156651077536726,0.02411956078153406,0.49734108430316104,0.25493726428532704,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.01,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,41,000,0,0,0,False,96,-0.13777903702621744,0.005356552685437399,0.5385219619934158,-0.19899672017522596,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.01,2,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,42,100,1,0,0,False,96,-0.02813669662407456,0.002878290727750397,-0.270004494817206,-0.27939120852917243,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,4,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,43,011,0,1,1,True,96,1.3973755420816616,0.10706724928923157,1.503938441156357,1.6163803667176269,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,44,001,0,0,1,False,96,1.1209091231822328,0.09233997030406989,1.2251095776613385,1.112784111075385,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.0025,0.16,0,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,45,010,0,1,0,False,96,0.2079669976193561,0.026556732418474394,0.09064280892099502,0.2501476453318909,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.0025,0.04,0.01,1,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,46,101,1,0,1,True,96,1.2537627695470681,0.07980917781463577,1.9035202763113912,0.45119948431216966,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.16,3,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,2,47,111,1,1,1,True,96,1.661793568089222,0.08916582812290486,1.3805597070649163,0.9865848820110397,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.04,0.16,6,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
39125,selected_fixed,3,48,100,1,0,0,False,96,-0.03787079553064387,0.010055638056492544,-0.06740661699169839,-0.21240699000190189,0.03000000000000001,0.009999999999999998,0.039999999999999994,0.06,0.0025,0.01,7,dfc7862ca0fa4899311692bd11e44ec8878a9b2720c8454a5e3245b7f6e02009
