seed,selection_family,candidate,selection_nll,data_split,fit_tape_digest,uses_true_parameters,selected,candidate_q,candidate_r,candidate_q_rate,candidate_r_rate,candidate_decay,candidate_prior_mass,candidate_q_fraction,candidate_switch
41004,current_online_em,beta_q=0.1:beta_r=0.2,0.15830714253492117,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.1,0.2,,,,
41004,current_online_em,beta_q=0.1:beta_r=0.5,0.1843356082513231,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.1,0.5,,,,
41004,current_online_em,beta_q=0.2:beta_r=0.02,0.1593821564866288,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.2,0.02,,,,
41004,current_online_em,beta_q=0.2:beta_r=0.1,0.15131744522643242,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.2,0.1,,,,
41004,current_online_em,beta_q=0.2:beta_r=0.2,0.15505992226995602,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.2,0.2,,,,
41004,current_online_em,beta_q=0.2:beta_r=0.5,0.18083204865373925,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.2,0.5,,,,
41004,current_online_em,beta_q=0.5:beta_r=0.02,0.2139657800680009,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.5,0.02,,,,
41004,current_online_em,beta_q=0.5:beta_r=0.1,0.1814353126016242,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.5,0.1,,,,
41004,current_online_em,beta_q=0.5:beta_r=0.2,0.17019010344919838,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.5,0.2,,,,
41004,current_online_em,beta_q=0.5:beta_r=0.5,0.19214975341573048,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,0.5,0.5,,,,
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.041666666666666664,0.3709621230611201,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.041666666666666664,
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.08333333333333333,0.2549594762017283,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.08333333333333333,
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.25,0.16190738398186724,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.25,
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.5,0.16210841098635106,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.5,
41004,h_plus_total_variance,decay=0.95:prior_mass=1.0:q_fraction=0.6666666666666666,0.1762118235478472,fit,1436161b1d0c2b69675ed6bd3f9192f16eaa43125aa4703575125e4c3eb3efd8,False,False,,,,,0.95,1.0,0.6666666666666666,
