view,panel,claim_scope,core_claim_eligible,n_sessions,n_animals,complete_cohort,shared_parameter_count,full_parameter_count,shared_has_fewer_parameters,retained_full_gain_ratio,retention_defined,panel_conclusion,core_conclusion,nested_selection_valid,likelihood_kind,full_latent_lds,causal_timing_eligible,common_regions_json,region_session_coverage_json,minimum_region_sessions,region_anchor_policy,region_imputation_strategy,macro_region_mapping_schema,macro_region_mapping_sha256,macro_region_source_ontology_sha256,macro_region_source_provenance_sha256,macro_region_formal_acronym_count,macro_region_formal_acronyms_sha256,macro_region_mapping_formal_compact_manifest_sha256,hmm_restart_selection_policy,hmm_n_restarts,shared_vs_common_estimate,shared_vs_common_ci_low,shared_vs_common_ci_high,shared_vs_common_bootstrap_p_two_sided,shared_vs_common_holm_adjusted_p,full_vs_common_estimate,full_vs_common_ci_low,full_vs_common_ci_high,full_vs_common_bootstrap_p_two_sided,full_vs_common_holm_adjusted_p,retention_margin_estimate,retention_margin_ci_low,retention_margin_ci_high,retention_margin_bootstrap_p_two_sided,retention_margin_holm_adjusted_p,expected_source_manifest_sha256,expected_acquisition_bundle_sha256,expected_compact_manifest_sha256,expected_compact_bundle_sha256,expected_bwm_repository_commit,formal_config_sha256,registered_formal_json_sha256,scoped_raw_sha256,run_manifest_sha256,run_git_commit,run_git_dirty,snapshot_scope
stimulus_pre,primary_past_safe,registered_primary,True,20,20,True,12165,12393,True,,False,inconclusive,inconclusive,True,one_step_conditional_poisson,False,True,"[""cortex"",""thalamus"",""striatum"",""hippocampus"",""midbrain"",""hindbrain""]","[{""missing_session_ids"":[""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9""],""n_sessions_missing"":3,""n_sessions_present"":17,""region"":""cortex"",""session_fraction_present"":0.85},{""missing_session_ids"":[""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":14,""n_sessions_present"":6,""region"":""thalamus"",""session_fraction_present"":0.3},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""4fa70097-8101-4f10-b585-db39429c5ed0""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""striatum"",""session_fraction_present"":0.25},{""missing_session_ids"":[""3663d82b-f197-4e8b-b299-7b803a155b84"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":9,""n_sessions_present"":11,""region"":""hippocampus"",""session_fraction_present"":0.55},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":11,""n_sessions_present"":9,""region"":""midbrain"",""session_fraction_present"":0.45},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""hindbrain"",""session_fraction_present"":0.25}]",5,fixed_region_order_union,pooled_training_fold_region_mean,exp14_allen_macro_region_mapping_v1,3bac702ed6b3ee5c21acbbfd929b077baa63226369ca8e1bef0b6faeb487fc23,63654b8d35c7c1b5665636b645da774776ee8263658192f5dca1e815095e9147,a01b7fa535e6de437ac46e8cf9de68a87d6a9b5587d055a3935476d956109fdc,168,53c5a0cb3591749aad8fc2848b2627dfe93a4a747fa391e4ec68094211b8369b,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,eligible_converged_identifiable_then_likelihood,5,-0.0009953449490380018,-0.003061455071249424,0.00015692226469350926,0.3444,1.0,-0.0014490027037137253,-0.010413417939828563,0.006759604094886932,0.766,1.0,0.0003087574843043509,-0.007834206482914293,0.0089800044907236,0.9768,1.0,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,0c3e12126d2151e78382e41f0ef9ed6023ffb67fa4ad7e285f1bc570a9c8f3cd,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,f6cd351717986ede771a6bbbe755edeb3c30ef4bda48e86c8471bcf4364a41a4,118fc36cb3602934466ad2c6087c2b3b441f9f1f,106b99b861b0de82bfd020c23881e14a861b09ddc50f70752badb56b7a104913,7717227beca59f6a39286a5bfc6ded10ed7b0896ce6f49409542f1743bf79680,8c14068e5855dc16fe3039ac86465fe9588ccda697b86bfce4340364f6de0ccd,7d141ffddb666c755459d7cfffaa47ac03f6781464d26df10ce6898ff65491b4,b68a1e7638636811116bb352330fb4a1fe2d5a75,False,registered_core
stimulus_pre,full_trial_sensitivity,sensitivity_only,False,20,20,True,12165,12393,True,,False,inconclusive,inconclusive,True,one_step_conditional_poisson,False,False,"[""cortex"",""thalamus"",""striatum"",""hippocampus"",""midbrain"",""hindbrain""]","[{""missing_session_ids"":[""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9""],""n_sessions_missing"":3,""n_sessions_present"":17,""region"":""cortex"",""session_fraction_present"":0.85},{""missing_session_ids"":[""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":14,""n_sessions_present"":6,""region"":""thalamus"",""session_fraction_present"":0.3},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""4fa70097-8101-4f10-b585-db39429c5ed0""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""striatum"",""session_fraction_present"":0.25},{""missing_session_ids"":[""3663d82b-f197-4e8b-b299-7b803a155b84"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":9,""n_sessions_present"":11,""region"":""hippocampus"",""session_fraction_present"":0.55},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":11,""n_sessions_present"":9,""region"":""midbrain"",""session_fraction_present"":0.45},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""hindbrain"",""session_fraction_present"":0.25}]",5,fixed_region_order_union,pooled_training_fold_region_mean,exp14_allen_macro_region_mapping_v1,3bac702ed6b3ee5c21acbbfd929b077baa63226369ca8e1bef0b6faeb487fc23,63654b8d35c7c1b5665636b645da774776ee8263658192f5dca1e815095e9147,a01b7fa535e6de437ac46e8cf9de68a87d6a9b5587d055a3935476d956109fdc,168,53c5a0cb3591749aad8fc2848b2627dfe93a4a747fa391e4ec68094211b8369b,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,eligible_converged_identifiable_then_likelihood,5,-0.0006052091683901473,-0.0019430818072749376,0.0001545210298151033,0.4424,1.0,-0.002918597764178238,-0.010509156021028875,0.0035393165071611675,0.4376,1.0,0.002021528819370267,-0.004178050747586359,0.009101040678040646,0.5984,1.0,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,0c3e12126d2151e78382e41f0ef9ed6023ffb67fa4ad7e285f1bc570a9c8f3cd,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,f6cd351717986ede771a6bbbe755edeb3c30ef4bda48e86c8471bcf4364a41a4,118fc36cb3602934466ad2c6087c2b3b441f9f1f,106b99b861b0de82bfd020c23881e14a861b09ddc50f70752badb56b7a104913,7717227beca59f6a39286a5bfc6ded10ed7b0896ce6f49409542f1743bf79680,8c14068e5855dc16fe3039ac86465fe9588ccda697b86bfce4340364f6de0ccd,7d141ffddb666c755459d7cfffaa47ac03f6781464d26df10ce6898ff65491b4,b68a1e7638636811116bb352330fb4a1fe2d5a75,False,registered_core
movement_pre,primary_past_safe,sensitivity_only,False,20,20,True,14877,15333,True,,False,inconclusive,inconclusive,True,one_step_conditional_poisson,False,True,"[""cortex"",""thalamus"",""striatum"",""hippocampus"",""midbrain"",""hindbrain""]","[{""missing_session_ids"":[""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9""],""n_sessions_missing"":3,""n_sessions_present"":17,""region"":""cortex"",""session_fraction_present"":0.85},{""missing_session_ids"":[""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":14,""n_sessions_present"":6,""region"":""thalamus"",""session_fraction_present"":0.3},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""4fa70097-8101-4f10-b585-db39429c5ed0""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""striatum"",""session_fraction_present"":0.25},{""missing_session_ids"":[""3663d82b-f197-4e8b-b299-7b803a155b84"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":9,""n_sessions_present"":11,""region"":""hippocampus"",""session_fraction_present"":0.55},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":11,""n_sessions_present"":9,""region"":""midbrain"",""session_fraction_present"":0.45},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""hindbrain"",""session_fraction_present"":0.25}]",5,fixed_region_order_union,pooled_training_fold_region_mean,exp14_allen_macro_region_mapping_v1,3bac702ed6b3ee5c21acbbfd929b077baa63226369ca8e1bef0b6faeb487fc23,63654b8d35c7c1b5665636b645da774776ee8263658192f5dca1e815095e9147,a01b7fa535e6de437ac46e8cf9de68a87d6a9b5587d055a3935476d956109fdc,168,53c5a0cb3591749aad8fc2848b2627dfe93a4a747fa391e4ec68094211b8369b,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,eligible_converged_identifiable_then_likelihood,5,6.89833786353955e-05,-0.00010019399319892041,0.0002694558815014652,0.472,1.0,-2.7257362563859466e-05,-0.0038763172722652748,0.004153683446611383,0.946,1.0,9.351500494286882e-05,-0.0035166576616456934,0.0035420342696338876,0.936,1.0,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,0c3e12126d2151e78382e41f0ef9ed6023ffb67fa4ad7e285f1bc570a9c8f3cd,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,f6cd351717986ede771a6bbbe755edeb3c30ef4bda48e86c8471bcf4364a41a4,118fc36cb3602934466ad2c6087c2b3b441f9f1f,106b99b861b0de82bfd020c23881e14a861b09ddc50f70752badb56b7a104913,7717227beca59f6a39286a5bfc6ded10ed7b0896ce6f49409542f1743bf79680,8c14068e5855dc16fe3039ac86465fe9588ccda697b86bfce4340364f6de0ccd,7d141ffddb666c755459d7cfffaa47ac03f6781464d26df10ce6898ff65491b4,b68a1e7638636811116bb352330fb4a1fe2d5a75,False,registered_core
movement_pre,full_trial_sensitivity,sensitivity_only,False,20,20,True,16272,17412,True,,False,inconclusive,inconclusive,True,one_step_conditional_poisson,False,False,"[""cortex"",""thalamus"",""striatum"",""hippocampus"",""midbrain"",""hindbrain""]","[{""missing_session_ids"":[""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9""],""n_sessions_missing"":3,""n_sessions_present"":17,""region"":""cortex"",""session_fraction_present"":0.85},{""missing_session_ids"":[""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":14,""n_sessions_present"":6,""region"":""thalamus"",""session_fraction_present"":0.3},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""5b44c40f-80f4-44fb-abfb-c7f19e27a6ca"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""e349a2e7-50a3-47ca-bc45-20d1899854ec"",""4fa70097-8101-4f10-b585-db39429c5ed0""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""striatum"",""session_fraction_present"":0.25},{""missing_session_ids"":[""3663d82b-f197-4e8b-b299-7b803a155b84"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":9,""n_sessions_present"":11,""region"":""hippocampus"",""session_fraction_present"":0.55},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""2e6e179c-fccc-4e8f-9448-ce5b6858a183"",""8db36de1-8f17-4446-b527-b5d91909b45a"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""20c112a1-8a42-44e0-a4cd-e5b932f7bda9"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":11,""n_sessions_present"":9,""region"":""midbrain"",""session_fraction_present"":0.45},{""missing_session_ids"":[""034e726f-b35f-41e0-8d6c-a22cc32391fb"",""b52182e7-39f6-4914-9717-136db589706e"",""4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b"",""ecb5520d-1358-434c-95ec-93687ecd1396"",""3663d82b-f197-4e8b-b299-7b803a155b84"",""12dc8b34-b18e-4cdd-90a9-da134a9be79c"",""a71175be-d1fd-47a3-aa93-b830ea3634a1"",""0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3"",""f312aaec-3b6f-44b3-86b4-3a0c119c0438"",""d2f5a130-b981-4546-8858-c94ae1da75ff"",""3e7ae7c0-fe8b-487c-9354-036236fa1010"",""7f6b86f9-879a-4ea2-8531-294a221af5d0"",""8207abc6-6b23-4762-92b4-82e05bed5143"",""4fa70097-8101-4f10-b585-db39429c5ed0"",""7bee9f09-a238-42cf-b499-f51f765c6ded""],""n_sessions_missing"":15,""n_sessions_present"":5,""region"":""hindbrain"",""session_fraction_present"":0.25}]",5,fixed_region_order_union,pooled_training_fold_region_mean,exp14_allen_macro_region_mapping_v1,3bac702ed6b3ee5c21acbbfd929b077baa63226369ca8e1bef0b6faeb487fc23,63654b8d35c7c1b5665636b645da774776ee8263658192f5dca1e815095e9147,a01b7fa535e6de437ac46e8cf9de68a87d6a9b5587d055a3935476d956109fdc,168,53c5a0cb3591749aad8fc2848b2627dfe93a4a747fa391e4ec68094211b8369b,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,eligible_converged_identifiable_then_likelihood,5,1.6184626997317597e-05,-6.146061203970002e-05,0.00011136913460684292,0.7636,1.0,-0.0007627263422228358,-0.004317360873472789,0.0032526126979085567,0.6856,1.0,0.00070263833499787,-0.002885394002086417,0.003985022330744257,0.68,1.0,112c84ad93eee49186ab117343ebebb4921d2f1bcea57a9c9326ca38d337a0e6,0c3e12126d2151e78382e41f0ef9ed6023ffb67fa4ad7e285f1bc570a9c8f3cd,a5acb134ae4b34f47db150948a7f7ab58e8eb85e204fb981e0ca744eba328a09,f6cd351717986ede771a6bbbe755edeb3c30ef4bda48e86c8471bcf4364a41a4,118fc36cb3602934466ad2c6087c2b3b441f9f1f,106b99b861b0de82bfd020c23881e14a861b09ddc50f70752badb56b7a104913,7717227beca59f6a39286a5bfc6ded10ed7b0896ce6f49409542f1743bf79680,8c14068e5855dc16fe3039ac86465fe9588ccda697b86bfce4340364f6de0ccd,7d141ffddb666c755459d7cfffaa47ac03f6781464d26df10ce6898ff65491b4,b68a1e7638636811116bb352330fb4a1fe2d5a75,False,registered_core
