comparison,candidate_gate,candidate_intervention,reference_gate,reference_intervention,n_seeds,mean_balanced_accuracy_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_greater_p,positive_seed_count,zero_seed_count,holm_p,conclusion,comparison_scope,base_conditions_share_readout,recurrent_learning,biological_mechanism_claim_eligible,three_factor_plasticity_claim_eligible,efficiency_claim_eligible,statistics_unit,multiple_comparison_correction
oracle_vs_no_gate,oracle_bayes,none,no_gate,none,30,0.03580456814190496,0.018343850454121804,0.05322301705220922,0.00031946676004287707,25,1,0.0019168005602572624,descriptive_ceiling_support,separately_refit_readout_functional_pipeline,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
hmm_vs_no_gate,learned_hmm,none,no_gate,none,30,0.025209809408259197,0.007459486986720578,0.043759494639288354,0.00640693778489938,21,1,0.0320346889244969,functional_pipeline_support_pilot,separately_refit_readout_functional_pipeline,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
md_vs_no_gate,md_recurrent_belief,none,no_gate,none,30,0.003297851296886974,0.0,0.009327943030932413,0.07867941375809434,2,28,0.31471765503237736,inconclusive_functional_pipeline_pilot,separately_refit_readout_functional_pipeline,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
md_vs_clamp,md_recurrent_belief,none,md_recurrent_belief,clamp,30,0.0030517631636406417,0.0,0.008891337756381956,0.07867941375809434,2,28,0.31471765503237736,inconclusive_within_model_counterfactual,fixed_receiver_readout_within_model_counterfactual,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
md_vs_delay,md_recurrent_belief,none,md_recurrent_belief,delay,30,0.0014786137593943685,-0.002149321266968318,0.006585162545151424,0.4904397531377988,1,28,0.9808795062755976,inconclusive_within_model_counterfactual,fixed_receiver_readout_within_model_counterfactual,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
md_vs_shuffle,md_recurrent_belief,none,md_recurrent_belief,shuffle,30,0.0018460853253606136,-0.0002828054298642524,0.005821061405946093,0.4904397531377988,1,28,0.9808795062755976,inconclusive_within_model_counterfactual,fixed_receiver_readout_within_model_counterfactual,False,False,False,False,False,seed,Holm_within_exp10_pilot_family
