candidate_rank,eid,subject,date,lab,pids,animal_round,cohort_id,bwm_repository_commit,status,eligible,error_type,error,dataset_uuid,dataset_rel_path,dataset_revision,dataset_hash,dataset_file_size,dataset_qc,raw_trial_count,essential_trial_count,analysis_trial_count,removed_trial_count,valid_choice_count,valid_feedback_count,official_bwm_mask_present,official_bwm_mask_trial_count,context_switch_count,has_low_and_high_context,exclusion_reason,source_dataset_trial_count,official_loader_trial_count,official_trial_mask_protocol,dataset_qc_eligible,compact_table,compact_table_sha256
0,034e726f-b35f-41e0-8d6c-a22cc32391fb,CSHL045,2020-02-24,churchlandlab,5e84c8e7-236f-4a64-a944-dc4a17c64f1d;8fbfa285-d721-4a1a-8c18-f36652c17909,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,02acb6cf-a27a-483d-b718-a002ae96d1a3,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,d0cf90e4fa6edd898e1727f03f453775,49238.0,WARNING,589,589,439,0,438,439,True,439,9,True,,589,589,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/034e726f-b35f-41e0-8d6c-a22cc32391fb/trials.csv,0485f2da8084424a115acb27b25d8bc216ace4df565384747e81909b4fb08196
1,b52182e7-39f6-4914-9717-136db589706e,CSHL047,2020-01-21,churchlandlab,0393f34c-a2bd-4c01-99c9-f6b4ec6e786d;4762e8ed-4d94-4fd7-9522-e927f5ffca74,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,dfe0df41-e1b3-48dd-83ca-9f3223ee5e88,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,0dd7c2d5db36680fa4018644d133c485,55935.0,WARNING,700,700,463,0,463,463,True,463,14,True,,700,700,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/b52182e7-39f6-4914-9717-136db589706e/trials.csv,5ffe35a2e8634d14213a2d820b24b2f6b455ad7a8ca5cbbfd1fcdf56ab067cdc
2,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,CSHL049,2020-01-08,churchlandlab,f86e9571-63ff-4116-9c40-aa44d57d2da9;fd555d39-b728-44aa-90d2-796b8bb58300,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,2dcbbe62-e473-40ae-890e-a98a9da3ef65,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,08f4da0d054f753f37459093430cb066,65110.0,WARNING,842,842,561,0,561,561,True,561,13,True,,842,842,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b/trials.csv,15eda00416ade76d92e1467aca388870a466162f46ff52c4e3dabdf2f5313887
3,ecb5520d-1358-434c-95ec-93687ecd1396,CSHL051,2020-02-05,churchlandlab,e55266c7-eb05-47bb-b263-1cc08dc3c00c;f2ee886d-5b9c-4d06-a9be-ee7ae8381114,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,c0dd5d90-7685-4306-959b-f50d7d11c321,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,2363b15c34be5857d6d3701dfa78dd45,42884.0,WARNING,510,510,320,0,318,320,True,320,10,True,,510,510,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/ecb5520d-1358-434c-95ec-93687ecd1396/trials.csv,893d9ba6615b880aaffa33616589df4e94cd452d0fbdd0d679d40b38c8fb59f1
4,3663d82b-f197-4e8b-b299-7b803a155b84,CSHL052,2020-02-17,churchlandlab,04690e35-ab38-41db-982c-50cbdf8d0dd1;b46e219c-6a87-4a93-9924-1070841381e9,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,98645bcc-871b-49e8-976d-8f3c47e424e6,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,bee20d1389c3d96406770513d2a35c4a,69227.0,WARNING,893,893,597,0,597,597,True,597,14,True,,893,893,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/3663d82b-f197-4e8b-b299-7b803a155b84/trials.csv,2e16b986100334a14717038ebbeffbf73b1844eafd11575f9687546e1ce2cc31
5,12dc8b34-b18e-4cdd-90a9-da134a9be79c,CSHL053,2020-01-29,churchlandlab,43d4f889-4b05-44df-8306-ea10f854776f,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,63e0d1ab-018d-4a2e-aef1-4fa081829cbb,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,c2a2ee135526e409c493ff7c5f8c7330,69144.0,WARNING,907,907,420,0,420,420,True,420,14,True,,907,907,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/12dc8b34-b18e-4cdd-90a9-da134a9be79c/trials.csv,6f895c17edb77e6227be55e25acac456fdafe475b6c1729b3d3f5c75d6f8adec
6,a71175be-d1fd-47a3-aa93-b830ea3634a1,CSHL054,2020-02-11,churchlandlab,ac680ec5-6f89-4739-9848-9d76fc0e017f;e10a7a75-4740-41d1-82bb-7696ed14c442,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,c834f534-8736-444f-9097-fb99524e7ef5,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,b27a7e597a995b1b3a5b09984c793958,66147.0,PASS,855,855,342,0,342,342,True,342,15,True,,855,855,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/a71175be-d1fd-47a3-aa93-b830ea3634a1/trials.csv,0557f5b5290ec17fa341b674831dec178653e89ec2b46bc19c1bf49295ed1711
7,0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3,CSHL055,2020-02-17,churchlandlab,0eb65305-bb95-4bf1-a154-1b810c0cff25;f9656eee-141c-453d-a016-4aba68f674dc,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,484e9de7-dbe2-4708-bde1-4181a0e8e559,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,f3db3aceca88b3f735c307c769a44dd1,61104.0,PASS,771,771,528,0,525,528,True,528,11,True,,771,771,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/0cbeae00-e229-4b7d-bdcc-1b0569d7e0c3/trials.csv,6d2591ea8bd03dfae926e681950f55d82f4e98fd6cfbe13608a6a4e299fdc811
8,f312aaec-3b6f-44b3-86b4-3a0c119c0438,CSHL058,2020-07-07,churchlandlab,d585f4b5-d154-4666-92c4-eb219f1e0f02;eeb27b45-5b85-4e5c-b6ff-f639ca5687de,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,cf4277f9-2a53-4d79-8b84-1a82bf3039a7,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,6a5c719dac94c93f11f0e7076d959027,51717.0,WARNING,626,626,471,0,470,471,True,471,13,True,,626,626,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/f312aaec-3b6f-44b3-86b4-3a0c119c0438/trials.csv,03f156f1ccd602361ed2014266f8cf7ba483e9cd07c888f572d4afd8fb4a3875
9,d2f5a130-b981-4546-8858-c94ae1da75ff,CSHL059,2020-03-03,churchlandlab,2d2cdf86-4a0c-42d8-aed3-5b187f160013;79628a45-c2e3-4206-97df-4c91edaff90f,0,bwm_behavior_v1,118fc36cb3602934466ad2c6087c2b3b441f9f1f,eligible,True,,,1e13d417-7342-4a83-8bb0-0404d308b214,alf/#2025-03-03#/_ibl_trials.table.pqt,2025-03-03,11d653414392d13e44e91c41d7df468e,44756.0,WARNING,525,525,357,0,356,357,True,357,8,True,,525,525,load_trials_and_mask_min_rt_0p08_max_rt_2_nan_default,True,sessions/d2f5a130-b981-4546-8858-c94ae1da75ff/trials.csv,08d9e33f4e828819aa4c1e2934b6f912913956cf8f43d61254622417982706a3
