condition,n_complete_seeds,n_planned_seeds,n_published_attempts,mean_exact_accuracy,seed_bootstrap_ci_low,seed_bootstrap_ci_high,mean_parameter_count,mean_nominal_core_calls,conclusion,scoped_raw_sha256,run_manifest_sha256,registered_config_sha256_values,publisher_scope,data_scope,all_selected_runs_clean
micro_trm_bptt,3,3,3,0.0,0.0,0.0,11776.0,16.0,inconclusive,fd72d108ee2bba5a0dff94c0fd3dbd64de43b56293b5b5d4b06bf2676e409c5e,9db321bb555fc61f7fac27121de695cca3d97793c5f64d6708dd180155d7131a,80647bd0e0fcff22157773f4e5b7ddfb6d3a9a74b8c1908bf3d7933b0ed81a8d,pilot_only_formal_promotion_disabled,synthetic_fixture_not_scientific,True
single_state_core_call_matched,3,3,3,0.0,0.0,0.0,11776.0,16.0,inconclusive,fd72d108ee2bba5a0dff94c0fd3dbd64de43b56293b5b5d4b06bf2676e409c5e,9db321bb555fc61f7fac27121de695cca3d97793c5f64d6708dd180155d7131a,80647bd0e0fcff22157773f4e5b7ddfb6d3a9a74b8c1908bf3d7933b0ed81a8d,pilot_only_formal_promotion_disabled,synthetic_fixture_not_scientific,True
