family,condition,n_tasks,n_independent_source_groups,exact_accuracy,exact_accuracy_ci_low,exact_accuracy_ci_high,functional_success_rate,functional_success_ci_low,functional_success_ci_high,mean_state_steps,source_manifest_verified,formal_data_eligible,matched_advantage_comparator_registered,core_claim_eligible,conclusion
arc,arc_slow_fast_program,399,399,0.002506265664160401,0.0,0.007518796992481203,0.002506265664160401,0.0,0.007518796992481203,7.827067669172933,false,false,false,false,inconclusive
sudoku,sudoku_local_no_branch,28,28,0.75,0.5714285714285714,0.8928571428571429,0.75,0.5714285714285714,0.8928571428571429,7.321428571428571,true,true,false,false,inconclusive
sudoku,sudoku_local_bounded_branch,28,28,1.0,1.0,1.0,1.0,1.0,1.0,11.428571428571429,true,true,false,false,inconclusive
