experiment,proposition,panel,comparison,effect_definition,inference_unit,multiplicity_family,estimate,ci_low,ci_high,p_value,holm_adjusted_p,n_complete,n_eligible,n_planned,eligible_fraction,minimum_eligible_fraction,threshold,conclusion,claim_scope,control_role,primary_eligible_seed_count,oracle_eligible_seed_count,joint_seed_intersection_count,component_seed_sets_identical,retained_failed_or_invalid_cell_count,retained_failed_or_invalid_seed_count,ineligible_seed_count,analysis_git_commit,analysis_script_sha256,analysis_python
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l1,aligned_local_l1_vs_frozen_zero,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.0031653503826899504,-0.006308065259380634,-0.0005867660260667369,0.28627872467041016,0.8588361740112305,30,30,30,1.0,0.9,0.0,inconclusive,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L1-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l1,aligned_local_l1_vs_random_signed_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.0036745769344969166,-0.007185790078415278,-0.0005428111961479845,0.30745625495910645,0.8588361740112305,30,30,30,1.0,0.9,0.0,inconclusive,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L1-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l1,aligned_local_l1_vs_shuffled_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.0027248468659205236,-0.00602097429819209,0.00018388814177015199,0.6776394844055176,0.8588361740112305,30,30,30,1.0,0.9,0.0,inconclusive,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L1-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l2,aligned_local_l2_vs_frozen_zero,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.20822164198893445,-0.25883758916368044,-0.1536477618134075,3.725290298461914e-09,2.2351741790771484e-08,30,30,30,1.0,0.9,0.0,oppose,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L2-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l2,aligned_local_l2_vs_random_signed_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.2058814456125394,-0.2581840322363662,-0.1522531469217743,1.6242265701293945e-06,6.496906280517578e-06,30,30,30,1.0,0.9,0.0,oppose,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L2-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,off_policy_gain_axis_proposal_behavior_advantage,l2,aligned_local_l2_vs_shuffled_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_primary_seed_sign_family),-0.2048569502145889,-0.2559689709810463,-0.15062376140300152,5.774199962615967e-08,2.8870999813079834e-07,30,30,30,1.0,0.9,0.0,oppose,"held-out behavior after a development-trajectory off-policy three-factor proposal within the L2-budget-matched panel only; not evidence for the other norm, not closed-loop local learning, and recurrent weights are bitwise frozen",primary,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,oracle_third_factor_upper_bound_gap,l1,aligned_local_l1_vs_oracle_third_factor,aligned_minus_oracle_heldout_balanced_accuracy,seed,Holm(exp22_oracle_margin_seed_sign_family),-0.0021766787400862094,-0.006317451393338425,0.0021468639239871578,1.862645149230957e-09,3.725290298461914e-09,30,30,30,1.0,0.9,-0.05,support,development-hidden-context oracle third factor is an upper bound; this L1-budget-matched margin result cannot establish the local mechanism or generalize to the other norm,upper_bound,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,oracle_third_factor_upper_bound_gap,l2,aligned_local_l2_vs_oracle_third_factor,aligned_minus_oracle_heldout_balanced_accuracy,seed,Holm(exp22_oracle_margin_seed_sign_family),-0.025304452171745945,-0.09048068166765819,0.03635734765695723,0.361594608053565,0.361594608053565,30,30,30,1.0,0.9,-0.05,inconclusive,development-hidden-context oracle third factor is an upper bound; this L2-budget-matched margin result cannot establish the local mechanism or generalize to the other norm,upper_bound,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,orthogonal_feedback_negative_control,l1,aligned_local_l1_vs_orthogonal_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_orthogonal_seed_sign_family),-0.0030140319635616956,-0.006072785265699692,-0.000394302265178872,0.28627872467041016,0.28627872467041016,30,30,30,1.0,0.9,0.0,inconclusive,"fixed-feedback 90-degree orthogonal negative control within the L1-budget-matched panel only; diagnostic, truth-free, and never sufficient for the main claim",negative_control,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
exp22_hidden_context_local_gain_axis,orthogonal_feedback_negative_control,l2,aligned_local_l2_vs_orthogonal_feedback,aligned_minus_comparator_heldout_balanced_accuracy,seed,Holm(exp22_orthogonal_seed_sign_family),-0.20617020472671163,-0.25875899750189624,-0.15160304664807817,5.774199962615967e-08,1.1548399925231934e-07,30,30,30,1.0,0.9,0.0,oppose,"fixed-feedback 90-degree orthogonal negative control within the L2-budget-matched panel only; diagnostic, truth-free, and never sufficient for the main claim",negative_control,,,,,0,0,0,cf4548bd7bc5f0088d7dacb8c3c5faf392da4358,1b44c632335d88daea12bc2058ef89b8d377770babcb5459bbb030ed77c82cf2,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
