family,run_id,attempt_name,status,git_commit,git_dirty,config_sha256,environment_sha256,status_sha256,planned_conditions_sha256,metrics_sha256,manifest_sha256,run_log_sha256,source_provenance_sha256,published_raw_sha256
arc,6a4f55d8-1b41-4f6f-8728-d21510ee5792,20260712T081555.050383Z,complete,f61f26b5d424d637da27ef7ff6c56ee1c372072b,false,6c957066fd0392ea09300bafea76de5791dcb20cac1a4c0ab9addd6b05ed7736,b1cb339a1ce7791d3dd315ba0ef4ff488f0e9ab0acf3a848802e42b5ecded27d,a84727e16eb972e6cf582ede44c01f959bbe13c09b60c91351b947d9b219658a,a722fd41d25a8fccbef71eaea5aa4d3abc4fd38a0002b34dff0f80a6ba23608a,db3dbbee44b3d89a82b2d90bb34c133c1878de7af49bab4ab03a0d0216756098,b8089545f4b5500db4ccb2985f8dc2bdb32da9aa5230f9501c168aaf550e25e4,8b76780d465b2d7942a91c653c04ac0323eaf779987b9f6ee0c431352060425e,4f707b1519130b1d219de5ea785131392d944840c77e09e2663d5234d23afdc8,db3dbbee44b3d89a82b2d90bb34c133c1878de7af49bab4ab03a0d0216756098
sudoku,2d07f156-af04-418b-8fe9-67e799e5749c,20260712T081613.937899Z,complete,f61f26b5d424d637da27ef7ff6c56ee1c372072b,false,6685866e26fbad37766e8337383962817aa1af89c31ca3abce7fd3c7c9869049,b1cb339a1ce7791d3dd315ba0ef4ff488f0e9ab0acf3a848802e42b5ecded27d,f342da5b4d89d5f3a6d3ad850c861d360d2305bf9340dcd61c3e4f4a30ec4924,b4c859d6a3102126ca35ef69dceb6842e951a2e6e08e9975ae08110e9a52df1d,de2f6611300ddcf9a2b542dc89c08c8483c89152825a70d8cec740bceb03bc1e,b8e7a595664079e60ad1e97ee3ff3fb8835cdd058acc92b88646ce8dadd49d1f,4b49842ef5ffd697b723300a5fc90c98b1c5f437723383175e81907d27540d70,248b928d9369db2bf7616673345a11ce4e470f5c93ce6a4303c355230e18ac1e,de2f6611300ddcf9a2b542dc89c08c8483c89152825a70d8cec740bceb03bc1e
