seed,run_id,attempt,run_status,git_commit,environment_sha256,config_sha256,metrics_sha256,planned_conditions_sha256,analysis_git_commit,analysis_script_sha256,analysis_python
0,5cab8358-a448-43e6-8913-b1d865b6a323,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0000/20260715T113953.991286Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,16eda9006dfd503626c7114576bf039b99279505f6881d95162fda048af7c429,2fff795a392c256c2383690c1e1f04c9d9e2fd90fa198b3b67c97b57b54f4f7b,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
1,b04c2688-0830-4ae6-84ad-96613a164a23,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0001/20260715T113953.986840Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1c03da2a029d743c3fc49cbd99b41da4aa2ccc83949d9b7bca0d05c7c392abf8,d1ff78b78346489d6f92ecf44cffc3f966da8cf535da9d6579650f4236e8ffce,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
2,b4f286ec-8815-4e77-beaf-948e13481620,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0002/20260715T113953.972624Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,1577c64fc5e01ccfd92b28fef0bde01866f47e57acad8daf4356c6c0df28dc38,4fde07df8b53cb5e1ddf685ace34f245fef01d7c3fffd4336f36d679a0491b91,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
3,cc5a7c14-8e4d-458d-b63a-09aae85f8f5b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0003/20260715T113953.996771Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,8db5a06488357f8c68c34f9c50ef785337e54311f71fbd3a1a1ed894ca7c23c0,8de60ce6a1f8fd4547f4ab07fc599b60256b8f4536952e837028caa7e7772115,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
4,f8d196c0-bf1c-49fc-947e-1cc6ebaefa87,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0004/20260715T113958.341943Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c208227b2865e5fa61617aac6347ccf6f8e24599c9112352dd96aaa935393d8b,a0c7c3c8c9bd6aadd30c36feded27908e92daa20ddb5534208e94b84fad75dd9,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
5,38ddda78-8457-4d33-99bb-81695151a62a,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0005/20260715T113958.090304Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,70217087210db0b63cae438189681cebbd564df70aa40c1a23f017aa47c2d629,5a45376a7f04fc25fdbd98208e9de4f3e8a28cdf9efdd30a494c6462cb65a8cc,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
6,b473a68a-8493-429c-ad00-4d469a2df30b,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0006/20260715T113958.481337Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,646bd79bccd2ca6e5b25a9a5b93f8136e4fa16ccda8cefc8f7599b5e5ccb78c8,91a8fa898408fb86b760ea5b78da966bf673cea34ca731ec608f862cf3086323,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
7,d06ac1ef-164d-4c33-8124-4cc3180e1651,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0007/20260715T113959.117505Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,61352a79da7e147058bcfe1c64bd1942b30f42695136c21441411d734774a94c,b3af0e993edd6a92c30e24118ea63ac15a7c80af007b5191c62925a02f2b059f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
8,93bc6591-07b7-4318-b5ad-cd36b30c6a06,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0008/20260715T114002.267448Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c2a0b83c7ca4e31d2ca4b61ea202d14553bb01cc635136415243ba0e5520ba54,4a0534d2efd3bbdd80b2951e86999a8191566a889761b6c9a71e21dd00d1bb3f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
9,c6b80655-dca2-4e67-b523-0a48b07f278e,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0009/20260715T114002.538307Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,687d7be271bf1d7076dea5def5bb5d79b5536ed9d5ad1f96e06b5d5381cdf740,f52cc4a877b9287392bbc8accd0e3d0c0fda86ea359a217dd1532046b860ecfc,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
10,8f916217-2a0c-4336-baee-c2702a2f333f,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0010/20260715T114003.438178Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,47010197c1cb0eb3578f79c05960e697c3ea0e4f8e851c5cbf6d5eb95841d82e,a2907fecf291544dd0e75e8453d899cbb8957cadbd7055cd33966d9eda47aa64,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
11,3188b867-2e9a-49bb-9057-be75f5f65124,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0011/20260715T114003.926207Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,c1d442298031914fe5b82caf1ac2f57ece8f0824975b04b216f750ef8ed63db8,00b1211c40b2ba19f2b93408e1261ae0ebd843f26feaaa6493c4c6c5f317ac82,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
12,d39b8488-1efa-49a4-8043-18518ddc0895,/home/spco/sow_linear/neuro_modeling_belief_ei_4a6ae28/local_plasticity_gated_dynamics/results/runs/exp19_belief_ei_effective_dynamics/seed_0012/20260715T114006.227639Z,complete,4a6ae28e68574d1caedbaf4694fbc67bcd51d6c7,ad98282e0633bd9f3a70bf24f1baa7cb3a9219736fc9e1f144c3a59e5226071b,9fdeca8fc66cabc2fe7b462684bd942e26d56b960831e3ca890c036c6644afeb,84823dc1ce5f280c8ae5814cd31f183cc2a9f8ff015a28c85b3270f4ea78309f,7d073d837309439529f1d556683dc1f6cb61ae2619135445136d924365750dc5,fff4640269e779770ea38e9b9de3667a64af2d9f,8605017ad834e32c5b900de556ae99135aec33549b94dcfeede4a3cf1609f47c,"3.11.15 (main, Mar 11 2026, 17:20:07) [GCC 14.3.0]"
