comparison,comparison_scope,metric,n_seeds,n_q_h_cells,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_two_sided_p,positive_seed_count,zero_seed_count,minimum_q_h_cell_mean,maximum_q_h_cell_mean,holm_p,classification,conclusion,profile,network_n_units,statistics_unit,within_seed_aggregation,multiple_comparison_correction,base_conditions_share_readout,recurrent_learning,biological_mechanism_claim_eligible,three_factor_plasticity_claim_eligible,efficiency_claim_eligible,bridge_protocol_id,all_q_h_cell_means_positive,scoped_raw_sha256,run_manifest_sha256,run_git_commit,run_git_dirty
hmm_context_vs_no_gate,simulated_hidden_context_inference,context_nll,30,4,0.2776839863118035,0.26955968123747226,0.28596295958041223,1.862645149230957e-09,30,0,0.09967698052134523,0.4543242429803976,1.6763806343078613e-08,support,support_simulated_hidden_context_inference,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_context_vs_no_gate,simulated_hidden_context_inference,context_nll,30,4,0.2582786356016426,0.24548331998015904,0.27009396817816567,1.862645149230957e-09,30,0,0.0474984083606598,0.45000657576950115,1.6763806343078613e-08,support,support_simulated_hidden_context_inference,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
hmm_behavior_vs_no_gate,separately_refit_functional_pipeline,behavior_balanced_accuracy,30,4,0.09999222565312958,0.09620687684464786,0.10378721426226774,1.862645149230957e-09,30,0,0.0489917759071994,0.1461459783293362,1.6763806343078613e-08,support,support_functional_pipeline_formal,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_behavior_vs_no_gate,separately_refit_functional_pipeline,behavior_balanced_accuracy,30,4,0.09639244151929542,0.09199831057704697,0.10090820589325813,1.862645149230957e-09,30,0,0.040739291940888885,0.1454143825130056,1.6763806343078613e-08,support,support_functional_pipeline_formal,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
oracle_behavior_vs_no_gate,descriptive_oracle_ceiling,behavior_balanced_accuracy,30,4,0.10076680296580118,0.09707529539625215,0.1044296578909549,1.862645149230957e-09,30,0,0.052020554931059906,0.14696198866912963,1.6763806343078613e-08,support,descriptive_oracle_ceiling_support,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_retains_90pct_oracle_gain,separately_refit_noninferiority_margin,behavior_balanced_accuracy,30,4,0.005702318850074351,0.0034345989470418725,0.007812955793022025,4.4075772166252136e-05,23,0,-0.006079207497065029,0.013148592710788942,4.4075772166252136e-05,support,support_macro_average_90pct_oracle_gain_margin,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,False,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_vs_clamp,fixed_checkpoint_within_model_counterfactual,behavior_balanced_accuracy,30,4,0.08989842760334778,0.08662464959855436,0.09337190017453309,1.862645149230957e-09,30,0,0.0361962422305025,0.13803572774709297,1.6763806343078613e-08,support,support_within_model_counterfactual,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_vs_delay,fixed_checkpoint_within_model_counterfactual,behavior_balanced_accuracy,30,4,0.022262834287517696,0.019855431304703155,0.024721078610554448,1.862645149230957e-09,30,0,0.007313816541590205,0.0490158054778215,1.6763806343078613e-08,support,support_within_model_counterfactual,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
md_vs_shuffle,fixed_checkpoint_within_model_counterfactual,behavior_balanced_accuracy,30,4,0.09923140088957895,0.09424526802761499,0.1045381743786654,1.862645149230957e-09,30,0,0.04014893237115431,0.15021290079544622,1.6763806343078613e-08,support,support_within_model_counterfactual,formal,256,seed,equal_macro_average_across_4_q_h_cells,Holm_across_exp10_formal_family,False,False,False,False,False,3a2abc0021fe97db655430ca94986700880e898f980c0ded7e7d33f1c069ad5e,True,5c2f37e12864a73e5d2202dbceb077f3caae147fa94c6ce94b3309f2656c9749,b0e29f5053a37593a197832ee12adc93ccb80fb55bd65003f20f90fff67aba94,52fdcaa1e55ae0e0510ecca553c5acf6a4358072,False
